,Tour,Type,Duration,Price,Price Per,Cancellation,Tour By,City,Country,Image,Link to agency
2353,"Private Unique Tour:Skip the Line into Giza Pyramids,Sphinx,Sakkara, Tombs",Bus Tours,6.0,50.0,per adult,Free cancellation,By Bes Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c9/e6/af/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d8357832-Reviews-Bes_Egypt_Tours-Cairo_Cairo_Governorate.html
2354,Day Trip to Giza Pyramids Old Cairo Citadel and Bazaar,Bus Tours,6.0,20.0,per adult,Free cancellation,By Egypt Safe Travel,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ca/58/57/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g14182912-d19898218-Reviews-Egypt_Safe_Travel-Kafrat_Nassar_Giza_Governorate.html
2355,Half-Day Private tour to Pyramids of Giza and Sphinx,Bus Tours,3.0,95.7,per adult,Free cancellation,By South Sinai Travel,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/bc/b7/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d17577952-Reviews-South_Sinai_Travel-Cairo_Cairo_Governorate.html
2356,2 Day Bahariya Oasis White Desert Tour,Adventure Tours,1152.0,396.43,per adult,Free cancellation,By Desert Egypt Safari,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/48/af/1c/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d7107417-Reviews-Desert_Egypt_Safari-Cairo_Cairo_Governorate.html
2357,2 Days White Desert and Bahariya Oasis Tour,Multi-day Tours,1152.0,325.0,per adult,Free cancellation,By Deluxe Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/2a/8e/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d10435320-Reviews-Deluxe_Tours_Egypt-Cairo_Cairo_Governorate.html
2358,Islamic Cairo Private History Tour,Bus Tours,6.0,80.0,per adult,Free cancellation,By Cairo Trips,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/e2/c3/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d8375751-Reviews-Cairo_Trips-Cairo_Cairo_Governorate.html
2361,Half-Day Private Guided Tour to Saqqara and Memphis from Cairo,Bus Tours,4.0,45.0,per adult,Free cancellation,By Bes Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c6/22/d1/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d8357832-Reviews-Bes_Egypt_Tours-Cairo_Cairo_Governorate.html
2363,"Best Tour to Giza pyramids,Sphinx, Sakkara, Dahshuh,Memphis,Camel Ride,Snacks",Bus Tours,6.0,20.0,per adult,Free cancellation,By Let's Explore Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ab/dd/87/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d7736828-Reviews-Let_s_Explore_Egypt-Cairo_Cairo_Governorate.html
2364,Top Private Trip to Giza Pyramids And Egyptian Museum In Cairo,Car Tours,6.0,40.0,per adult,Free cancellation,By Alexandria Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/dc/8b/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g295398-d23757650-Reviews-Alexandria_Tours_Egypt-Alexandria_Alexandria_Governorate.html
2366,Quad Bike Trip At Desert of Giza Pyramids,Adventure Tours,1.0,20.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/5c/a9/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d19605120-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
2367,Pyramids Sound and Light Show with Private transfer,Theaters,1.0,44.0,per adult,Free cancellation,By Deluxe Travel Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6b/62/43/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2557973-Reviews-Deluxe_Travel_Egypt-Cairo_Cairo_Governorate.html
2368,"Day Trip to the Giza Pyramids, Memphis, and Sakkara",Full-day Tours,8.5,50.0,per adult,Free cancellation,By Mr Brown Sugar Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/cc/64/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d15028858-Reviews-Mr_Brown_Sugar_Egypt_Tours-Giza_Giza_Governorate.html
2369,"Private Tour to Giza Pyramids,Sphinx,Sakkara,and Memphis",Bus Tours,6.0,59.29,per adult,Free cancellation,By CGT Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/35/67/d9/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d15641402-Reviews-CGT_Egypt_Tours-Cairo_Cairo_Governorate.html
2370,"Cairo City Tour Coptic Christian Cairo ,Islamic Mosque and old Market with Lunch",Bus Tours,4.0,30.0,per adult,Free cancellation,By Hesham Egypt Tour Guide,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/8e/8c/f1/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d7797819-Reviews-Hesham_Egypt_Tour_Guide-Cairo_Cairo_Governorate.html
2371,Half dayTour Pyramids of Giza Sphinx including Camel ride,Half-day Tours,4.0,57.0,per adult,Free cancellation,By Deluxe Travel Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/bb/0d/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2557973-Reviews-Deluxe_Travel_Egypt-Cairo_Cairo_Governorate.html
2372,10-Hour Private Layover Tour: Giza Pyramids and Egyptian Museum from Cairo Airport,Bus Tours,6.0,31.67,per adult,Free cancellation,By Go Discovery Travel,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/4b/91/c1/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d7650769-Reviews-Go_Discovery_Travel-Giza_Giza_Governorate.html
2375,private tour to Giza pyramids Sphinx with Camel ride,Car Tours,4.5,25.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d1/e6/48/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2430233-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
2376,Pyramid & The Egyptian Museum Tour with Lunch,Bus Tours,6.0,55.0,per adult,Free cancellation,By Guide Of Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/79/b2/13/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d20949523-Reviews-Guide_Of_Egypt_Tours-Giza_Giza_Governorate.html
2378,Dinner Cruise on the Nile cairo,Bus Tours,3.5,33.14,per adult,Free cancellation,By Mr Brown Sugar Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/ce/24/6a/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d15028858-Reviews-Mr_Brown_Sugar_Egypt_Tours-Giza_Giza_Governorate.html
2379,Private Half Day Tour to Islamic Cairo,Day Trips,5.0,25.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/73/f9/1e/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2430233-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
2380,Cairo City Tour 2 (Coptic & Islamic Cairo),Bus Tours,6.0,50.0,per adult,Free cancellation,By Egypt Tailor Made Day Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/91/ea/78/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2444758-Reviews-Egypt_Tailor_Made_Day_Tours-Cairo_Cairo_Governorate.html
2381,"All inclusiveTour to Giza Pyramids,Sphinx,One Hour Quad Bike,30 M Camel Ride",Bus Tours,6.0,55.0,per adult,Free cancellation,By My Cairo Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/8c/90/cd/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d21238234-Reviews-My_Cairo_Tours-Cairo_Cairo_Governorate.html
2382,Cave Church and City Of The Dead Tour,Bus Tours,6.5,60.0,per adult,Free cancellation,By Cairo Private Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6b/88/6c/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d16665493-Reviews-Cairo_Private_Tours-Giza_Giza_Governorate.html
2383,Half Day Tour Adventure for the Pyramids Sphinx 45 Minutes Camel Ride,Bus Tours,5.0,20.92,per adult,Free cancellation,By Bes Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/be/5a/75/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d8357832-Reviews-Bes_Egypt_Tours-Cairo_Cairo_Governorate.html
2385,Orange Bay Island & Snorkeling & Water sports _Rated as Top Program,Day Trips,6.0,40.62,per adult,Free cancellation,By Egypt Tours Online,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/6d/c8/3b/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g297549-d16848936-Reviews-Egypt_Tours_Online-Hurghada_Red_Sea_and_Sinai.html
2386,"Cairo Collection – Egyptian Museum, Alabaster Mosque & Coptic Cairo",Bus Tours,6.0,55.0,per adult,Free cancellation,By Egypt Wonderful Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8e/d8/f0/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d17852375-Reviews-Egypt_Wonderful_Tours-Cairo_Cairo_Governorate.html
2387,Private Tour to Khan el-Khalili from Cairo International Airport,Bus Tours,6.0,29.0,per adult,Free cancellation,By Nice Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/37/91/a4/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d23475850-Reviews-Nice_Tours-Giza_Giza_Governorate.html
2388,1 -Hour Sailing Egyptian felucca ride on the Nile in Cairo,Bus Tours,2.0,30.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/83/9d/d8/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2430233-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
2389,4 Hours private tour to Giza pyramids Sphinx,Adventure Tours,4.0,35.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a6/90/3c/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2430233-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
2390,Cairo Tour to Egyptian Museum Citadel and Coptic Cairo,Bus Tours,6.0,35.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/1b/f9/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d1856892-Reviews-Emo_Tours_Egypt-Giza_Giza_Governorate.html
2393,Camel Ride around the Pyramids During Sunrise Or Sunset,Car Tours,3.0,55.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/4d/c0/c5/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d1856892-Reviews-Emo_Tours_Egypt-Giza_Giza_Governorate.html
2394,Sunrise camel ride at Giza pyramids,Adventure Tours,3.5,58.0,per adult,Free cancellation,By Egypt Day Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a6/67/94/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d3210482-Reviews-Egypt_Day_Tours-Cairo_Cairo_Governorate.html
2395,Best cairo tours visit to Egyptian Museum,Bus Tours,4.0,25.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f9/3a/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d1856892-Reviews-Emo_Tours_Egypt-Giza_Giza_Governorate.html
2396,Tour to Giza pyramids Sphinx with local guide,Bus Tours,3.5,25.0,per adult,Free cancellation,By Egypt Sightseeing Tours Day Trips,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/63/52/7d/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d17391147-Reviews-Egypt_Sightseeing_Tours_Day_Trips-Giza_Giza_Governorate.html
2398,Cairo Food Tour,Bus Tours,4.5,75.0,per adult,Free cancellation,By Egypt Royal Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/2e/59/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d12269383-Reviews-Egypt_Royal_Tours-Cairo_Cairo_Governorate.html
2400,Cairo Half day tours to Old Markets and Local Souqs,Bus Tours,4.0,40.0,per adult,Free cancellation,By Cairo Dinner Cruise,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d4/96/95/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d5775061-Reviews-Cairo_Dinner_Cruise-Cairo_Cairo_Governorate.html
2401,"Private Day Tour to Giza Pyramids, Great Sphinx , Memphis and Sakkara",Bus Tours,6.0,30.0,per adult,Free cancellation,By Egypt Best Holidays,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/15/6e/08/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294205-d15990511-Reviews-Egypt_Best_Holidays-Luxor_Nile_River_Valley.html
2402,"All Inclusive Full-Day Tour to Pyramids, Museum, mosque and Felucca",Bus Tours,9.0,49.0,per adult,Free cancellation,By Egypt Life Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/d1/e6/45/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d23125925-Reviews-Egypt_Life_Tours-Cairo_Cairo_Governorate.html
2403,2 day Trip To Bahariya Oasis White Desert From Cairo,Bus Tours,1152.0,226.27,per adult,Free cancellation,By Marsa Alam Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/06/99/74/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g311425-d12186278-Reviews-Marsa_Alam_Tours-Marsa_Alam_Red_Sea_and_Sinai.html
2404,Cairo and Nile Cruise Package with Domestic Flight,Bus Tours,1728.0,1599.0,per adult,Free cancellation,By Nile Cruisers,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bf/e9/b7/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294205-d17277759-Reviews-Nile_Cruisers-Luxor_Nile_River_Valley.html
2405,Cairo Layover Tours To Giza Pyramids Memphis Sakkara Dahshur Pyramids And Bazaar,Car Tours,6.0,70.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/47/e5/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2430233-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
2406,"Top 6 Days Around Cairo , Giza Pyramids ,Luxor , Aswan & Abu Simbel",Bus Tours,1728.0,1185.0,per adult,Free cancellation,By Deluxe Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/75/46/60/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d10435320-Reviews-Deluxe_Tours_Egypt-Cairo_Cairo_Governorate.html
2407,"8-Day Private Tour Cairo, Aswan, Luxor and Nile Cruise Including Air Fare",Bus Tours,1728.0,1370.0,per adult,Free cancellation,By Egypt Unlimited Tours - Day Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7d/5e/85/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294204-d7110640-Reviews-Egypt_Unlimited_Tours_Day_Tours-Aswan_Aswan_Governorate_Nile_River_Valley.html
2408,Best Day Tour to Giza Pyramids and Egyptian Museum from Cairo,Bus Tours,9.0,29.0,per adult,Free cancellation,By Pyramids Land Private Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/f2/b9/f4/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d18313769-Reviews-Pyramids_Land_Private_Tours-Cairo_Cairo_Governorate.html
2409,Best Giza Day Trip with camel ride,Bus Tours,5.0,29.0,per adult,Free cancellation,By Egypt lovely holidays,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/99/ab/9f/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d8646842-Reviews-Egypt_lovely_holidays-Cairo_Cairo_Governorate.html
2410,"Amazing 9 Days Cairo,Luxor,Aswan Abu Simbel,Cruise & Red sea From Cairo Airport",Bus Tours,1728.0,844.0,per adult,Free cancellation,By Mody Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/a9/11/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d17873457-Reviews-Mody_Egypt_Tours-Cairo_Cairo_Governorate.html
2411,"Guided tour to Giza Pyramids, Saqqara and Memphis",Monuments and Memorials,6.0,22.0,per adult,Free cancellation,By Tours Around Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/ef/b6/30/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d23155678-Reviews-Tours_Around_Egypt-Cairo_Cairo_Governorate.html
2412,"Memphis,Sakkara and Dahshur",Bus Tours,6.0,49.0,per adult,Free cancellation,By Twitter Egypt Travel,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f7/d8/2e/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d15631164-Reviews-Twitter_Egypt_Travel-Cairo_Cairo_Governorate.html
2413,Cairo Day Tour to Memphis Sakkara & Dahshur Pyramids,Car Tours,5.0,20.0,per adult,Free cancellation,By Emo Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/c8/76/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d19605120-Reviews-Emo_Tours_Egypt-Cairo_Cairo_Governorate.html
2414,Private Tour: Pyramids of Giza Memphis Saqqara with Lunch,Bus Tours,6.0,85.0,per adult,Free cancellation,By Deluxe Travel Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/cd/cb/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d2557973-Reviews-Deluxe_Travel_Egypt-Cairo_Cairo_Governorate.html
2415,10 Day Ultimate Egypt Tour & Nile Cruise From Luxor to Aswan & Abu Simbel Inc,Bus Tours,1728.0,2465.0,per adult,Free cancellation,By Look at Egypt tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b2/f3/53/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d8069619-Reviews-Look_at_Egypt_tours-Giza_Giza_Governorate.html
2417,"Private Full-Day Tour to Giza Pyramids,Sphinx,Memphis, and Saqqara",Bus Tours,6.0,115.0,per adult,Free cancellation,By Nice Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/e8/dd/08/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d23475850-Reviews-Nice_Tours-Giza_Giza_Governorate.html
2418,Private Day trip to Luxor from Cairo by plane include Felucca Ride,Bus Tours,6.0,280.0,per adult,Free cancellation,By Nice Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bc/7a/53/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d23475850-Reviews-Nice_Tours-Giza_Giza_Governorate.html
2419,Customizable Private Day Tour to Alexandria from Cairo,Bus Tours,6.0,131.0,per adult,Free cancellation,By Deluxe Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/90/56/a0/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d10435320-Reviews-Deluxe_Tours_Egypt-Cairo_Cairo_Governorate.html
2420,Day Tour at The Egyptian Museum and Coptic Cairo,Full-day Tours,6.0,50.0,per adult,Free cancellation,By Egypt Select Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5f/c9/40/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d11947575-Reviews-Egypt_Select_Tours-Giza_Giza_Governorate.html
2421,"Private Tour to Egyptian Museum, Citadel, Old Cairo & Khan El-Khalili",Car Tours,7.5,90.0,per adult,Free cancellation,By Mr. Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/a7/41/7c/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d23111698-Reviews-Mr_Egypt_Tours-Cairo_Cairo_Governorate.html
2422,3-Days Tour in Bahariya Oasis and White Desert from Cairo,Adventure Tours,1728.0,219.65,per adult,Free cancellation,By white desert travel,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/74/c5/ce/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g23326229-d20883008-Reviews-White_desert_travel-Bahariya_Oasis_Giza_Governorate.html
2425,4-hours private Coptic and Islamic Cairo day tour and lunch include,Bus Tours,4.0,23.0,per adult,Free cancellation,By Excursion Cairo Day Tour,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/09/93/a3/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d10085933-Reviews-Excursion_Cairo_Day_Tour-Cairo_Cairo_Governorate.html
2426,Private Day-Tour to Giza Memphis and Saqqara Including Camel Ride,Bus Tours,6.0,55.37,per adult,Free cancellation,By Go Discovery Travel,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/86/ac/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d7650769-Reviews-Go_Discovery_Travel-Giza_Giza_Governorate.html
2427,Full-Day Giza Pyramids and Memphis and Sakkara Private Tour,Bus Tours,6.0,20.0,per adult,Free cancellation,By Hesham Egypt Tour Guide,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/09/4d/e8/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d7797819-Reviews-Hesham_Egypt_Tour_Guide-Cairo_Cairo_Governorate.html
2429,"Full day tour pyramids of Giza, Saqqara and Memphis",Full-day Tours,8.5,50.0,per adult,Free cancellation,By Marbiba Tours Egypt,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/b9/14/b0/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d17639966-Reviews-Marbiba_Tours_Egypt-Giza_Giza_Governorate.html
2430,food tour private tour from cairo or giza hotel,Bus Tours,3.0,44.0,per adult,Free cancellation,By Excursion Giza - Day tour,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/fd/76/68/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d8594692-Reviews-Excursion_Giza_Day_tour-Giza_Giza_Governorate.html
2431,"Full-Day Egyptian Museum ,Coptic Cairo ,Islamic Mosque from Cairo or Giza hotels",Full-day Tours,6.0,26.5,per adult,Free cancellation,By Hesham Egypt Tour Guide,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/89/b5/06/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d7797819-Reviews-Hesham_Egypt_Tour_Guide-Cairo_Cairo_Governorate.html
2432,Transfer from Cairo Airport to Hotel - Private Transfer,Bus Tours,1.5,28.0,per adult,Free cancellation,By Egypt United Tours & Travel,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/47/3f/18/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d16883599-Reviews-Egypt_United_Tours_Travel-Giza_Giza_Governorate.html
2433,Desert Safari By ATV Quad Bike around Giza Pyramids,Adventure Tours,1.0,38.0,per adult,Free cancellation,By Hesham Egypt Tour Guide,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/17/14/31/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d7797819-Reviews-Hesham_Egypt_Tour_Guide-Cairo_Cairo_Governorate.html
2434,Desert Safari by Quad Bike Around Pyramids,Bus Tours,4.5,40.0,per adult,Free cancellation,By Visitors Egypt Tours,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/61/0f/f9/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294202-d15690801-Reviews-Visitors_Egypt_Tours-Giza_Giza_Governorate.html
2435,Private Tour in Cairo Tower with ATV Quad Bike and Felucca Ride,Adventure Tours,4.0,55.44,per adult,Free cancellation,By Travel Band Adventures,Cairo,Egypt,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/46/a6/28/caption.jpg?w=500&h=400&s=1,https://www.tripadvisor.com/Attraction_Review-g294201-d8403239-Reviews-Travel_Band_Adventures-Cairo_Cairo_Governorate.html
