cctrW,iPqaD,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 3,iPqaD href 3,WlYyy 4,WlYyy 5,ySnDE,WlYyy 6,ccVGl,WlYyy 8,ccVGl 2,WlYyy 9,dXxty
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Escape Game Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d21062265-The_Escape_Game_Chicago_Epic_60_Minute_Adventures-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/78/2a/30/caption.jpg?w=500&h=400&s=1,The Escape Game Chicago: Epic 60-Minute Adventures,54.,https://www.tripadvisor.com/AttractionProductReview-g35805-d21062265-The_Escape_Game_Chicago_Epic_60_Minute_Adventures-Chicago_Illinois.html#REVIEWS,72,https://www.tripadvisor.com/Attraction_Review-g35805-d11777066-Reviews-The_Escape_Game_Chicago-Chicago_Illinois.html,,1–2 hours,"Located in River North, these adventures offer a one-of-a-kind premium experience. Follow clues and solve puzzles to complete…",Free cancellation,from,$43.59,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bike and Roll,https://www.tripadvisor.com/AttractionProductReview-g35805-d11455809-Amazing_Lakefront_Segway_Tour_in_Chicago-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/b1/00/caption.jpg?w=500&h=400&s=1,Amazing Lakefront Segway Tour in Chicago,55.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11455809-Amazing_Lakefront_Segway_Tour_in_Chicago-Chicago_Illinois.html#REVIEWS,43,https://www.tripadvisor.com/Attraction_Review-g35805-d1818809-Reviews-Bike_and_Roll-Chicago_Illinois.html,Segway Tours,1–2 hours,"Segways are amazingly fun, and Chicago's lakefront, parks, and skyline are absolutely gorgeous! Add our smart, entertaining…",Free cancellation,from,$75.00,per adult,More info,
,By Chicago Hauntings,https://www.tripadvisor.com/AttractionProductReview-g35805-d17616619-The_Devil_in_the_White_City_A_Haunting_History_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/67/54/e4/caption.jpg?w=500&h=400&s=1,The Devil in the White City: A Haunting History Tour,56.,https://www.tripadvisor.com/AttractionProductReview-g35805-d17616619-The_Devil_in_the_White_City_A_Haunting_History_Tour-Chicago_Illinois.html#REVIEWS,5,https://www.tripadvisor.com/Attraction_Review-g35805-d629580-Reviews-Chicago_Hauntings-Chicago_Illinois.html,Bus Tours,3 hours,"We are Chicago's first and best Devil in the White City tour, offering the history, legends and lore surrounding H.H.Holmes…",,from,$35.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bobby's Bike Hike Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d12314215-Chicago_s_West_Side_Foodie_Ride_Bike_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/60/7d/caption.jpg?w=500&h=400&s=1,Chicago's West Side Foodie Ride Bike Tour,57.,https://www.tripadvisor.com/AttractionProductReview-g35805-d12314215-Chicago_s_West_Side_Foodie_Ride_Bike_Tour-Chicago_Illinois.html#REVIEWS,75,https://www.tripadvisor.com/Attraction_Review-g35805-d659394-Reviews-Bobby_s_Bike_Hike_Chicago-Chicago_Illinois.html,City Tours,4 hours,"Take a detour off the beaten path, and explore the flavors of Chicago’s vibrant West Side with Bobbys's Bike Hike, America…",Free cancellation,from,$79.99,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Frank Lloyd Wright's Robie House,https://www.tripadvisor.com/AttractionProductReview-g35805-d19985429-Frank_Lloyd_Wright_Robie_House_Admission-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bc/a9/de/caption.jpg?w=500&h=400&s=1,Frank Lloyd Wright Robie House Admission,58.,https://www.tripadvisor.com/AttractionProductReview-g35805-d19985429-Frank_Lloyd_Wright_Robie_House_Admission-Chicago_Illinois.html#REVIEWS,12,https://www.tripadvisor.com/Attraction_Review-g35805-d103476-Reviews-Frank_Lloyd_Wright_s_Robie_House-Chicago_Illinois.html,Walking Tours,1 hour,The Frederick C. Robie House on the University of Chicago campus is considered one of the most important buildings in the…,Free cancellation,from,$27.00,per adult,More info,
,By Chicago Hauntings,https://www.tripadvisor.com/AttractionProductReview-g35805-d11475138-Chicago_Hauntings_Original_Ghost_Bus_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/6a/0d/caption.jpg?w=500&h=400&s=1,Chicago Hauntings Original Ghost Bus Tour,59.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11475138-Chicago_Hauntings_Original_Ghost_Bus_Tour-Chicago_Illinois.html#REVIEWS,98,https://www.tripadvisor.com/Attraction_Review-g35805-d629580-Reviews-Chicago_Hauntings-Chicago_Illinois.html,Bus Tours,2–3 hours,"Often imitated but never matched, this 2.5-hour to 3 hour ghost bus tour with stops remains the ""Best of Chicago"" since …",,from,$49.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Wendella,https://www.tripadvisor.com/AttractionProductReview-g35805-d23230542-45_Minute_Chicago_Architecture_Boat_Tour_from_Chicago_Riverwalk-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/bc/b2/cf/caption.jpg?w=500&h=400&s=1,45-Minute Chicago Architecture Boat Tour from Chicago Riverwalk,60.,https://www.tripadvisor.com/AttractionProductReview-g35805-d23230542-45_Minute_Chicago_Architecture_Boat_Tour_from_Chicago_Riverwalk-Chicago_Illinois.html#REVIEWS,11,https://www.tripadvisor.com/Attraction_Review-g35805-d534491-Reviews-Wendella-Chicago_Illinois.html,Water Tours,45 minutes,Experience Chicago's legendary architecture and the exceptional architects who created this ever-changing legacy for all…,Free cancellation,from,$25.00,per adult,More info,Taking safety measures
,,,,,,,2,,4,,,,,,,,
"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,,,,,,,,,,,,,,,,
,By City Experiences By Hornblower,https://www.tripadvisor.com/AttractionProductReview-g35805-d11477520-30_Minute_Lake_Michigan_Speedboat_Ride-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/79/90/caption.jpg?w=500&h=400&s=1,30 Minute Lake Michigan Speedboat Ride,91.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11477520-30_Minute_Lake_Michigan_Speedboat_Ride-Chicago_Illinois.html#REVIEWS,39,https://www.tripadvisor.com/Attraction_Review-g35805-d2205635-Reviews-City_Experiences_By_Hornblower-Chicago_Illinois.html,Adventure Tours,30 minutes,Feel the need for speed? This exhilarating speedboat ride takes you out onto Lake Michigan for the ride of a lifetime. Experience…,,from,$34.75,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Absolutely Chicago Segway Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451140-Chicago_Lakefront_and_Museum_Campus_Small_Group_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/6a/0a/caption.jpg?w=500&h=400&s=1,Chicago Lakefront and Museum Campus Small Group Tour,92.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451140-Chicago_Lakefront_and_Museum_Campus_Small_Group_Tour-Chicago_Illinois.html#REVIEWS,134,https://www.tripadvisor.com/Attraction_Review-g35805-d1520104-Reviews-Absolutely_Chicago_Segway_Tours-Chicago_Illinois.html,Segway Tours,2 hours,Looking for fun things to do in Chicago? Look no further - Explore Chicago with one of our professional guides on this scenic…,Free cancellation,from,$73.24,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bobby's Bike Hike Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448846-Bike_Tour_of_Chicago_s_Lakefront_Neighborhoods-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/60/60/caption.jpg?w=500&h=400&s=1,Bike Tour of Chicago's Lakefront Neighborhoods,93.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448846-Bike_Tour_of_Chicago_s_Lakefront_Neighborhoods-Chicago_Illinois.html#REVIEWS,113,https://www.tripadvisor.com/Attraction_Review-g35805-d659394-Reviews-Bobby_s_Bike_Hike_Chicago-Chicago_Illinois.html,City Tours,3 hours,"This is the tour that made Bobby famous! Bobby’s Bike Hike is America’s longest-running city bicycle tour company, and has…",Free cancellation,from,$49.99,per adult,More info,
,By City Experiences By Hornblower,https://www.tripadvisor.com/AttractionProductReview-g35805-d13195326-Chicago_Lunch_Cruise_on_Lake_Michigan-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c4/06/ce/caption.jpg?w=500&h=400&s=1,Chicago Lunch Cruise on Lake Michigan,94.,https://www.tripadvisor.com/AttractionProductReview-g35805-d13195326-Chicago_Lunch_Cruise_on_Lake_Michigan-Chicago_Illinois.html#REVIEWS,33,https://www.tripadvisor.com/Attraction_Review-g35805-d2205635-Reviews-City_Experiences_By_Hornblower-Chicago_Illinois.html,Lunch Cruises,2 hours,"With the sunshine reflecting off the lakefront, there’s no better place to enjoy an afternoon in Chicago than aboard a Spirit…",,from,$81.82,per adult,More info,Taking safety measures
,By City Experiences By Hornblower,https://www.tripadvisor.com/AttractionProductReview-g35805-d11463661-Chicago_Premier_Dinner_Cruise_on_Lake_Michigan-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c4/19/37/caption.jpg?w=500&h=400&s=1,Chicago Premier Dinner Cruise on Lake Michigan,95.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11463661-Chicago_Premier_Dinner_Cruise_on_Lake_Michigan-Chicago_Illinois.html#REVIEWS,18,https://www.tripadvisor.com/Attraction_Review-g35805-d2205635-Reviews-City_Experiences_By_Hornblower-Chicago_Illinois.html,Day Cruises,2–3 hours,"Expect the exceptional on this 2.5-3 hour premier Chicago dinner cruise experience. Newly renovated, this luxury vessel …",,from,$180.18,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Absolutely Chicago Segway Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d15045059-Chicago_Insider_Segway_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/6a/06/caption.jpg?w=500&h=400&s=1,Chicago Insider Segway Tour,96.,https://www.tripadvisor.com/AttractionProductReview-g35805-d15045059-Chicago_Insider_Segway_Tour-Chicago_Illinois.html#REVIEWS,46,https://www.tripadvisor.com/Attraction_Review-g35805-d1520104-Reviews-Absolutely_Chicago_Segway_Tours-Chicago_Illinois.html,Segway Tours,2 hours,"This is a tour like no other! Our newest Segway adventure is completely unique and will cover the good, the bad, the ugly…",Free cancellation,from,$75.58,per adult,More info,
,By Untouchable Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d17430009-Untouchable_Tours_Chicago_s_Original_Gangster_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ed/d0/caption.jpg?w=500&h=400&s=1,Untouchable Tours Chicago's Original Gangster Tour,97.,https://www.tripadvisor.com/AttractionProductReview-g35805-d17430009-Untouchable_Tours_Chicago_s_Original_Gangster_Tour-Chicago_Illinois.html#REVIEWS,76,https://www.tripadvisor.com/Attraction_Review-g35805-d649556-Reviews-Untouchable_Tours-Chicago_Illinois.html,Bus Tours,1–2 hours,Our guides present an accurate account of the activities in Chicago during the 1920's and 1930's (Prohibition Era). You …,,from,$45.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Madison Square Garden Company,https://www.tripadvisor.com/AttractionProductReview-g35805-d16841252-Behind_the_Scenes_Tour_of_Historic_Chicago_Theatre-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/9a/f9/0a/caption.jpg?w=500&h=400&s=1,Behind-the-Scenes Tour of Historic Chicago Theatre,98.,https://www.tripadvisor.com/AttractionProductReview-g35805-d16841252-Behind_the_Scenes_Tour_of_Historic_Chicago_Theatre-Chicago_Illinois.html#REVIEWS,14,https://www.tripadvisor.com/Attraction_Review-g60763-d16710124-Reviews-The_Madison_Square_Garden_Company-New_York_City_New_York.html,Theaters,1 hour,"Go on a history-filled journey, from the inception of this majestic venue in 1921, all the way to its present-day incarnation…",Free cancellation,from,$18.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Intrepid Urban Adventures - Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d17555133-Best_of_Chicago_History_Culture_Tour_with_Chocolate_and_Popcorn-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/e6/78/17/caption.jpg?w=500&h=400&s=1,Best of Chicago: History & Culture Tour with Chocolate and Popcorn,99.,https://www.tripadvisor.com/AttractionProductReview-g35805-d17555133-Best_of_Chicago_History_Culture_Tour_with_Chocolate_and_Popcorn-Chicago_Illinois.html#REVIEWS,27,https://www.tripadvisor.com/Attraction_Review-g35805-d23471901-Reviews-Intrepid_Urban_Adventures_Chicago-Chicago_Illinois.html,Private and Luxury,2–3 hours,"Chicago has it all – amazing architecture, great food, and iconic sights both old and new. This tour takes you to some of…",Free cancellation,from,$51.50,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,"By Come Sailing, Inc.",https://www.tripadvisor.com/AttractionProductReview-g35805-d11992512-Private_Sunset_Sail_on_Lake_Michigan_with_Breathtaking_Views_of_Chicago-Chicago_Ill.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b1/f8/4a/caption.jpg?w=500&h=400&s=1,Private Sunset Sail on Lake Michigan with Breathtaking Views of Chicago,100.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11992512-Private_Sunset_Sail_on_Lake_Michigan_with_Breathtaking_Views_of_Chicago-Chicago_Ill.html#REVIEWS,6,https://www.tripadvisor.com/Attraction_Review-g35805-d10640901-Reviews-Come_Sailing_Inc-Chicago_Illinois.html,Sunset Cruises,2 hours,"Enjoy a private two-hour sailing experience for up to six people along Chicago’s beautiful lakefront.  Kick back, relax, …",Free cancellation,from,$427.28,per group,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Absolutely Chicago Segway Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d11470576-2_Hour_Chicago_Fireworks_Segway_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/e7/1e/caption.jpg?w=500&h=400&s=1,2-Hour Chicago Fireworks Segway Tour,101.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11470576-2_Hour_Chicago_Fireworks_Segway_Tour-Chicago_Illinois.html#REVIEWS,21,https://www.tripadvisor.com/Attraction_Review-g35805-d1520104-Reviews-Absolutely_Chicago_Segway_Tours-Chicago_Illinois.html,Segway Tours,2 hours,See Chicago's weekly summer fireworks display on this spectacular Chicago Segway Tour. You haven't seen Chicago until you…,Free cancellation,from,$75.58,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Absolutely Chicago Segway Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451138-2_Hour_Haunted_Segway_Tour_of_Chicago-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fc/6a/0b/caption.jpg?w=500&h=400&s=1,2-Hour Haunted Segway Tour of Chicago,102.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11451138-2_Hour_Haunted_Segway_Tour_of_Chicago-Chicago_Illinois.html#REVIEWS,10,https://www.tripadvisor.com/Attraction_Review-g35805-d1520104-Reviews-Absolutely_Chicago_Segway_Tours-Chicago_Illinois.html,Segway Tours,2 hours,Learn about Chicago’s haunted past and see its mysterious sights as you glide through the city on a segway at night. Venture…,Free cancellation,from,$75.58,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Sidewalk Food Tours of Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d14954850-River_North_Food_Walking_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c0/79/aa/caption.jpg?w=500&h=400&s=1,River North Food Walking Tour,103.,https://www.tripadvisor.com/AttractionProductReview-g35805-d14954850-River_North_Food_Walking_Tour-Chicago_Illinois.html#REVIEWS,58,https://www.tripadvisor.com/Attraction_Review-g35805-d4145760-Reviews-Sidewalk_Food_Tours_of_Chicago-Chicago_Illinois.html,City Tours,3 hours,"On our 3 hour food walking tour of Chicago, you will taste delectable foods from 5 different delicious places. Tease your…",Free cancellation,from,$75.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chicago Architecture Center,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448597-Chicago_Walking_Tour_Art_Deco_Skyscrapers-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c6/79/58/caption.jpg?w=500&h=400&s=1,Chicago Walking Tour: Art Deco Skyscrapers,104.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448597-Chicago_Walking_Tour_Art_Deco_Skyscrapers-Chicago_Illinois.html#REVIEWS,37,https://www.tripadvisor.com/Attraction_Review-g35805-d107442-Reviews-Chicago_Architecture_Center-Chicago_Illinois.html,City Tours,1–2 hours,View Art Deco masterpieces built in the heart of Chicago’s financial district during the Roaring '20s. Learn how Art Deco…,Free cancellation,from,$30.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bike and Roll,https://www.tripadvisor.com/AttractionProductReview-g35805-d11933451-Chicago_Sunset_Segway_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6f/9f/d1/caption.jpg?w=500&h=400&s=1,Chicago Sunset Segway Tour,105.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11933451-Chicago_Sunset_Segway_Tour-Chicago_Illinois.html#REVIEWS,7,https://www.tripadvisor.com/Attraction_Review-g35805-d1818809-Reviews-Bike_and_Roll-Chicago_Illinois.html,Segway Tours,1–2 hours,Ease into the evening with a relaxing glide through the parks and lakefront in Chicago. This evening ride offers cooler …,Free cancellation,from,$75.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bobby's Bike Hike Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448848-Chicago_Family_Food_Bike_Tour_with_Top_Attractions-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/09/35/1f/caption.jpg?w=500&h=400&s=1,Chicago Family Food & Bike Tour with Top Attractions,106.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11448848-Chicago_Family_Food_Bike_Tour_with_Top_Attractions-Chicago_Illinois.html#REVIEWS,35,https://www.tripadvisor.com/Attraction_Review-g35805-d659394-Reviews-Bobby_s_Bike_Hike_Chicago-Chicago_Illinois.html,City Tours,4 hours,This could very well be the best food tour on the planet. Why? Nothing beats the freedom of a bicycle to explore so many…,Free cancellation,from,$74.99,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By See Sight Tours Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d23251219-Best_of_Chicago_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/74/79/55/caption.jpg?w=500&h=400&s=1,Best of Chicago Tour,107.,https://www.tripadvisor.com/AttractionProductReview-g35805-d23251219-Best_of_Chicago_Tour-Chicago_Illinois.html#REVIEWS,5,https://www.tripadvisor.com/Attraction_Review-g35805-d23243059-Reviews-See_Sight_Tours_Chicago-Chicago_Illinois.html,Bus Tours,4 hours,"Explore the Windy City with See Sight Tours, Chicago’s best small group tours (max. 7 guests). 

Immerse yourself in Chicago…",Free cancellation,from,$189.00,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Absolutely Chicago Segway Tours,https://www.tripadvisor.com/AttractionProductReview-g35805-d11470577-2_Hour_Chicago_City_Lights_Evening_Segway_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f8/88/b6/caption.jpg?w=500&h=400&s=1,2-Hour Chicago City Lights Evening Segway Tour,108.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11470577-2_Hour_Chicago_City_Lights_Evening_Segway_Tour-Chicago_Illinois.html#REVIEWS,10,https://www.tripadvisor.com/Attraction_Review-g35805-d1520104-Reviews-Absolutely_Chicago_Segway_Tours-Chicago_Illinois.html,Segway Tours,2 hours,See Chi-Town in a brand new light by night on this City Lights Segway Tour. There’s nothing quite like spending a summer…,Free cancellation,from,$75.58,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Tall Ship Windy,https://www.tripadvisor.com/AttractionProductReview-g35805-d11483174-Chicago_s_Famous_Friday_Night_Pirates_Pub_Sail_Aboard_148_Tall_Ship_Windy-Chicago_I.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/1d/11/9a/caption.jpg?w=500&h=400&s=1,Chicago’s Famous Friday Night Pirates Pub Sail Aboard 148' Tall Ship Windy,109.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11483174-Chicago_s_Famous_Friday_Night_Pirates_Pub_Sail_Aboard_148_Tall_Ship_Windy-Chicago_I.html#REVIEWS,38,https://www.tripadvisor.com/Attraction_Review-g35805-d538046-Reviews-Tall_Ship_Windy-Chicago_Illinois.html,Sailing,2 hours,"Take in the world-famous skyline of the Windy City from the water, and enjoy a leisurely trip on Lake Michigan aboard Chicago…",Free cancellation,from,$129.00,per adult,More info,
,By City Experiences By Hornblower,https://www.tripadvisor.com/AttractionProductReview-g35805-d15593450-Chicago_Premier_Fireworks_Dinner_Cruise_on_Lake_Michigan-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6a/30/13/caption.jpg?w=500&h=400&s=1,Chicago Premier Fireworks Dinner Cruise on Lake Michigan,110.,https://www.tripadvisor.com/AttractionProductReview-g35805-d15593450-Chicago_Premier_Fireworks_Dinner_Cruise_on_Lake_Michigan-Chicago_Illinois.html#REVIEWS,3,https://www.tripadvisor.com/Attraction_Review-g35805-d2205635-Reviews-City_Experiences_By_Hornblower-Chicago_Illinois.html,Day Cruises,3 hours,"Expect the exceptional on this 3-hour premier Chicago dinner cruise experience. Newly renovated, this luxury vessel features…",,from,$208.86,per adult,More info,Taking safety measures
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Wild Onion Walks Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d11991757-Chicago_Loop_Walking_Tour-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d1/6c/c3/caption.jpg?w=500&h=400&s=1,Chicago Loop Walking Tour,111.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11991757-Chicago_Loop_Walking_Tour-Chicago_Illinois.html#REVIEWS,25,https://www.tripadvisor.com/Attraction_Review-g35805-d4318242-Reviews-Wild_Onion_Walks_Chicago-Chicago_Illinois.html,Private and Luxury,2 hours,"The Loop is the heartbeat of downtown Chicago! It is filled with great architecture, drop-dead gorgeous interiors and fantastic…",Free cancellation,from,$42.67,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Chicago Private Tours and Productions,https://www.tripadvisor.com/AttractionProductReview-g35805-d13387408-Private_Custom_City_Tour_in_Chicago-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f7/98/ec/caption.jpg?w=500&h=400&s=1,Private Custom City Tour in Chicago,112.,,,https://www.tripadvisor.com/Attraction_Review-g35805-d13412189-Reviews-Chicago_Private_Tours_and_Productions-Chicago_Illinois.html,Luxury Car Tours,3 hours,Let us put the Custom in Chicago Custom tours… What are your must-see venues? What would personalize your excursion? We’…,Free cancellation,from,$465.00,per adult,More info,Taking safety measures
,By Go City | Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d15777824-Go_City_Chicago_All_Inclusive_Pass_with_25_Attractions-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/ee/3e/50/caption.jpg?w=500&h=400&s=1,Go City: Chicago All-Inclusive Pass with 25+ Attractions,113.,https://www.tripadvisor.com/AttractionProductReview-g35805-d15777824-Go_City_Chicago_All_Inclusive_Pass_with_25_Attractions-Chicago_Illinois.html#REVIEWS,1,https://www.tripadvisor.com/Attraction_Review-g35805-d19512900-Reviews-Go_City_Chicago-Chicago_Illinois.html,Aquariums,1–5 days,"With Go City you get access to more than 25 top Chicago attractions, tours and activities, all at one low price! Enjoy fun…",,from,$95.00,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Bike and Roll,https://www.tripadvisor.com/AttractionProductReview-g35805-d11455810-Chicago_Lincoln_Park_Bike_Adventure-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/a2/4e/caption.jpg?w=500&h=400&s=1,Chicago Lincoln Park Bike Adventure,114.,https://www.tripadvisor.com/AttractionProductReview-g35805-d11455810-Chicago_Lincoln_Park_Bike_Adventure-Chicago_Illinois.html#REVIEWS,3,https://www.tripadvisor.com/Attraction_Review-g35805-d1818809-Reviews-Bike_and_Roll-Chicago_Illinois.html,Bike Tours,3 hours,"Enjoy the car-free lakefront trail and explore Chicago’s beaches, parks, lagoons, and gorgeous Lincoln Park Zoo (free admission…",Free cancellation,from,$42.50,per adult,More info,
Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Travel Curious - Chicago,https://www.tripadvisor.com/AttractionProductReview-g35805-d23123496-Private_Half_Day_Highlights_of_Chicago_with_the_Hancock_Tower_Observation_Deck-Chic.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/8d/2c/dd/caption.jpg?w=500&h=400&s=1,"Private Half Day Highlights of Chicago, with the Hancock Tower Observation Deck",115.,,,https://www.tripadvisor.com/Attraction_Review-g35805-d21192951-Reviews-Travel_Curious_Chicago-Chicago_Illinois.html,City Tours,4 hours,"Enjoy a privately guided walking tour of Chicago's highlights, including tickets to the 360 Observation Deck on the 94th…",Free cancellation,from,$230.00,per adult,More info,Taking safety measures
,,https://www.tripadvisor.com/AttractionProductReview-g35805-d14154019-Chicago_West_Loop_Pizza_Crawl-Chicago_Illinois.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/7a/f1/d1/caption.jpg?w=500&h=400&s=1,Chicago West Loop Pizza Crawl,116.,https://www.tripadvisor.com/AttractionProductReview-g35805-d14154019-Chicago_West_Loop_Pizza_Crawl-Chicago_Illinois.html#REVIEWS,5,,Walking Tours,3 hours,"Taste four different styles of pizza in about three hours. Learn about Chicago's 10 pizza styles, and discover why there…",,from,$59.00,per adult,More info,Taking safety measures
