WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7
15,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Trippest Mini Group Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11478465-Mini_Group_One_Day_Simatai_West_to_Jinshanling_Great_Wall_Hiking_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11478465-Mini_Group_One_Day_Simatai_West_to_Jinshanling_Great_Wall_Hiking_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/1f/9a/caption.jpg?w=500&h=400&s=1,Mini Group: One-Day Simatai West to Jinshanling Great Wall Hiking Tour,135.,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html,,6+ hours,"This moderately challenging, 3-hour hike offers breathtaking views of the Great Wall from Simatai West to Jinshanling, snaking…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$186.00,per adult,More info
6,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Trippest Mini Group Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d15567233-Skip_the_Line_Mutianyu_Great_Wall_Daily_Shuttle_Bus_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15567233-Skip_the_Line_Mutianyu_Great_Wall_Daily_Shuttle_Bus_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ef/9a/c2/caption.jpg?w=500&h=400&s=1,Skip-the-Line: Mutianyu Great Wall Daily Shuttle Bus Tour,136.,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html,Full-day Tours,6+ hours,"• Round-way bus transportation. Morning/afternoon departure. Make your own choice. 

• Each coach will have a bilingual …",Free cancellation,,,from,$29.87,per adult,More info
182,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Travel China Guide,https://www.tripadvisor.com/AttractionProductReview-g294212-d11455654-2_Day_Small_Group_Tour_of_Beijing_Highlights-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11455654-2_Day_Small_Group_Tour_of_Beijing_Highlights-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/85/8c/caption.jpg?w=500&h=400&s=1,2-Day Small-Group Tour of Beijing Highlights,137.,https://www.tripadvisor.com/Attraction_Review-g294212-d6614712-Reviews-Travel_China_Guide-Beijing.html,Bus Tours,2 days,"Explore Mutianyu Great Wall, Forbidden City and Tiananmen Square in the first day and visit the Summer Palace, Temple of…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$278.00,per adult,More info
40,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Layover Tour,https://www.tripadvisor.com/AttractionProductReview-g294212-d14174115-Beijing_Layover_Small_Group_Tour_to_Great_Wall_9AM_1PM-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14174115-Beijing_Layover_Small_Group_Tour_to_Great_Wall_9AM_1PM-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/55/e7/77/caption.jpg?w=500&h=400&s=1,Beijing Layover Small Group Tour to Great Wall (9AM-1PM),138.,https://www.tripadvisor.com/Attraction_Review-g294212-d10264740-Reviews-Beijing_Layover_Tour-Beijing.html,Bus Tours,4 hours,If you have 8 or more hours layover in Beijing and if you have limited budget. This small group tour to visit the Great …,Free cancellation,97% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$112.00,per adult,More info
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Meto Private Tour,https://www.tripadvisor.com/AttractionProductReview-g294212-d14192065-All_Inclusive_Private_Tour_Juyongguan_Greatwall_Sacred_Road_MingTombs-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14192065-All_Inclusive_Private_Tour_Juyongguan_Greatwall_Sacred_Road_MingTombs-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b8/ae/9f/caption.jpg?w=500&h=400&s=1,"All Inclusive Private Tour: Juyongguan Greatwall, Sacred Road, MingTombs",139.,https://www.tripadvisor.com/Attraction_Review-g294212-d12689773-Reviews-Beijing_Meto_Private_Tour-Beijing.html,Full-day Tours,6+ hours,"This tour you will see one of the original and perfectly restored part wall -- Juyongguan Great Wall, which called one of…",Free cancellation,,,from,$175.62,per adult,More info
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Han Tang Tour Beijing,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152735-Beijing_Historical_Tour_I_Forbidden_City_Tiananmen_Square_Temple_of_Heaven-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152735-Beijing_Historical_Tour_I_Forbidden_City_Tiananmen_Square_Temple_of_Heaven-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/a5/30/93/caption.jpg?w=500&h=400&s=1,"Beijing Historical Tour I - Forbidden City, Tiananmen Square & Temple of Heaven",140.,https://www.tripadvisor.com/Attraction_Review-g294212-d19948410-Reviews-Han_Tang_Tour_Beijing-Beijing.html,Bus Tours,6+ hours,Get to know Beijing and its amazing history by visiting three of the city's most impressive historic attractions: Tian'anmen…,Free cancellation,,,from,$60.80,per adult,More info
9,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Jenny's Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d15090100-Private_Day_Tour_to_Mutianyu_Great_Wall_and_Summer_Palace-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15090100-Private_Day_Tour_to_Mutianyu_Great_Wall_and_Summer_Palace-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/a2/09/caption.jpg?w=500&h=400&s=1,Private Day Tour to Mutianyu Great Wall and Summer Palace,141.,https://www.tripadvisor.com/Attraction_Review-g294212-d8046834-Reviews-Jenny_s_Guide_Driver_Service-Beijing.html,Bus Tours,8–9 hours,"Visit the Great Wall of China at Mutianyu and the Summer Palace, both UNESCO World Heritage sites, on a full-day private…",Free cancellation,,,from,$173.34,per adult,More info
77,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Travel China Guide,https://www.tripadvisor.com/AttractionProductReview-g294212-d11455673-Small_Group_Full_Day_Tour_of_Beijing_City-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11455673-Small_Group_Full_Day_Tour_of_Beijing_City-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/07/58/e8/caption.jpg?w=500&h=400&s=1,Small-Group Full-Day Tour of Beijing City,142.,https://www.tripadvisor.com/Attraction_Review-g294212-d6614712-Reviews-Travel_China_Guide-Beijing.html,Bus Tours,6+ hours,Travel in this mini group tour to admire Beijing's four highlights accompanied by a professional tour guide. Start your …,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$129.00,per adult,More info
8,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Linda Beijing Tour Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d15615567-Layover_Trip_to_Mutianyu_Great_Wall_Forbidden_City_with_English_Speaking_Driver-Be.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15615567-Layover_Trip_to_Mutianyu_Great_Wall_Forbidden_City_with_English_Speaking_Driver-Be.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/8f/d0/caption.jpg?w=500&h=400&s=1,Layover Trip to Mutianyu Great Wall&Forbidden City with English Speaking Driver,143.,https://www.tripadvisor.com/Attraction_Review-g294212-d8616785-Reviews-Linda_Beijing_Tour_Car_Service-Beijing.html,Full-day Tours,8–9 hours,"If your flight stops in Beijing for about 12hours ,Don't just sit in a cold chair , play games, How boring is it ! 

The…",Free cancellation,,,from,$126.00,per adult,More info
33,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Trippest Mini Group Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d12957752-Mini_Group_Half_Day_Great_Wall_at_Mutianyu_Hiking_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12957752-Mini_Group_Half_Day_Great_Wall_at_Mutianyu_Hiking_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6f/a0/05/caption.jpg?w=500&h=400&s=1,Mini Group: Half-Day Great Wall at Mutianyu Hiking Tour,144.,https://www.tripadvisor.com/Attraction_Review-g294212-d4006739-Reviews-The_Trippest_Mini_Group_Tours-Beijing.html,,6 hours,"For the first-time visitor to Beijing, who wants to see most highlights of the Great Wall in a time-saving manner, without…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$157.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Discover Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11470219-Private_Afternoon_Tour_to_Pearl_Market_with_Kung_Fu_Show_and_Peking_Duck_Dinner-Be.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11470219-Private_Afternoon_Tour_to_Pearl_Market_with_Kung_Fu_Show_and_Peking_Duck_Dinner-Be.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/e4/95/caption.jpg?w=500&h=400&s=1,Private Afternoon Tour to Pearl Market with Kung Fu Show and Peking Duck Dinner,145.,https://www.tripadvisor.com/Attraction_Review-g294212-d3680609-Reviews-Discover_Beijing_Tours-Beijing.html,Bus Tours,5 hours,Walk into the famous Pearl market where your own expert shopper will give you tips and suggestions on the purchases you …,Free cancellation,,,from,$128.00,per adult,More info
8,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Airport Layover Tour,https://www.tripadvisor.com/AttractionProductReview-g294212-d14007415-4_Hour_Beijing_Layover_Night_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14007415-4_Hour_Beijing_Layover_Night_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/77/62/4e/caption.jpg?w=500&h=400&s=1,4 Hour Beijing Layover Night Tour,146.,https://www.tripadvisor.com/Attraction_Review-g294212-d3922875-Reviews-Airport_Layover_Tour-Beijing.html,Bus Tours,4 hours,Your private guide will show you to some night attractions in Beijing city. They are called must-see places in the evening…,Free cancellation,,,from,$95.00,per adult,More info
3,Free Cancellation up to 7 days in advance,By Lily's Beijing Tour Guide & Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d11476995-Private_2_Day_Datong_from_Beijing_with_Yungang_Grottoes-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11476995-Private_2_Day_Datong_from_Beijing_with_Yungang_Grottoes-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/14/7c/caption.jpg?w=500&h=400&s=1,Private 2-Day Datong from Beijing with Yungang Grottoes,147.,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html,Bus Tours,2 days,Datong is one of the most ancient city in China with more than 3000 year history. It used be the capital city for the dynasties…,Free cancellation,,,from,$498.00,per adult,More info
6,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Unique Beijing Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d12724569-Private_Half_Day_Temple_of_Heaven_and_Lama_Temple_Tour_by_Metro-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12724569-Private_Half_Day_Temple_of_Heaven_and_Lama_Temple_Tour_by_Metro-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/59/13/1e/caption.jpg?w=500&h=400&s=1,Private Half-Day Temple of Heaven and Lama Temple Tour by Metro,148.,https://www.tripadvisor.com/Attraction_Review-g294212-d8051374-Reviews-Unique_Beijing_Tours-Beijing.html,City Tours,4 hours,Utilizing public transportation to make for easy access to famous religious attractions Temple of Heaven and Lama Temple…,Free cancellation,,,from,$88.00,per adult,More info
5,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Lily's Beijing Tour Guide & Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d11482486-Beijing_Imperial_Dining_Experience_at_Bai_Jia_Da_Yuan_Restaurant_with_Houhai_Lake_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11482486-Beijing_Imperial_Dining_Experience_at_Bai_Jia_Da_Yuan_Restaurant_with_Houhai_Lake_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5f/b1/83/caption.jpg?w=500&h=400&s=1,Beijing Imperial Dining Experience at Bai Jia Da Yuan Restaurant with Houhai Lake Bar Tour,149.,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html,Bus Tours,4 hours,Take your love one to enjoy this unforgettable Chinese Imperial Dining experience at famous Bai Jia Da Yuan restaurant in…,Free cancellation,,,from,$248.00,per adult,More info
1,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Mark’s Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d11477818-Bullet_Train_To_Datong_Yungang_Grottoes_from_Beijing_Private_Day_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11477818-Bullet_Train_To_Datong_Yungang_Grottoes_from_Beijing_Private_Day_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/35/97/caption.jpg?w=500&h=400&s=1,Bullet Train To Datong Yungang Grottoes from Beijing Private Day Tour,150.,https://www.tripadvisor.com/Attraction_Review-g294212-d2518896-Reviews-Mark_s_Guide_Driver_Service-Beijing.html,Rail Tours,6+ hours,You cannot imagine until you stand gazing up at them how awe inspiring are the statues and stone-cut architecture of the…,Free cancellation,,,from,$410.00,per adult,More info
6,,,,,,,,,1,5,,7,,,,,,
"3,000+ places sorted by traveler favorites","Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=TW5XXy9BdHRyYWN0aW9ucy1nMjk0MjEyLUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLUJlaWppbmcuaHRtbF9qRmQ%3D,,,,,,,,,,,,,,,
12,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Han Tang Tour Beijing,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152736-Beijing_Historical_Tour_II_including_Summer_Palace_Lama_Temple_Panda_Garden-Beijin.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12152736-Beijing_Historical_Tour_II_including_Summer_Palace_Lama_Temple_Panda_Garden-Beijin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/ee/72/caption.jpg?w=500&h=400&s=1,"Beijing Historical Tour II including Summer Palace, Lama Temple & Panda Garden",151.,https://www.tripadvisor.com/Attraction_Review-g294212-d19948410-Reviews-Han_Tang_Tour_Beijing-Beijing.html,Bus Tours,6+ hours,Visit two of Beijing’s most important historic sites on a full-day tour that features the Lama Temple (Yonghegong) and UNESCO…,Free cancellation,,,from,$58.67,per adult,More info
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Lily's Beijing Tour Guide & Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d11477606-All_Inclusive_Private_Day_Trip_to_Simatai_Great_Wall_and_Gubei_Water_Town-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11477606-All_Inclusive_Private_Day_Trip_to_Simatai_Great_Wall_and_Gubei_Water_Town-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/61/88/caption.jpg?w=500&h=400&s=1,All Inclusive Private Day Trip to Simatai Great Wall and Gubei Water Town,152.,https://www.tripadvisor.com/Attraction_Review-g294212-d5773897-Reviews-Lily_s_Beijing_Tour_Guide_Car_Service-Beijing.html,Full-day Tours,6+ hours,"If it is your first time visit Beijing, Great Wall is one of that stunning and magnificent attractions that you must visit…",Free cancellation,,,from,$251.00,per adult,More info
7,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Jenny's Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d14942735-Private_Layover_Trip_to_Mutianyu_Great_Wall_Forbidden_City_by_English_Driver-Beiji.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14942735-Private_Layover_Trip_to_Mutianyu_Great_Wall_Forbidden_City_by_English_Driver-Beiji.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/ba/02/caption.jpg?w=500&h=400&s=1,Private Layover Trip to Mutianyu Great Wall & Forbidden City by English Driver,153.,https://www.tripadvisor.com/Attraction_Review-g294212-d8046834-Reviews-Jenny_s_Guide_Driver_Service-Beijing.html,Full-day Tours,8–9 hours,Beijing is offering 144 hour visa-free entry policy (53 nationalities) ! 24 hour visa-free entry policy for all nationalities…,Free cancellation,,,from,$134.00,per adult,More info
7,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Impression Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d11464188-Private_Guided_Tour_of_Mutianyu_Great_Wall_from_Beijing-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11464188-Private_Guided_Tour_of_Mutianyu_Great_Wall_from_Beijing-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/99/2f/00/caption.jpg?w=500&h=400&s=1,Private Guided Tour of Mutianyu Great Wall from Beijing,154.,https://www.tripadvisor.com/Attraction_Review-g294212-d1491899-Reviews-Beijing_Impression_Tours-Beijing.html,Car Tours,5–6 hours,Don't hesitate to take this chance to see Great Wall of China when you have a stopover with 10 more hours. No advanced visa…,Free cancellation,,,from,$105.34,per adult,More info
77,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Our Beijing experiences,https://www.tripadvisor.com/AttractionProductReview-g294212-d14801220-Old_Beijing_The_Hutong_s_by_E_Bike-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14801220-Old_Beijing_The_Hutong_s_by_E_Bike-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/17/1d/caption.jpg?w=500&h=400&s=1,Old Beijing - The Hutong's by E-Bike,155.,https://www.tripadvisor.com/Attraction_Review-g294212-d16736947-Reviews-Our_Beijing_experiences-Beijing.html,E-Bike Tours,2–3 hours,Do you want to have fun in Beijing and see its the Old Towns true beauty? Then riding an An eBike is without doubt the most…,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$62.40,per adult,More info
30,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Beijing Urban Adventures,https://www.tripadvisor.com/AttractionProductReview-g294212-d11451161-Lonely_Planet_Experiences_Small_Group_or_Private_Beijing_City_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d11451161-Lonely_Planet_Experiences_Small_Group_or_Private_Beijing_City_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cc/51/13/caption.jpg?w=500&h=400&s=1,Lonely Planet Experiences: Small Group or Private Beijing City Tour,156.,https://www.tripadvisor.com/Attraction_Review-g294212-d2005232-Reviews-Beijing_Urban_Adventures-Beijing.html,Public Transportation Tours,6+ hours,Experience the best travel stories for yourself! Join a local expert and uncover hidden gems on this city adventure hand…,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$77.50,per adult,More info
11,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Jenny's Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d14199369-All_Inclusive_Private_Day_Tour_to_Mutianyu_Great_Wall-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14199369-All_Inclusive_Private_Day_Tour_to_Mutianyu_Great_Wall-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/92/0d/caption.jpg?w=500&h=400&s=1,All-Inclusive Private Day Tour to Mutianyu Great Wall,157.,https://www.tripadvisor.com/Attraction_Review-g294212-d8046834-Reviews-Jenny_s_Guide_Driver_Service-Beijing.html,Bus Tours,5–8 hours,"Visit the Great Wall of China at Mutianyu, It's UNESCO World Heritage sites. The Great Wall of China is one of the most …",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$170.00,per adult,More info
14,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Catherine Lu Tours,https://www.tripadvisor.com/AttractionProductReview-g294212-d14130311-Authentic_Old_Beijing_Hutong_Food_and_Beer_Private_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14130311-Authentic_Old_Beijing_Hutong_Food_and_Beer_Private_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/bb/f9/a3/caption.jpg?w=500&h=400&s=1,Authentic Old Beijing Hutong Food and Beer Private Tour,158.,https://www.tripadvisor.com/Attraction_Review-g294212-d1799850-Reviews-Catherine_Lu_Tours-Beijing.html,Walking Tours,3 hours,Hit the alleys of Beijing City’s old Hutong area on a 3-hour culinary tour that takes you to 4 to 6 delicious stops. Ideal…,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$98.00,per adult,More info
,Free Cancellation up to 3 days in advance,By ChinaTravelDepot,,https://www.tripadvisor.com/AttractionProductReview-g294212-d12463556-Private_Tour_Half_Day_Tour_to_Great_Wall_at_Juyongguan-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/53/e7/0b/caption.jpg?w=500&h=400&s=1,Private Tour: Half-Day Tour to Great Wall at Juyongguan,159.,https://www.tripadvisor.com/Attraction_Review-g294212-d21396591-Reviews-ChinaTravelDepot-Beijing.html,Bus Tours,4 hours,"When you’re in Beijing, you can’t miss the Great Wall of China! A private tour is the best way to see this famous Chinese…",Free cancellation,,,from,$156.80,per adult,More info
10,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Untouched Great Wall Hike,https://www.tripadvisor.com/AttractionProductReview-g294212-d14782010-Private_Huanghuacheng_Great_Wall_Hiking_Tour_from_Beijing_with_Local_Tasty_lunch-B.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d14782010-Private_Huanghuacheng_Great_Wall_Hiking_Tour_from_Beijing_with_Local_Tasty_lunch-B.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/57/17/caption.jpg?w=500&h=400&s=1,Private Huanghuacheng Great Wall Hiking Tour from Beijing with Local Tasty lunch,160.,https://www.tripadvisor.com/Attraction_Review-g294212-d4174536-Reviews-Untouched_Great_Wall_Hike-Beijing.html,Walking Tours,1 day,"you will be picked up at exit A,agricultural exhibition center subway line 10 in the morning then to the Huanghuacheng Great…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$154.16,per adult,More info
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Sunflower Tours China,https://www.tripadvisor.com/AttractionProductReview-g294212-d13992962-Private_Full_Day_Tour_Terra_Cotta_Army-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d13992962-Private_Full_Day_Tour_Terra_Cotta_Army-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/19/10/caption.jpg?w=500&h=400&s=1,Private Full Day Tour: Terra Cotta Army,161.,https://www.tripadvisor.com/Attraction_Review-g294212-d3164061-Reviews-Sunflower_Tours_China-Beijing.html,Rail Tours,6+ hours,"Enjoy a stress-free day seeing one of Xian’s most loved attractions—The Terracotta Army. After a hotel pickup, you'll travel…",Free cancellation,,,from,$298.00,per adult,More info
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Leo’s Guide & Driver Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d15854154-Longqing_Gorge_Self_Guide_Trip_with_Private_English_Speaking_Driver-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15854154-Longqing_Gorge_Self_Guide_Trip_with_Private_English_Speaking_Driver-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/db/e3/caption.jpg?w=500&h=400&s=1,Longqing Gorge Self-Guide Trip with Private English Speaking Driver,162.,https://www.tripadvisor.com/Attraction_Review-g294212-d6419006-Reviews-Leo_s_Guide_Driver_Service-Beijing.html,Full-day Tours,8–9 hours,This private day trip ( Self- Guide ) to Longqing Gorge  is the ideal trip for nature lovers to experience the beauty of…,Free cancellation,,,from,$118.00,per adult,More info
53,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The China Guide,https://www.tripadvisor.com/AttractionProductReview-g294212-d12863490-Private_Beijing_City_and_Mutianyu_Great_Wall_Tour-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d12863490-Private_Beijing_City_and_Mutianyu_Great_Wall_Tour-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/09/d3/caption.jpg?w=500&h=400&s=1,Private Beijing City and Mutianyu Great Wall Tour,163.,https://www.tripadvisor.com/Attraction_Review-g294212-d2658278-Reviews-The_China_Guide-Beijing.html,Full-day Tours,8–9 hours,"If you have never been to Beijing before, then this tour may feel like one of most action-packed, yet most fulfilling, days…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$223.00,per adult,More info
10,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Linda Beijing Tour Car Service,https://www.tripadvisor.com/AttractionProductReview-g294212-d15767705-Flexible_Private_Beijing_City_Sightseeing_with_English_Speaking_Driver-Beijing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294212-d15767705-Flexible_Private_Beijing_City_Sightseeing_with_English_Speaking_Driver-Beijing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/7c/72/caption.jpg?w=500&h=400&s=1,Flexible Private Beijing City Sightseeing with English Speaking Driver,164.,https://www.tripadvisor.com/Attraction_Review-g294212-d8616785-Reviews-Linda_Beijing_Tour_Car_Service-Beijing.html,Full-day Tours,8–9 hours,"you will visit: Tian'an men square&Forbidden City, Temple of Heaven, Summer Palace, outside of Olympic stadium with Private…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$120.00,per adult,More info
