iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,WlYyy 2,iPqaD href 2,WlYyy 3,WlYyy 4,WlYyy 5,WlYyy 6,ySnDE,ccVGl,WlYyy 8,ccVGl 2,WlYyy 9
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297962-d11478084-Pamukkale_Hot_Springs_and_Hierapolis_Ancient_city-Antalya_Turkish_Mediterranean_Co.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11478084-Pamukkale_Hot_Springs_and_Hierapolis_Ancient_city-Antalya_Turkish_Mediterranean_Co.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/03/39/55/caption.jpg?w=500&h=400&s=1,Pamukkale Hot Springs and Hierapolis Ancient city,34.,9,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,12–14 hours,Taking safety measures,Free cancellation,"Visit miracle of the world – cotton castle of Pamukkale - white terraces, down of which the thermal water is flooding. Bathe…",from,$66.75,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297961-d11484208-Sapadere_Canyon_Jeep_Tour_and_Village_Visit_from_Alanya-Alanya_Turkish_Mediterrane.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297961-d11484208-Sapadere_Canyon_Jeep_Tour_and_Village_Visit_from_Alanya-Alanya_Turkish_Mediterrane.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/2d/70/caption.jpg?w=500&h=400&s=1,Sapadere Canyon Jeep Tour and Village Visit from Alanya,35.,6,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Day Trips,6+ hours,Taking safety measures,Free cancellation,Go for a jeep ride to the Taurus mountains to a beautiful unspoiled Sapadere Canyon. Trek in the canyon or swim in the waterfall…,from,$30.55,per adult,More info
By Anemon Turizm,,https://www.tripadvisor.com/AttractionProductReview-g297962-d17515442-Pamukkale_Tour_from_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/33/2e/caption.jpg?w=500&h=400&s=1,Pamukkale Tour from Antalya,36.,,https://www.tripadvisor.com/Attraction_Review-g297962-d15529548-Reviews-Anemon_Turizm-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,Pamukkale / Hierapolis is one of the oldest thermal cities in the world. The thermal waters of Pamukkale have offered beauty…,from,$79.20,per adult,More info
By TURONTIME,,https://www.tripadvisor.com/AttractionProductReview-g297962-d20108624-Scuba_Diving_in_Antalya_Kemer-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/83/9d/d6/caption.jpg?w=500&h=400&s=1,Scuba Diving in Antalya & Kemer,37.,,https://www.tripadvisor.com/Attraction_Review-g297962-d20053895-Reviews-TURONTIME-Antalya_Turkish_Mediterranean_Coast.html,Lunch Cruises,6 hours,Free cancellation,,"Dive of the Day! You can observe the habits of marine life, discover the underwater world, learn the sign language of submariners…",from,$30.55,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297961-d11481651-Turkish_Village_Tour_Including_Sapadere_Canyon_and_Goblin_s_Cave_from_Alanya-Alany.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297961-d11481651-Turkish_Village_Tour_Including_Sapadere_Canyon_and_Goblin_s_Cave_from_Alanya-Alany.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/12/09/93/caption.jpg?w=500&h=400&s=1,Turkish Village Tour Including Sapadere Canyon and Goblin's Cave from Alanya,38.,12,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,6 hours,Taking safety measures,Free cancellation,Go for a trip to the Taurus mountains to a beautiful unspoiled Sapadere Canyon. Trek in the canyon or swim in the waterfall…,from,$27.15,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d17534042-Perge_Aspendos_Side_Waterfalls_Tour-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d17534042-Perge_Aspendos_Side_Waterfalls_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/17/32/caption.jpg?w=500&h=400&s=1,"Perge, Aspendos, Side & Waterfalls Tour",39.,8,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"Discover the ancient city of Perge, an impressive archaeological site. Marvel at the amphitheater in Aspendos and see Waterfalls…",from,$73.54,per adult,More info
By Bizim Transfer,https://www.tripadvisor.com/AttractionProductReview-g297962-d16677627-Airport_Tansfer-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d16677627-Airport_Tansfer-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/22/d0/caption.jpg?w=500&h=400&s=1,Airport Tansfer,40.,42,https://www.tripadvisor.com/Attraction_Review-g297962-d13532363-Reviews-Bizim_Transfer-Antalya_Turkish_Mediterranean_Coast.html,,2–3 hours,Taking safety measures,Free cancellation,Regular shuttle departure transfer by air conditioned minibus from your hotel or home in Alanya region to Antalya Airport…,from,$56.57,per group,More info
By U Can Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d17305743-Yacht_tour_antalya_belek_old_tawn_kundu_lara_konyaaltI_kemer-Antalya_Turkish_Medit.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d17305743-Yacht_tour_antalya_belek_old_tawn_kundu_lara_konyaaltI_kemer-Antalya_Turkish_Medit.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/15/b4/67/caption.jpg?w=500&h=400&s=1,"Yacht tour.antalya,belek,old tawn,kundu,lara,konyaaltı,kemer.",41.,2,https://www.tripadvisor.com/Attraction_Review-g297962-d7602546-Reviews-U_Can_Travel-Antalya_Turkish_Mediterranean_Coast.html,Shore Excursions,6+ hours,Taking safety measures,Free cancellation,One of the best activities you can do on your holiday is daily boat tours. A large number of daily boat tours are organized…,from,$37.33,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d11485156-Traditional_Turkish_Bath_Experience_in_Antalya-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11485156-Traditional_Turkish_Bath_Experience_in_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/c4/4a/b6/caption.jpg?w=500&h=400&s=1,Traditional Turkish Bath Experience in Antalya,42.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,,2 hours,Free cancellation,,Experience a traditional Turkish bath while you visit Antalya. This package that takes approximately 2.5 hours included …,from,$50.91,per adult,More info
By Smooth Travel,,https://www.tripadvisor.com/AttractionProductReview-g297962-d23480660-Antalya_City_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/36/2d/2a/caption.jpg?w=500&h=400&s=1,Antalya City Tour,43.,,https://www.tripadvisor.com/Attraction_Review-g297962-d3341463-Reviews-Smooth_Travel-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,6 hours,Taking safety measures,Free cancellation,"What`s Unique:

• Visit Old and Provincial Antalya in our one day tour.. 

• Enjoy an informative guided tour along the …",from,$48.65,per adult,More info
By U Can Travel,,https://www.tripadvisor.com/AttractionProductReview-g297962-d15040776-Fire_of_anatolia_dancing_show_troya_dancing_show-Antalya_Turkish_Mediterranean_Coa.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9c/2b/cb/caption.jpg?w=500&h=400&s=1,fire of anatolia dancing show (troya dancing show),44.,,https://www.tripadvisor.com/Attraction_Review-g297962-d7602546-Reviews-U_Can_Travel-Antalya_Turkish_Mediterranean_Coast.html,Light & Sound Shows,5–6 hours,Taking safety measures,Free cancellation,our show on the lifestyle and dances of the civilizations that lived in the past in the Anatolian lands consists of our …,from,$73.54,per adult,More info
By Attalos Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d19802191-Aspendos_Perge_Side_Kursunlu_Waterfall_Tour-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d19802191-Aspendos_Perge_Side_Kursunlu_Waterfall_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/72/9d/a0/caption.jpg?w=500&h=400&s=1,"Aspendos, Perge, Side, Kurşunlu Waterfall Tour",45.,1,https://www.tripadvisor.com/Attraction_Review-g297962-d19426064-Reviews-Attalos_Travel-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"spectaculer tour in heart of the history and nature , you will see 3 different ancient city and most beatiful waterfall …",from,$69.22,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d11458144-Diving_in_the_Mediterranean_sea-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11458144-Diving_in_the_Mediterranean_sea-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/f9/a0/f4/caption.jpg?w=500&h=400&s=1,Diving in the Mediterranean sea,46.,10,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,,6+ hours,Taking safety measures,Free cancellation,"Take the opportunity of scuba diving in the pure waters of Mediterranean Sea, to see the amazing coral reef pattern and …",from,$64.66,per adult,More info
By U Can Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d14179974-Experience_Excitement_With_Paramator_paragliding-Antalya_Turkish_Mediterranean_Coa.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d14179974-Experience_Excitement_With_Paramator_paragliding-Antalya_Turkish_Mediterranean_Coa.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8a/74/fb/caption.jpg?w=500&h=400&s=1,"Experience Excitement With Paramator,paragliding.",47.,8,https://www.tripadvisor.com/Attraction_Review-g297962-d7602546-Reviews-U_Can_Travel-Antalya_Turkish_Mediterranean_Coast.html,Adventure Tours,1–3 hours,Taking safety measures,,"Paramotor By ANTALYA 

Motor: allows the pilot to move forward and rise. 

Parachute (Wing): allows to float in the air 

…",from,$158.39,per adult,More info
By E-Bike Antalya-Daily Tours,https://www.tripadvisor.com/AttractionProductReview-g297962-d11455319-Antalya_Electric_Bike_Tour-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11455319-Antalya_Electric_Bike_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9f/cb/b6/caption.jpg?w=500&h=400&s=1,Antalya Electric Bike Tour,48.,169,https://www.tripadvisor.com/Attraction_Review-g297962-d6650821-Reviews-E_Bike_Antalya_Daily_Tours-Antalya_Turkish_Mediterranean_Coast.html,E-Bike Tours,4 hours,Taking safety measures,Free cancellation,"Tick through Antalya’s sights with ease on this 4-hour electric bike tour, led by a professional guide. Hop aboard your …",from,$59.00,per adult,More info
By Neon Tours - Day Tours,https://www.tripadvisor.com/AttractionProductReview-g297962-d11449902-Perge_Aspendos_and_Waterfalls_Day_Tour_from_Antalya-Antalya_Turkish_Mediterranean_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11449902-Perge_Aspendos_and_Waterfalls_Day_Tour_from_Antalya-Antalya_Turkish_Mediterranean_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/59/ab/caption.jpg?w=500&h=400&s=1,"Perge, Aspendos and Waterfalls Day Tour from Antalya",49.,7,https://www.tripadvisor.com/Attraction_Review-g297962-d2050011-Reviews-Neon_Tours_Day_Tours-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"Depart in the morning and visit Perge, the place where most of the statues that are on display in Antalya Museum were unearthed…",from,$105.00,per adult,More info
By Solymos Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d14019326-Demre_Myra_Kekova_Sunken_City-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d14019326-Demre_Myra_Kekova_Sunken_City-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/a3/d6/caption.jpg?w=500&h=400&s=1,Demre Myra Kekova Sunken City,50.,8,https://www.tripadvisor.com/Attraction_Review-g297962-d3506348-Reviews-Solymos_Travel-Antalya_Turkish_Mediterranean_Coast.html,Full-day Tours,6+ hours,Free cancellation,,"Pickup from hotels, flexible departure depending on the location of the hotel. There is a beautiful coastal sceneic drive…",from,$84.85,per adult,More info
By Boat Trips by Captain Ergun,https://www.tripadvisor.com/AttractionProductReview-g297965-d13406041-Tandem_Paragliding_Fly_Over_Lycia_Kas_and_Meis-Kas_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297965-d13406041-Tandem_Paragliding_Fly_Over_Lycia_Kas_and_Meis-Kas_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b8/53/0a/caption.jpg?w=500&h=400&s=1,"Tandem Paragliding Fly Over Lycia, Kas and Meis",51.,1,https://www.tripadvisor.com/Attraction_Review-g297965-d1924711-Reviews-Boat_Trips_by_Captain_Ergun-Kas_Turkish_Mediterranean_Coast.html,,2 hours,Free cancellation,,"Flight starts from Mount Assas which is on the shoulders of Kaş.

Kaş is one of the best place to do paragliding in Turkey…",from,$135.76,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297963-d11481657-5_in_1_THE_BEST_OF_ANTALYA_region_Perge_Aspendos_Side_Kursunlu_Waterfall-Serik_Ser.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297963-d11481657-5_in_1_THE_BEST_OF_ANTALYA_region_Perge_Aspendos_Side_Kursunlu_Waterfall-Serik_Ser.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d0/f3/6b/caption.jpg?w=500&h=400&s=1,"5 in 1: THE BEST OF ANTALYA region: Perge, Aspendos, Side, Kursunlu Waterfall",52.,10,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"Visit 5 beautiful attractions around Antalya in one day. A trip to the ancient cities of Perge and Side, exploration of …",from,$90.97,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d13476472-Antalya_City_Tour_with_Boat_Trip_and_Duden_Waterfalls-Antalya_Turkish_Mediterranea.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d13476472-Antalya_City_Tour_with_Boat_Trip_and_Duden_Waterfalls-Antalya_Turkish_Mediterranea.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/a0/fc/caption.jpg?w=500&h=400&s=1,Antalya City Tour with Boat Trip and Duden Waterfalls,53.,5,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Full-day Tours,6+ hours,Taking safety measures,,Discover Antalya on this full-day Sightseeing tour. Enjoy the boat trip from the ancient harbour to the Duden Waterfall …,from,$32.81,per adult,More info
By Tours in Belek,,https://www.tripadvisor.com/AttractionProductReview-g312725-d23440218-Half_Day_Boat_Tour_to_Antalya_Waterfalls-Belek_Serik_District_Turkish_Mediterranea.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/17/0d/59/caption.jpg?w=500&h=400&s=1,Half-Day Boat Tour to Antalya Waterfalls,54.,,https://www.tripadvisor.com/Attraction_Review-g312725-d12290140-Reviews-Tours_in_Belek-Belek_Serik_District_Turkish_Mediterranean_Coast.html,City Tours,4 hours,Taking safety measures,Free cancellation,"If you fancy a sea swim in one of the best spots for it in Antalya, this optional morning or afternoon half-day cruise is…",from,$39.60,per adult,More info
By Boat Trips by Captain Ergun,https://www.tripadvisor.com/AttractionProductReview-g297962-d15847372-Private_Boat_Tour_to_Kekova_and_Sunken_City_From_Antalya_Incl_Transfer-Antalya_Tur.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d15847372-Private_Boat_Tour_to_Kekova_and_Sunken_City_From_Antalya_Incl_Transfer-Antalya_Tur.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/06/a7/caption.jpg?w=500&h=400&s=1,Private Boat Tour to Kekova and Sunken City From Antalya Incl.Transfer,55.,10,https://www.tripadvisor.com/Attraction_Review-g297965-d1924711-Reviews-Boat_Trips_by_Captain_Ergun-Kas_Turkish_Mediterranean_Coast.html,Lunch Cruises,8–11 hours,Taking safety measures,Free cancellation,Kekova could be renamed heaven. It is where nature unites with history. Its turquoise waters are adorned by countless coves…,from,$917.33,per group,More info
By Tours in Alanya,https://www.tripadvisor.com/AttractionProductReview-g297961-d12597002-Duden_Waterfalls_Temple_of_Apollo_and_Aspendos_Day_Tour-Alanya_Turkish_Mediterrane.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297961-d12597002-Duden_Waterfalls_Temple_of_Apollo_and_Aspendos_Day_Tour-Alanya_Turkish_Mediterrane.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/84/6e/caption.jpg?w=500&h=400&s=1,Duden Waterfalls Temple of Apollo and Aspendos Day Tour,56.,14,https://www.tripadvisor.com/Attraction_Review-g297961-d2202779-Reviews-Tours_in_Alanya-Alanya_Turkish_Mediterranean_Coast.html,,6+ hours,Taking safety measures,Free cancellation,"Get ready for a fascinating journey into the past. Visit the amphitheatre in Aspendos, one of the best preserved examples…",from,$50.91,per adult,More info
By Solymos Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d13979242-Perge_Aspendos_Side_Waterfall_Tour-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d13979242-Perge_Aspendos_Side_Waterfall_Tour-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/9d/e7/caption.jpg?w=500&h=400&s=1,Perge Aspendos Side Waterfall Tour,57.,22,https://www.tripadvisor.com/Attraction_Review-g297962-d3506348-Reviews-Solymos_Travel-Antalya_Turkish_Mediterranean_Coast.html,Ports of Call Tours,6+ hours,Free cancellation,,"Perga or Perge was an ancient Anatolian city in modern Turkey, once the capital of Pamphylia Secunda, now in Antalya province…",from,$84.85,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d13346674-Family_Rafting_Trip_at_Koprulu_Canyon_from_Antalya-Antalya_Turkish_Mediterranean_C.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d13346674-Family_Rafting_Trip_at_Koprulu_Canyon_from_Antalya-Antalya_Turkish_Mediterranean_C.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/89/e2/caption.jpg?w=500&h=400&s=1,Family Rafting Trip at Köprülü Canyon from Antalya,58.,4,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Adventure Tours,10–12 hours,Taking safety measures,Free cancellation,Experience the rush of adrenaline. You can do rafting at the rapid water currents of Koprulu Canyon. It’s a truly amazing…,from,$20.90,per adult,More info
By Tours in Alanya,https://www.tripadvisor.com/AttractionProductReview-g297961-d12174318-Full_Day_Tour_of_Kursunlu_Waterfalls_Aspendos_and_Ancient_Ruins_of_Side_From_Alany.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297961-d12174318-Full_Day_Tour_of_Kursunlu_Waterfalls_Aspendos_and_Ancient_Ruins_of_Side_From_Alany.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/0d/ff/c0/caption.jpg?w=500&h=400&s=1,"Full-Day Tour of Kursunlu Waterfalls, Aspendos, and Ancient Ruins of Side From Alanya",59.,6,https://www.tripadvisor.com/Attraction_Review-g297961-d2202779-Reviews-Tours_in_Alanya-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"Get ready for a fascinating guided journey into the past. On this full-day, small-group tour visit the amphitheater in Aspendos…",from,$47.52,per adult,More info
By Tours Antalya,https://www.tripadvisor.com/AttractionProductReview-g297962-d11460238-Fire_of_Anatolia_at_Gloria_Aspendos_Arena_from_Antalya-Antalya_Turkish_Mediterrane.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11460238-Fire_of_Anatolia_at_Gloria_Aspendos_Arena_from_Antalya-Antalya_Turkish_Mediterrane.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/8b/eb/caption.jpg?w=500&h=400&s=1,Fire of Anatolia at Gloria Aspendos Arena from Antalya,60.,5,https://www.tripadvisor.com/Attraction_Review-g297962-d6160838-Reviews-Tours_Antalya-Antalya_Turkish_Mediterranean_Coast.html,Shows,5 hours,Taking safety measures,Free cancellation,Over 120 dancers perform at the grand Gloria Aspendos Arena. You get the chance of seeing the renowned Fire of Anatolia …,from,$84.85,per adult,More info
,,,,,,1,,3,,,,,,,,
By Tours in Alanya,https://www.tripadvisor.com/AttractionProductReview-g297962-d11458192-Canyoning_and_Rafting_Tours_from_Alanya-Antalya_Turkish_Mediterranean_Coast.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11458192-Canyoning_and_Rafting_Tours_from_Alanya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/30/ed/26/caption.jpg?w=500&h=400&s=1,Canyoning and Rafting Tours from Alanya,31.,2,https://www.tripadvisor.com/Attraction_Review-g297961-d2202779-Reviews-Tours_in_Alanya-Alanya_Turkish_Mediterranean_Coast.html,,6+ hours,Taking safety measures,Free cancellation,Want to experience a rush of adrenaline? You can do rafting at the rapid water currents of Koprulu Canyon. It’s a truly …,from,$41.15,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297968-d13492423-Antalya_Old_Town_Waterfall_and_Cable_Car_trip_from_Side-Side_Manavgat_Turkish_Medi.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297968-d13492423-Antalya_Old_Town_Waterfall_and_Cable_Car_trip_from_Side-Side_Manavgat_Turkish_Medi.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/ae/43/caption.jpg?w=500&h=400&s=1,"Antalya Old Town, Waterfall and Cable Car trip from Side",32.,5,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Adventure Tours,6+ hours,Taking safety measures,Free cancellation,Ride a Cable Car to the hill top to see whole Antalya from the high. Walk along the narrow streets of old town and make …,from,$37.72,per adult,More info
By U Can Travel,https://www.tripadvisor.com/AttractionProductReview-g297962-d20118636-Buggy_Safari_natural_trails_attention_high_excitement-Antalya_Turkish_Mediterranea.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d20118636-Buggy_Safari_natural_trails_attention_high_excitement-Antalya_Turkish_Mediterranea.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e3/80/bb/caption.jpg?w=500&h=400&s=1,Buggy Safari natural trails (attention high excitement),33.,2,https://www.tripadvisor.com/Attraction_Review-g297962-d7602546-Reviews-U_Can_Travel-Antalya_Turkish_Mediterranean_Coast.html,,4–5 hours,Taking safety measures,Free cancellation,This event is designed to evaluate the best times in the natural region. They will make the natural beauty of our Antalya…,from,$56.57,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297962-d11478084-Pamukkale_Hot_Springs_and_Hierapolis_Ancient_city-Antalya_Turkish_Mediterranean_Co.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297962-d11478084-Pamukkale_Hot_Springs_and_Hierapolis_Ancient_city-Antalya_Turkish_Mediterranean_Co.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/03/39/55/caption.jpg?w=500&h=400&s=1,Pamukkale Hot Springs and Hierapolis Ancient city,34.,9,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Bus Tours,12–14 hours,Taking safety measures,Free cancellation,"Visit miracle of the world – cotton castle of Pamukkale - white terraces, down of which the thermal water is flooding. Bathe…",from,$66.75,per adult,More info
By Metin Tour,https://www.tripadvisor.com/AttractionProductReview-g297961-d11484208-Sapadere_Canyon_Jeep_Tour_and_Village_Visit_from_Alanya-Alanya_Turkish_Mediterrane.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297961-d11484208-Sapadere_Canyon_Jeep_Tour_and_Village_Visit_from_Alanya-Alanya_Turkish_Mediterrane.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/2d/70/caption.jpg?w=500&h=400&s=1,Sapadere Canyon Jeep Tour and Village Visit from Alanya,35.,6,https://www.tripadvisor.com/Attraction_Review-g297961-d9699534-Reviews-Metin_Tour-Alanya_Turkish_Mediterranean_Coast.html,Day Trips,6+ hours,Taking safety measures,Free cancellation,Go for a jeep ride to the Taurus mountains to a beautiful unspoiled Sapadere Canyon. Trek in the canyon or swim in the waterfall…,from,$30.55,per adult,More info
By Anemon Turizm,,https://www.tripadvisor.com/AttractionProductReview-g297962-d17515442-Pamukkale_Tour_from_Antalya-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/33/2e/caption.jpg?w=500&h=400&s=1,Pamukkale Tour from Antalya,36.,,https://www.tripadvisor.com/Attraction_Review-g297962-d15529548-Reviews-Anemon_Turizm-Antalya_Turkish_Mediterranean_Coast.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,Pamukkale / Hierapolis is one of the oldest thermal cities in the world. The thermal waters of Pamukkale have offered beauty…,from,$79.20,per adult,More info
By TURONTIME,,https://www.tripadvisor.com/AttractionProductReview-g297962-d20108624-Scuba_Diving_in_Antalya_Kemer-Antalya_Turkish_Mediterranean_Coast.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/83/9d/d6/caption.jpg?w=500&h=400&s=1,Scuba Diving in Antalya & Kemer,37.,,https://www.tripadvisor.com/Attraction_Review-g297962-d20053895-Reviews-TURONTIME-Antalya_Turkish_Mediterranean_Coast.html,Lunch Cruises,6 hours,Free cancellation,,"Dive of the Day! You can observe the habits of marine life, discover the underwater world, learn the sign language of submariners…",from,$30.55,per adult,More info
