WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,ySnDE,dXxty,ccVGl,WlYyy 4,ccVGl 2,WlYyy 5,WlYyy 6,WlYyy 7,cctrW 2
95,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Monster Day Tours,https://www.tripadvisor.com/AttractionProductReview-g294265-d17814362-Private_Singapore_Civic_District_Sightseeing_Walking_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d17814362-Private_Singapore_Civic_District_Sightseeing_Walking_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9f/02/d9/caption.jpg?w=500&h=400&s=1,Private Singapore Civic District Sightseeing Walking Tour,64.,https://www.tripadvisor.com/Attraction_Review-g294265-d11983460-Reviews-Monster_Day_Tours-Singapore.html,Private and Luxury,3 hours,"A 3 hour walking tour of Singapore City with a local guide. Visit Merlion Park, Civic District, Marina Bay & Singapore River…",,from,$105.29,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
5,,By City Unscripted,https://www.tripadvisor.com/AttractionProductReview-g294265-d13377170-Singapore_Private_Tours_with_Locals_100_Personalized_See_the_City_Unscripted-Singa.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d13377170-Singapore_Private_Tours_with_Locals_100_Personalized_See_the_City_Unscripted-Singa.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b1/b4/85/caption.jpg?w=500&h=400&s=1,"Singapore Private Tours with Locals: 100% Personalized, See the City Unscripted",65.,https://www.tripadvisor.com/Attraction_Review-g294265-d13170224-Reviews-City_Unscripted-Singapore.html,City Tours,6+ hours,"You couldn't see everything Singapore has to offer in one day, but with one of our hosts by your side, you sure can try! …",Taking safety measures,from,$177.19,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
50,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Let's Go Bike,https://www.tripadvisor.com/AttractionProductReview-g294265-d14080873-Singapore_Bike_and_Bites_Food_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d14080873-Singapore_Bike_and_Bites_Food_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e2/f0/4f/caption.jpg?w=500&h=400&s=1,Singapore Bike and Bites Food Tour,66.,https://www.tripadvisor.com/Attraction_Review-g294265-d3561703-Reviews-Let_s_Go_Bike-Singapore.html,Walking Tours,3 hours,This is a hybrid Food & Bike tour. Suitable for Foodies & Outdoor lovers alike. We will cover food highlights at 3 different…,,from,$68.67,per adult,More info,98% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
162,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Kayak Fishing Fever,https://www.tripadvisor.com/AttractionProductReview-g294264-d16878475-Kayak_Fishing_in_Singapore-Sentosa_Island.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294264-d16878475-Kayak_Fishing_in_Singapore-Sentosa_Island.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/61/fc/4c/caption.jpg?w=500&h=400&s=1,Kayak Fishing in Singapore,67.,https://www.tripadvisor.com/Attraction_Review-g294265-d14934162-Reviews-Kayak_Fishing_Fever-Singapore.html,Adventure Tours,4 hours,Experience the most thrilling way to catch a fish in Singapore. You’ll head out with our fishing guide on Hobie fishing …,Taking safety measures,from,$126.64,per adult,More info,100% of travelers recommend this experience,,
13,,By Tour East Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d11449607-Colonial_Charms_of_the_City-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11449607-Colonial_Charms_of_the_City-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/c9/da/caption.jpg?w=500&h=400&s=1,Colonial Charms of the City,68.,https://www.tripadvisor.com/Attraction_Review-g294265-d2214169-Reviews-Tour_East_Singapore-Singapore.html,Bus Tours,4 hours,See Singapore after the sun goes down. Appreciate colonial buildings and beautiful architecture before winding down with…,Taking safety measures,from,$90.11,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
139,,By Tiger Brewery Tour,https://www.tripadvisor.com/AttractionProductReview-g294265-d12968437-Tiger_Brewery_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12968437-Tiger_Brewery_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/d9/6b/84/caption.jpg?w=500&h=400&s=1,Tiger Brewery Tour,69.,https://www.tripadvisor.com/Attraction_Review-g294265-d1815807-Reviews-Tiger_Brewery_Tour-Singapore.html,Attractions & Museums,90–180 minutes,"• Admission inclusive of a complimentary guided tour and a beer appreciation session at the end of the tour

 • Behind the…",,from,$13.73,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
24,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Livin' Da Local,https://www.tripadvisor.com/AttractionProductReview-g294265-d19592302-UNESCO_Hawker_Centre_Street_Food_Tour_at_Chinatown_Little_India_Arab_Street-Singap.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d19592302-UNESCO_Hawker_Centre_Street_Food_Tour_at_Chinatown_Little_India_Arab_Street-Singap.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/72/c9/caption.jpg?w=500&h=400&s=1,"UNESCO Hawker Centre Street Food Tour at Chinatown, Little India & Arab Street",70.,https://www.tripadvisor.com/Attraction_Review-g294265-d19527256-Reviews-Livin_Da_Local-Singapore.html,Bus Tours,4–5 hours,Your host is a friendly 4th generation Singapore Chinese Peranakan with a strong passion to share real life experiences …,,from,$120.00,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
4,,By City Unscripted,https://www.tripadvisor.com/AttractionProductReview-g294265-d18911196-Singapore_Full_Day_Tour_with_a_Local_100_Personalized_Private-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d18911196-Singapore_Full_Day_Tour_with_a_Local_100_Personalized_Private-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/b1/bf/42/caption.jpg?w=500&h=400&s=1,Singapore Full Day Tour with a Local: 100% Personalized & Private,71.,https://www.tripadvisor.com/Attraction_Review-g294265-d13170224-Reviews-City_Unscripted-Singapore.html,City Tours,6+ hours,"Explore Singapore as you would with an old friend, except you’ll be joined by one of our hosts. Discover this green, sleek…",Taking safety measures,from,$177.19,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
,,By JE Travel,,https://www.tripadvisor.com/AttractionProductReview-g294265-d14948481-SMALL_GROUP_Kuala_Lumpur_Malacca_Semi_Guided_Day_Trip_from_Singapore_600_Mi-Singap.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5c/bf/a5/caption.jpg?w=500&h=400&s=1,SMALL GROUP: Kuala Lumpur & Malacca Semi-Guided Day Trip from Singapore (600 Mi),72.,https://www.tripadvisor.com/Attraction_Review-g294265-d21227285-Reviews-JE_Travel-Singapore.html,Full-day Tours,1 day,Venture north into Malaysia and visit Kuala Lumpur and Malacca on this full-day semi-guided small-group trip from Singapore…,Taking safety measures,from,$155.14,per adult,More info,,,
21,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g294265-d13181844-Magical_Singapore_by_Night_Private_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d13181844-Magical_Singapore_by_Night_Private_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/38/3d/caption.jpg?w=500&h=400&s=1,Magical Singapore by Night Private Tour,73.,https://www.tripadvisor.com/Attraction_Review-g294265-d12697774-Reviews-Withlocals-Singapore.html,Nightlife,2–3 hours,Experience Singapore’s hustle and bustle during the vibrant evening hours. During this 2-hour private tour you’ll taste …,,from,$70.23,per adult,More info,95% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
8,,By Easy Nomad,https://www.tripadvisor.com/AttractionProductReview-g294265-d15102257-Bikes_Bites-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d15102257-Bikes_Bites-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2e/17/aa/caption.jpg?w=500&h=400&s=1,Bikes & Bites,74.,https://www.tripadvisor.com/Attraction_Review-g294265-d14179273-Reviews-Easy_Nomad-Singapore.html,City Tours,4 hours,"Every route is carefully curated by a professional, certified and licensed tour guide by Singapore Tourism Board. 

There…",,from,$71.41,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
4,,By Solid Travel,https://www.tripadvisor.com/AttractionProductReview-g297717-d16691922-Singapore_to_Batam_City_Tour_with_Ferry_Tickets_Lunch-Batam_Riau_Archipelago_Riau_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g297717-d16691922-Singapore_to_Batam_City_Tour_with_Ferry_Tickets_Lunch-Batam_Riau_Archipelago_Riau_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f1/61/04/caption.jpg?w=500&h=400&s=1,Singapore to Batam:City Tour with Ferry Tickets & Lunch,75.,https://www.tripadvisor.com/Attraction_Review-g3477616-d15328560-Reviews-Solid_Travel-Batam_Center_Batam_Riau_Archipelago_Riau_Islands_Province.html,Car Tours,8–9 hours,"Batam is across the water just one hour from Singapore, so if you are looking for a weekend break to Indonesia then this…",Taking safety measures,from,$101.00,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
1,,By JE Travel,https://www.tripadvisor.com/AttractionProductReview-g294265-d12470874-Luxury_private_day_tour_Kuala_Lumpur_and_Malacca_from_Singapore_6_00AM_pickup-Sing.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12470874-Luxury_private_day_tour_Kuala_Lumpur_and_Malacca_from_Singapore_6_00AM_pickup-Sing.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/f3/b2/caption.jpg?w=500&h=400&s=1,Luxury private day tour: Kuala Lumpur and Malacca from Singapore (6:00AM pickup),76.,https://www.tripadvisor.com/Attraction_Review-g294265-d21227285-Reviews-JE_Travel-Singapore.html,Bus Tours,6+ hours,Head for an adventure up north from Singapore and see Malacca and Kuala Lumpur on this private day trip. Admire the Petronas…,Taking safety measures,from,$311.84,per adult,More info,,,
20,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Hello Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d14021182-Singapore_Group_History_Culture_Tour_River_Cruise_Hawker_Dinner_Tea_Tasting-Singap.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d14021182-Singapore_Group_History_Culture_Tour_River_Cruise_Hawker_Dinner_Tea_Tasting-Singap.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/17/51/20/caption.jpg?w=500&h=400&s=1,"Singapore Group History & Culture Tour:River Cruise, Hawker Dinner & Tea Tasting",77.,https://www.tripadvisor.com/Attraction_Review-g294265-d12498713-Reviews-Hello_Singapore-Singapore.html,Public Transportation Tours,4–5 hours,"Join us on a journey through Singapore from past to present. Enjoy dinner in a Hawker Centre and a tea ceremony.

You start…",,from,$119.10,per adult,More info,100% of travelers recommend this experience,Free cancellation,Free Cancellation up to 7 days in advance
45,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Hello Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d12649640-Private_Cultural_and_Historical_Singapore_Food_Tour_with_Local_Hawker_Centre-Singa.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12649640-Private_Cultural_and_Historical_Singapore_Food_Tour_with_Local_Hawker_Centre-Singa.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/1b/d8/cd/caption.jpg?w=500&h=400&s=1,Private Cultural and Historical Singapore Food Tour with Local Hawker Centre,78.,https://www.tripadvisor.com/Attraction_Review-g294265-d12498713-Reviews-Hello_Singapore-Singapore.html,Public Transportation Tours,5–6 hours,"Eat like a local on a food tour.

Culturally immersive experience.

An in-depth exploration of Singapore's history and culture…",,from,$459.94,per group,More info,100% of travelers recommend this experience,Free cancellation,Free Cancellation up to 7 days in advance
29,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By SingaBites,https://www.tripadvisor.com/AttractionProductReview-g294265-d12561340-Katong_Evening_Food_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12561340-Katong_Evening_Food_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9f/8c/3b/caption.jpg?w=500&h=400&s=1,Katong Evening Food Tour,79.,https://www.tripadvisor.com/Attraction_Review-g294265-d8482055-Reviews-SingaBites-Singapore.html,Walking Tours,3 hours,Our food tours take you away from tourist traps and into our favourite local food spots. We have been running these tours…,,from,$99.18,per adult,More info,93% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
4,,By Avenue Link Transport Group,https://www.tripadvisor.com/AttractionProductReview-g294265-d11988805-Private_Singapore_Departure_Transfer_Hotel_to_Changi_Airport-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11988805-Private_Singapore_Departure_Transfer_Hotel_to_Changi_Airport-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/6c/41/2a/caption.jpg?w=500&h=400&s=1,Private Singapore Departure Transfer: Hotel to Changi Airport,80.,https://www.tripadvisor.com/Attraction_Review-g294265-d10358665-Reviews-Avenue_Link_Transport_Group-Singapore.html,,45 minutes,Enjoy your Singapore trip right until the end with this convenient and comfortable departure transfer from your Singapore…,Taking safety measures,from,$61.04,per group,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
23,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Virtual Room: Virtual Reality Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d13198462-Virtual_Room_40_50min_VR_Time_Travel_Escape_Room_Adventure_for_2_Players-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d13198462-Virtual_Room_40_50min_VR_Time_Travel_Escape_Room_Adventure_for_2_Players-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5e/3f/b7/caption.jpg?w=500&h=400&s=1,Virtual Room - 40-50min VR Time Travel Escape Room Adventure for 2+ Players,81.,https://www.tripadvisor.com/Attraction_Review-g294265-d12970012-Reviews-Virtual_Room_Virtual_Reality_Singapore-Singapore.html,Walking Tours,1 hour,The future of entertainment is now here with Virtual Room – the world’s best team-based VR experience located in Chinatown…,,from,$39.10,per adult,More info,95% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
5,,By Resource Travel Pte. Ltd.,https://www.tripadvisor.com/AttractionProductReview-g294265-d12471259-Full_Day_Private_Singapore_Heritage_Sightseeing_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12471259-Full_Day_Private_Singapore_Heritage_Sightseeing_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/2e/bb/31/caption.jpg?w=500&h=400&s=1,Full-Day Private Singapore Heritage Sightseeing Tour,82.,https://www.tripadvisor.com/Attraction_Review-g294265-d15683807-Reviews-Resource_Travel_Pte_Ltd-Singapore.html,Bus Tours,1–6 hours,Join this full-day tour for the chance to learn about what makes Singapore truly unique. You will get a taste for the diverse…,,from,$244.86,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
9,,By Tour East Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d11477970-Night_Out_on_Marina_Bay_in_Singapore-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11477970-Night_Out_on_Marina_Bay_in_Singapore-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b1/cb/e1/caption.jpg?w=500&h=400&s=1,Night Out on Marina Bay in Singapore,83.,https://www.tripadvisor.com/Attraction_Review-g294265-d2214169-Reviews-Tour_East_Singapore-Singapore.html,Bus Tours,4 hours,Begin your tour with a local dinner by the Singapore River. Guests will have a choice of local fare comprising of either…,Taking safety measures,from,$71.50,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
14,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Monster Day Tours,https://www.tripadvisor.com/AttractionProductReview-g294265-d15097743-Private_Customised_Singapore_Walking_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d15097743-Private_Customised_Singapore_Walking_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f9/72/caption.jpg?w=500&h=400&s=1,Private Customised Singapore Walking Tour,84.,https://www.tripadvisor.com/Attraction_Review-g294265-d11983460-Reviews-Monster_Day_Tours-Singapore.html,Public Transportation Tours,4–8 hours,"A 4 to 8-hour private customised walking tour with one of our best resident guide. Travel by public transport.

Experience…",,from,$152.59,per adult,More info,92% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
8,,By I Asia Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d17404284-Amazing_Singapore_City_Guided_Tour_with_Hotel_Transfers-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d17404284-Amazing_Singapore_City_Guided_Tour_with_Hotel_Transfers-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/75/88/8f/caption.jpg?w=500&h=400&s=1,Amazing Singapore City Guided Tour with Hotel Transfers,85.,https://www.tripadvisor.com/Attraction_Review-g294265-d17386884-Reviews-I_Asia_Singapore-Singapore.html,Bus Tours,4 hours,"This tour showcases the history, multi-racial culture and lifestyle that is Singapore. At Little India, be greeted by myriad…",Taking safety measures,from,$45.78,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
17,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g294265-d13181846-Off_the_Beaten_Track_in_Singapore_Private_City_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d13181846-Off_the_Beaten_Track_in_Singapore_Private_City_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/a5/be/caption.jpg?w=500&h=400&s=1,Off the Beaten Track in Singapore: Private City Tour,86.,https://www.tripadvisor.com/Attraction_Review-g294265-d12697774-Reviews-Withlocals-Singapore.html,Walking Tours,3 hours,"Ready to experience a side of Singapore like a local, with a local? This is a tour, unlike any other! If you want to take…",,from,$95.16,per adult,More info,100% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
8,,By City Unscripted,https://www.tripadvisor.com/AttractionProductReview-g294265-d12561908-Singapore_Half_Day_Tours_by_Locals_Private_See_the_City_Unscripted-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d12561908-Singapore_Half_Day_Tours_by_Locals_Private_See_the_City_Unscripted-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/99/75/3e/caption.jpg?w=500&h=400&s=1,"Singapore Half Day Tours by Locals: Private, See the City Unscripted ★★★★★",87.,https://www.tripadvisor.com/Attraction_Review-g294265-d13170224-Reviews-City_Unscripted-Singapore.html,Viator Private Guides,4 hours,You'll spend half a day with our local Singapore host to catch some of the city’s highlights and to experience what life…,Taking safety measures,from,$110.74,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
,,By MAM Holidays Singapore,,https://www.tripadvisor.com/AttractionProductReview-g294265-d17798893-Private_One_Day_Highlight_Tour_of_Singapore_with_Singapore_Flyer-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/67/07/14/caption.jpg?w=500&h=400&s=1,Private One Day Highlight Tour of Singapore with Singapore Flyer,88.,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html,Full-day Tours,6+ hours,Take in Singapore’s most famous sights in just one day . Pass your day in Singapore with our professional tour guide and…,,from,$279.85,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
159,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Perfume Workshop Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d11474606-Create_Your_Signature_Perfume_At_Goodman_Art_Center_Singapore-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11474606-Create_Your_Signature_Perfume_At_Goodman_Art_Center_Singapore-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/9c/29/b7/create-your-signature.jpg?w=500&h=400&s=1,"Create Your Signature Perfume At Goodman Art Center, Singapore",89.,https://www.tripadvisor.com/Attraction_Review-g294265-d5212582-Reviews-Perfume_Workshop_Singapore-Singapore.html,Walking Tours,2 hours,Create your signature perfume for yourself or someone you love! Process starts with a fun personality test that helps you…,,from,$97.94,per adult,More info,99% of travelers recommend this experience,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
5,,By MAM Holidays Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d11989961-Private_Half_Day_Singapore_City_Tour_with_Botanical_Orchid_Garden-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11989961-Private_Half_Day_Singapore_City_Tour_with_Botanical_Orchid_Garden-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/42/7e/caption.jpg?w=500&h=400&s=1,Private Half Day Singapore City Tour with Botanical Orchid Garden,90.,https://www.tripadvisor.com/Attraction_Review-g294265-d10847543-Reviews-MAM_Holidays_Singapore-Singapore.html,Bus Tours,3–4 hours,"Join this half-day private tour to explore Singapores best attractions, such as China town, Little India, the Colonial district…",,from,$118.11,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
4,,,,,,,,,1,3,,,,5,,,,,
617 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,https://www.tripadvisor.com/ClientLink?value=bm1VXy9BdHRyYWN0aW9ucy1nMjk0MjY1LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLVNpbmdhcG9yZS5odG1sX1VrWg%3D%3D,,,,,,,,,,,,,,,,
4,,By Lion City Guides,https://www.tripadvisor.com/AttractionProductReview-g294265-d17306841-Nature_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d17306841-Nature_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/18/b1/caption.jpg?w=500&h=400&s=1,Nature Tour,121.,https://www.tripadvisor.com/Attraction_Review-g294265-d15348562-Reviews-Lion_City_Guides-Singapore.html,Walking Tours,2 hours,"Sungei Buloh Wetland Reserve has biodiversity with many habitats such as secondary rain forest, mangroves, marshes, mudflats…",Taking safety measures,from,$68.67,per group,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
2,,By Travel Z 2000 Tours,https://www.tripadvisor.com/AttractionProductReview-g294265-d15342554-Transfer_Marina_Bay_Cruise_Centre_To_Changi_Airport_Pvt-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d15342554-Transfer_Marina_Bay_Cruise_Centre_To_Changi_Airport_Pvt-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ca/76/e7/caption.jpg?w=500&h=400&s=1,Transfer Marina Bay Cruise Centre To Changi Airport ( Pvt ),122.,https://www.tripadvisor.com/Attraction_Review-g294265-d15247005-Reviews-Travel_Z_2000_Tours-Singapore.html,,30–45 minutes,Sit back and relax as you enjoy a transfer from Marina Bay Cruise Centre to Singapore Airport. You will be picked up by …,Taking safety measures,from,$27.67,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
3,,By Wok 'n' Stroll,https://www.tripadvisor.com/AttractionProductReview-g294265-d11878249-Singapore_s_Chinatown_Off_The_Beaten_Track_Foodie_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11878249-Singapore_s_Chinatown_Off_The_Beaten_Track_Foodie_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/ba/c0/caption.jpg?w=500&h=400&s=1,"Singapore's Chinatown ""Off The Beaten Track"" Foodie Tour",123.,https://www.tripadvisor.com/Attraction_Review-g294265-d4355450-Reviews-Wok_n_Stroll-Singapore.html,Walking Tours,3 hours,Join this ‘off the beaten track’ morning food tour that will take you to explore a wet market and hawker centre. Inclusive…,,from,$78.36,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
3,,By Wok 'n' Stroll,https://www.tripadvisor.com/AttractionProductReview-g294265-d11878250-Vegetarian_Culinary_Adventure_in_Singapore-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d11878250-Vegetarian_Culinary_Adventure_in_Singapore-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/be/b8/cc/caption.jpg?w=500&h=400&s=1,Vegetarian Culinary Adventure in Singapore,124.,https://www.tripadvisor.com/Attraction_Review-g294265-d4355450-Reviews-Wok_n_Stroll-Singapore.html,Walking Tours,3 hours,"Singapore is a gastronomic paradise offering some of the world’s best Chinese, Malay, Indian, Japanese, Korean and Western…",,from,$107.74,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
1,,By Original Food Tours Singapore,https://www.tripadvisor.com/AttractionProductReview-g294265-d15526332-Katong_Walking_Food_Tour-Singapore.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294265-d15526332-Katong_Walking_Food_Tour-Singapore.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/74/09/caption.jpg?w=500&h=400&s=1,Katong Walking Food Tour,125.,https://www.tripadvisor.com/Attraction_Review-g294265-d13563100-Reviews-Original_Food_Tours_Singapore-Singapore.html,Walking Tours,3–4 hours,Katong is a foodie's paradise tugged away in the Eastern side of Singapore. It is well known for serving Peranakan (or Nonya…,,from,$91.56,per adult,More info,,Free cancellation,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.
