WlYyy,cctrW,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,WlYyy 4,WlYyy 5,ySnDE,ccVGl,WlYyy 7,ccVGl 2,WlYyy 8
18,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Japan Awaits,https://www.tripadvisor.com/AttractionProductReview-g1066451-d12878608-Adventurous_Japanese_Food_Tour-Minato_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066451-d12878608-Adventurous_Japanese_Food_Tour-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/5c/28/caption.jpg?w=500&h=400&s=1,Adventurous Japanese Food Tour,91.,https://www.tripadvisor.com/Attraction_Review-g298184-d8567936-Reviews-Japan_Awaits-Tokyo_Tokyo_Prefecture_Kanto.html,Walking Tours,2–3 hours,Taking safety measures,,"In this 2.5 hour food tour, embark on a memorable food adventure with a small group guided by an English-speaking tour guide…",from,$102.15,per adult,More info
8,,By Shizu-Kokoro Urasenke Chado (The Way of Tea) School,https://www.tripadvisor.com/AttractionProductReview-g14134311-d17590911-A_90_min_Tea_ceremony_Workshop_In_The_Authentic_Tea_Room-Asakusa_Taito_Tokyo_Tok.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14134311-d17590911-A_90_min_Tea_ceremony_Workshop_In_The_Authentic_Tea_Room-Asakusa_Taito_Tokyo_Tok.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/56/18/21/caption.jpg?w=500&h=400&s=1,A 90 min. Tea ceremony Workshop In The Authentic Tea Room,92.,https://www.tripadvisor.com/Attraction_Review-g1066461-d12643901-Reviews-Shizu_Kokoro_Urasenke_Chado_The_Way_of_Tea_School-Taito_Tokyo_Tokyo_Prefecture_.html,Art Classes,1–2 days,Taking safety measures,,"Chado, a tea ceremony that has roots in Zen, was established in Japan more than 400 years ago. Its fundamental form and …",from,$38.08,per adult,More info
10,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Traveling Spoon,https://www.tripadvisor.com/AttractionProductReview-g1066458-d12878554-Unique_Private_Cooking_Class_with_a_Tokyo_Local_Emi-Suginami_Tokyo_Tokyo_Prefectu.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066458-d12878554-Unique_Private_Cooking_Class_with_a_Tokyo_Local_Emi-Suginami_Tokyo_Tokyo_Prefectu.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/0c/a2/caption.jpg?w=500&h=400&s=1,Unique Private Cooking Class with a Tokyo Local Emi,93.,https://www.tripadvisor.com/Attraction_Review-g1066453-d12347336-Reviews-Traveling_Spoon-Nerima_Tokyo_Tokyo_Prefecture_Kanto.html,Cooking Classes,3 hours,Taking safety measures,,Enjoy a private and authentic Japanese cooking class in a local Tokyo home with your host Emi. This is a perfect experience…,from,$80.00,per adult,More info
5,,By Sayuki,https://www.tripadvisor.com/AttractionProductReview-g1066449-d16796393-Tea_Ceremony_with_a_Geisha-Koto_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066449-d16796393-Tea_Ceremony_with_a_Geisha-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e3/e5/caption.jpg?w=500&h=400&s=1,Tea Ceremony with a Geisha,94.,https://www.tripadvisor.com/Attraction_Review-g1066449-d8803510-Reviews-Sayuki-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,Art Classes,2 hours,,,"Tea Ceremony is one of the arts that every trainee geisha must study in order to learn about Japanese culture, aesthetics…",from,$67.76,per adult,More info
4,,By Japan Roadway Tours,https://www.tripadvisor.com/AttractionProductReview-g1066458-d15526514-1_Day_Charter_Tour_to_Mt_Fuji_View-Suginami_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066458-d15526514-1_Day_Charter_Tour_to_Mt_Fuji_View-Suginami_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/18/10/caption.jpg?w=500&h=400&s=1,1 Day Charter Tour to Mt Fuji View,95.,https://www.tripadvisor.com/Attraction_Review-g1066451-d15518626-Reviews-Japan_Roadway_Tours-Minato_Tokyo_Tokyo_Prefecture_Kanto.html,Full-day Tours,10–12 hours,Free cancellation,,"See the famous sights around Tokyo on this private tour, which saves you time figuring out public transportation or worrying…",from,$606.97,per group,More info
,,By Beauty of Japan,,https://www.tripadvisor.com/AttractionProductReview-g1066443-d12561279-Tokyo_Go_Kart_Rental_with_Local_Guide_from_Akihabara-Chiyoda_Tokyo_Tokyo_Prefectu.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/de/95/caption.jpg?w=500&h=400&s=1,Tokyo Go-Kart Rental with Local Guide from Akihabara,96.,https://www.tripadvisor.com/Attraction_Review-g1066461-d8790803-Reviews-Beauty_of_Japan-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,Self-guided Tours & Rentals,1–2 hours,Taking safety measures,,Explore Tokyo from behind the wheel of your own personal go-kart. Feel as though you're in a game: navigate the streets …,from,$39.97,per adult,More info
78,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Secret Food Tours Tokyo,https://www.tripadvisor.com/AttractionProductReview-g1066461-d15180431-Secret_Food_Tours_Tokyo_w_Private_Tour_Option-Taito_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066461-d15180431-Secret_Food_Tours_Tokyo_w_Private_Tour_Option-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e7/94/caption.jpg?w=500&h=400&s=1,Secret Food Tours Tokyo w/ Private Tour Option,97.,https://www.tripadvisor.com/Attraction_Review-g14134274-d15149584-Reviews-Secret_Food_Tours_Tokyo-Ueno_Taito_Tokyo_Tokyo_Prefecture_Kanto.html,Private and Luxury,3–4 hours,Taking safety measures,,"Located north-east of the heart of Tokyo, Ueno has been a perfect destination for those who desire good food and cultural…",from,$178.26,per adult,More info
4,,By Tokyo Bike Tour - Day tour,https://www.tripadvisor.com/AttractionProductReview-g14133673-d19621255-Small_Group_Cycling_Tour_in_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14133673-d19621255-Small_Group_Cycling_Tour_in_Tokyo-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/60/c5/e3/caption.jpg?w=500&h=400&s=1,Small Group Cycling Tour in Tokyo,98.,https://www.tripadvisor.com/Attraction_Review-g14133673-d3800571-Reviews-Tokyo_Bike_Tour_Day_tour-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,Adventure Tours,3–6 hours,Free cancellation,,Tokyo Bike Tour is a guided tour visiting the major tourist spots in Tokyo by bicycle. The bicycle is the ideal transportation…,from,$56.03,per adult,More info
17,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Kendo Experience Tour Samurai Trip,https://www.tripadvisor.com/AttractionProductReview-g1066461-d12529824-2_Hour_Genuine_Samurai_Experience_Through_Kendo_in_Tokyo-Taito_Tokyo_Tokyo_Prefec.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066461-d12529824-2_Hour_Genuine_Samurai_Experience_Through_Kendo_in_Tokyo-Taito_Tokyo_Tokyo_Prefec.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f0/dd/caption.jpg?w=500&h=400&s=1,2-Hour Genuine Samurai Experience Through Kendo in Tokyo,99.,https://www.tripadvisor.com/Attraction_Review-g1066461-d11804685-Reviews-Kendo_Experience_Tour_Samurai_Trip-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,Sports Lessons,2 hours,Taking safety measures,Free cancellation,"“Kendo” is about swordsmanship, a traditional Japanese martial arts skill of the Samurai, the path of the sword in Japan…",from,$159.89,per adult,More info
2,,By Countryside Day Tour,https://www.tripadvisor.com/AttractionProductReview-g14133673-d14917106-Mt_Fuji_ShibaSakura_Festival_with_Hotel_Pick_Up-Nishishinjuku_Shinjuku_Tokyo_Tok.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14133673-d14917106-Mt_Fuji_ShibaSakura_Festival_with_Hotel_Pick_Up-Nishishinjuku_Shinjuku_Tokyo_Tok.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/cc/71/caption.jpg?w=500&h=400&s=1,Mt Fuji & ShibaSakura Festival with Hotel Pick Up,100.,https://www.tripadvisor.com/Attraction_Review-g298184-d7680211-Reviews-Countryside_Day_Tour-Tokyo_Tokyo_Prefecture_Kanto.html,Full-day Tours,6+ hours,Free cancellation,,Fuji ShibaSakura Festival is the highlight in late April and May. Don't miss the splendid view of Mt. Fuji and the land …,from,$88.83,per adult,More info
51,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Tokyo Urban Adventures,https://www.tripadvisor.com/AttractionProductReview-g1066443-d12955296-Lonely_Planet_Experiences_Private_Tokyo_Evening_Food_Culture-Chiyoda_Tokyo_Tokyo_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066443-d12955296-Lonely_Planet_Experiences_Private_Tokyo_Evening_Food_Culture-Chiyoda_Tokyo_Tokyo_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/f4/92/caption.jpg?w=500&h=400&s=1,Lonely Planet Experiences: Private Tokyo Evening Food & Culture,101.,https://www.tripadvisor.com/Attraction_Review-g298184-d3876312-Reviews-Tokyo_Urban_Adventures-Tokyo_Tokyo_Prefecture_Kanto.html,Public Transportation Tours,3 hours,Taking safety measures,Free cancellation,Experience the best travel stories for yourself! Join a local expert and uncover hidden gems on this Lonely Planet Experience…,from,$180.80,per adult,More info
3,,By AirX Helicopter service(ヘリコプター遊覧飛行),https://www.tripadvisor.com/AttractionProductReview-g1021147-d19442662-27_Minutes_Tokyo_City_Lights_Helicopter_Tour_2-Funabashi_Chiba_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1021147-d19442662-27_Minutes_Tokyo_City_Lights_Helicopter_Tour_2-Funabashi_Chiba_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/2e/17/caption.jpg?w=500&h=400&s=1,【27 Minutes】Tokyo City Lights Helicopter Tour 2,102.,https://www.tripadvisor.com/Attraction_Review-g1066449-d17703146-Reviews-AirX_Helicopter_service-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,Helicopter Tours,27 minutes,Taking safety measures,Free cancellation,"Explore the coast of Tokyo with this spectacular tour plan. Fly over the Tokyo Skytree, Tokyo Tower, Rainbow Bridge, Shibuya…",from,$873.15,per group,More info
13,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Showcase Tokyo Architecture tours,https://www.tripadvisor.com/AttractionProductReview-g14129610-d11992422-Private_Ginza_Architecture_Walking_Tour-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kant.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129610-d11992422-Private_Ginza_Architecture_Walking_Tour-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kant.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/50/91/caption.jpg?w=500&h=400&s=1,Private Ginza Architecture Walking Tour,103.,https://www.tripadvisor.com/Attraction_Review-g1066456-d7886183-Reviews-Showcase_Tokyo_Architecture_tours-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,City Tours,3 hours,Free cancellation,,This is a three hour architecture walking tour in Ginza by a nationally licensed tour guide. As this is a private walking…,from,$93.38,per adult,More info
2,,By Japan Wonder Travel,https://www.tripadvisor.com/AttractionProductReview-g1066457-d13181406-Shinjuku_Izakaya_and_Golden_gai_bar_hopping_tour-Shinjuku_Tokyo_Tokyo_Prefecture_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066457-d13181406-Shinjuku_Izakaya_and_Golden_gai_bar_hopping_tour-Shinjuku_Tokyo_Tokyo_Prefecture_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/11/d7/caption.jpg?w=500&h=400&s=1,Shinjuku Izakaya and Golden gai bar hopping tour,104.,https://www.tripadvisor.com/Attraction_Review-g14129610-d9555505-Reviews-Japan_Wonder_Travel-Tsukiji_Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,Nightlife,3 hours,Taking safety measures,Free cancellation,"Let’s enjoy the night life in the biggest business and drinking town Shinjuku!

You will see modern Shinjuku with many high…",from,$105.40,per adult,More info
2,,By Office Zipang,https://www.tripadvisor.com/AttractionProductReview-g14129528-d15853908-8_hour_Tokyo_tour_by_qualified_tour_guide_using_public_transport-Marunouchi_Chiy.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129528-d15853908-8_hour_Tokyo_tour_by_qualified_tour_guide_using_public_transport-Marunouchi_Chiy.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/27/62/caption.jpg?w=500&h=400&s=1,8-hour Tokyo tour by qualified tour guide using public transport,105.,https://www.tripadvisor.com/Attraction_Review-g14129528-d18971916-Reviews-Office_Zipang-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kanto.html,Full-day Tours,6+ hours,Free cancellation,,"This is a Tokyo private tour guided by an experienced tour guide that has been licensed by the government.

This tour uses…",from,$293.12,per adult,More info
2,,By eight one management co.,https://www.tripadvisor.com/AttractionProductReview-g14129528-d13541814-Kyudo_Archery_Experience_in_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129528-d13541814-Kyudo_Archery_Experience_in_Tokyo-Marunouchi_Chiyoda_Tokyo_Tokyo_Prefecture_Kant.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/dc/39/2d/caption.jpg?w=500&h=400&s=1,Kyudo Archery Experience in Tokyo,106.,https://www.tripadvisor.com/Attraction_Review-g1066461-d15675887-Reviews-Eight_one_management_co-Taito_Tokyo_Tokyo_Prefecture_Kanto.html,,2 hours,Taking safety measures,,"First of all, please check Instagram: #wasabijpkyudo #wasabijp

we are  ""wasabi experience project""

This project provides…",from,$110.41,per adult,More info
23,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By DIG Tokyo Tours,https://www.tripadvisor.com/AttractionProductReview-g14134438-d15525504-Tokyo_West_Side_Walking_Street_Food_Tour-Nakano_Nakano_Tokyo_Tokyo_Prefecture_Ka.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14134438-d15525504-Tokyo_West_Side_Walking_Street_Food_Tour-Nakano_Nakano_Tokyo_Tokyo_Prefecture_Ka.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/c6/43/caption.jpg?w=500&h=400&s=1,Tokyo West-Side Walking & Street Food Tour,107.,https://www.tripadvisor.com/Attraction_Review-g1066452-d12411616-Reviews-DIG_Tokyo_Tours-Nakano_Tokyo_Tokyo_Prefecture_Kanto.html,,2 hours,Taking safety measures,Free cancellation,"It can be tricky sniffing out the best local haunts on the Tokyo street food scene, but on this walking and food tour, you…",from,$75.50,per adult,More info
23,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Showcase Tokyo Architecture tours,https://www.tripadvisor.com/AttractionProductReview-g1066456-d11992336-Private_Harajuku_Omotesando_Architecture_Walking_Tour-Shibuya_Tokyo_Tokyo_Prefect.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066456-d11992336-Private_Harajuku_Omotesando_Architecture_Walking_Tour-Shibuya_Tokyo_Tokyo_Prefect.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/54/cd/cb/caption.jpg?w=500&h=400&s=1,Private Harajuku Omotesando Architecture Walking Tour,108.,https://www.tripadvisor.com/Attraction_Review-g1066456-d7886183-Reviews-Showcase_Tokyo_Architecture_tours-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,Walking Tours,3 hours,Taking safety measures,Free cancellation,This is a three hour architecture walking tour in Harajuku and Omotesando by a nationally licensed tour guide. As this is…,from,$93.38,per adult,More info
2,,By Cherry Tomato,https://www.tripadvisor.com/AttractionProductReview-g1066454-d13221907-Private_Arrival_Transfer_Haneda_Airport_to_Central_Tokyo_City-Ota_Tokyo_Tokyo_Pre.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066454-d13221907-Private_Arrival_Transfer_Haneda_Airport_to_Central_Tokyo_City-Ota_Tokyo_Tokyo_Pre.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e3/93/caption.jpg?w=500&h=400&s=1,Private Arrival Transfer : Haneda Airport to Central Tokyo City,109.,https://www.tripadvisor.com/Attraction_Review-g1066457-d13128040-Reviews-Cherry_Tomato-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,,2 hours,Taking safety measures,Free cancellation,Kick off your Japan vacation in style with arrival private taxi type charter transfers from Haneda Airport. Your driver …,from,$130.47,per group,More info
30,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,"By homecoming TAKA,Tokyo",https://www.tripadvisor.com/AttractionProductReview-g1066454-d16845358-Experience_all_of_Japanese_culture_and_Japanese_food_experience_classes_origami_u.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066454-d16845358-Experience_all_of_Japanese_culture_and_Japanese_food_experience_classes_origami_u.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/d1/3d/caption.jpg?w=500&h=400&s=1,"Experience all of Japanese culture and Japanese food experience classes ""origami, udon, Japanese food, green tea, calligraphy"" in 4 hours",110.,https://www.tripadvisor.com/Attraction_Review-g1066454-d16817253-Reviews-Homecoming_TAKA_Tokyo-Ota_Tokyo_Tokyo_Prefecture_Kanto.html,Art Classes,4 hours,Taking safety measures,Free cancellation,"In 4 hours, you will experience Japanese culture and hospitality at home. Experiences include origami, handmade udon, Japanese…",from,$78.17,per adult,More info
18,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Odyssey Japan Cooking,https://www.tripadvisor.com/AttractionProductReview-g1066457-d15884242-Sushi_Art_Japanese_Cooking-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066457-d15884242-Sushi_Art_Japanese_Cooking-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/20/66/9e/caption.jpg?w=500&h=400&s=1,Sushi Art & Japanese Cooking,111.,https://www.tripadvisor.com/Attraction_Review-g1066457-d15812109-Reviews-Odyssey_Japan_Cooking-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,Cooking Classes,3 hours,Taking safety measures,Free cancellation,"Learn how to make beautiful sushi art rolls so you can impress your audience doing them back home!

Have a hands-on cooking…",from,$87.94,per adult,More info
7,,By Y&Y Cycling Tours Tokyo,https://www.tripadvisor.com/AttractionProductReview-g1066444-d11453550-Tokyo_by_Bike_Skytree_Kiyosumi_Garden_and_Sumo_Stadium-Chuo_Tokyo_Tokyo_Prefectur.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066444-d11453550-Tokyo_by_Bike_Skytree_Kiyosumi_Garden_and_Sumo_Stadium-Chuo_Tokyo_Tokyo_Prefectur.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e6/43/caption.jpg?w=500&h=400&s=1,"Tokyo by Bike: Skytree, Kiyosumi Garden and Sumo Stadium",112.,https://www.tripadvisor.com/Attraction_Review-g1066444-d3575560-Reviews-Y_Y_Cycling_Tours_Tokyo-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,City Tours,6 hours,Taking safety measures,Free cancellation,Take this enjoyable Tokyo bike tour and see the highlights of Shitamachi. Your guide will lead you at a leisurely pace as…,from,$81.99,per adult,More info
33,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By Mayuko's Little Kitchen Japanese Cooking Class,https://www.tripadvisor.com/AttractionProductReview-g1066456-d19881451-Traditional_Japanese_Cooking_Class_at_Mayuko_s_Home_in_Tokyo-Shibuya_Tokyo_Tokyo_.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066456-d19881451-Traditional_Japanese_Cooking_Class_at_Mayuko_s_Home_in_Tokyo-Shibuya_Tokyo_Tokyo_.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/96/55/b9/caption.jpg?w=500&h=400&s=1,Traditional Japanese Cooking Class at Mayuko's Home in Tokyo,113.,https://www.tripadvisor.com/Attraction_Review-g14131014-d7353454-Reviews-Mayuko_s_Little_Kitchen_Japanese_Cooking_Class-Sendagaya_Shibuya_Tokyo_Tokyo_Pr.html,Cooking Classes,3 hours,Taking safety measures,Free cancellation,You will learn authentic Japanese homestyle cooking in a local's home kitchen from a local who has been taught more than…,from,$140.30,per adult,More info
4,,By Japan Guide Agency,https://www.tripadvisor.com/AttractionProductReview-g14129528-d16797120-Kamakura_Full_Day_Private_Trip_Tokyo_departure_with_Nationally_Licensed_Guide-Ma.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14129528-d16797120-Kamakura_Full_Day_Private_Trip_Tokyo_departure_with_Nationally_Licensed_Guide-Ma.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/65/6b/e4/caption.jpg?w=500&h=400&s=1,Kamakura Full-Day Private Trip (Tokyo departure) with Nationally-Licensed Guide,114.,https://www.tripadvisor.com/Attraction_Review-g298124-d15224696-Reviews-Japan_Guide_Agency-Shizuoka_Shizuoka_Prefecture_Tokai_Chubu.html,Public Transportation Tours,6 hours,Taking safety measures,Free cancellation,"If you are interested in a more efficient way to explore Kamakura, with a nationally-licensed and experienced multilingual…",from,$111.03,per adult,More info
5,,By Japan Guide Agency,https://www.tripadvisor.com/AttractionProductReview-g1066444-d15884047-Tsukiji_Fish_Market_Food_Tour_with_Nationally_Licensed_Guide-Chuo_Tokyo_Tokyo_Pre.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066444-d15884047-Tsukiji_Fish_Market_Food_Tour_with_Nationally_Licensed_Guide-Chuo_Tokyo_Tokyo_Pre.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/57/03/58/caption.jpg?w=500&h=400&s=1,Tsukiji Fish Market Food Tour with Nationally-Licensed Guide,115.,https://www.tripadvisor.com/Attraction_Review-g298124-d15224696-Reviews-Japan_Guide_Agency-Shizuoka_Shizuoka_Prefecture_Tokai_Chubu.html,City Tours,1 hour,Taking safety measures,Free cancellation,Eat and shop like a Japanese local and immerse yourself in this one-hour food-themed trip inside both of Tokyo’s two famous…,from,$22.78,per adult,More info
1,,By H.I.S. Tourist Information Center Harajuku,https://www.tripadvisor.com/AttractionProductReview-g14133673-d15846953-New_Tour_2022_Mt_Fuji_Hakone_1_Day_Tour-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefe.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g14133673-d15846953-New_Tour_2022_Mt_Fuji_Hakone_1_Day_Tour-Nishishinjuku_Shinjuku_Tokyo_Tokyo_Prefe.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/fc/9a/23/caption.jpg?w=500&h=400&s=1,[New Tour 2022] Mt. Fuji & Hakone 1 Day Tour,116.,https://www.tripadvisor.com/Attraction_Review-g1066456-d8614702-Reviews-H_I_S_Tourist_Information_Center_Harajuku-Shibuya_Tokyo_Tokyo_Prefecture_Kanto.html,Bus Tours,6+ hours,Taking safety measures,Free cancellation,"Upon the departure, you will visit Mt Fuji 5th Station, the most well-known station at Mt Fuji. Stroll around the area and…",from,$133.24,per adult,More info
2,,By Sayuki,https://www.tripadvisor.com/AttractionProductReview-g1066449-d11988590-Traditional_Group_Geisha_Experience_and_Dinner_Show_in_Tokyo_Fukagawa_District-Ko.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066449-d11988590-Traditional_Group_Geisha_Experience_and_Dinner_Show_in_Tokyo_Fukagawa_District-Ko.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/e3/e9/caption.jpg?w=500&h=400&s=1,"Traditional Group Geisha Experience and Dinner Show in Tokyo, Fukagawa District",117.,https://www.tripadvisor.com/Attraction_Review-g1066449-d8803510-Reviews-Sayuki-Koto_Tokyo_Tokyo_Prefecture_Kanto.html,,2 hours,,,Experience a unique Geisha experience right here in Tokyo! Be entertained by two Geisha while you enjoy a meal in a traditional…,from,$145.19,per adult,More info
4,,By Island Travel Specialists,https://www.tripadvisor.com/AttractionProductReview-g1066444-d17798773-Secrets_of_Sumo_Culture-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066444-d17798773-Secrets_of_Sumo_Culture-Chuo_Tokyo_Tokyo_Prefecture_Kanto.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/5c/f9/19/caption.jpg?w=500&h=400&s=1,Secrets of Sumo Culture,118.,https://www.tripadvisor.com/Attraction_Review-g1066457-d17777744-Reviews-Island_Travel_Specialists-Shinjuku_Tokyo_Tokyo_Prefecture_Kanto.html,Private and Luxury,4 hours,Free cancellation,,"Our experience involves Sumo Culture and learning about the Rituals in Japan.

Join us as we explore the Culture of Sumo…",from,$88.21,per adult,More info
11,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,By City Unscripted Tokyo,https://www.tripadvisor.com/AttractionProductReview-g1066456-d17716600-Private_Custom_Day_In_Tokyo_Secrets_and_Highlights_with_a_Local_Guide-Shibuya_Tok.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g1066456-d17716600-Private_Custom_Day_In_Tokyo_Secrets_and_Highlights_with_a_Local_Guide-Shibuya_Tok.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/87/6c/be/caption.jpg?w=500&h=400&s=1,Private Custom Day In Tokyo: Secrets and Highlights with a Local Guide ★★★★★,119.,https://www.tripadvisor.com/Attraction_Review-g298184-d15223450-Reviews-City_Unscripted_Tokyo-Tokyo_Tokyo_Prefecture_Kanto.html,City Tours,6+ hours,Taking safety measures,Free cancellation,Spend some time with one of our hosts exploring the neon-lit city of Tokyo together. Maybe you’d like to discover the highlights…,from,$354.38,per adult,More info
