WlYyy,iPqaD,iPqaD href,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,WlYyy 4,ySnDE,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,WlYyy 8
,By Goofy Waves Limited,,https://www.tripadvisor.com/AttractionProductReview-g294217-d23400978-2_Hour_Private_5_Star_Wakesurfing_Experience-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/fd/f4/d2/caption.jpg?w=500&h=400&s=1,2-Hour Private 5 Star Wakesurfing Experience,97.,https://www.tripadvisor.com/Attraction_Review-g294217-d23397465-Reviews-Goofy_Waves_Limited-Hong_Kong.html,,2 hours,Taking safety measures,Wakesurfing is one of the most popular watersports since 2018. The speed being relatively slow makes this sport relatively…,from,$441.53,per group,More info,Free cancellation
,By Eatwith Hong Kong,,https://www.tripadvisor.com/AttractionProductReview-g294217-d21196242-Traditional_Chinese_Pun_Chio_cooking_class_in_Hong_Kong_for_private_groups-Hong_Ko.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/b1/e3/ff/caption.jpg?w=500&h=400&s=1,Traditional Chinese Pun Chio cooking class in Hong Kong for private groups,98.,https://www.tripadvisor.com/Attraction_Review-g294217-d21173086-Reviews-Eatwith_Hong_Kong-Hong_Kong.html,Cooking Classes,1–2 hours,Taking safety measures,"Traditional Chinese Pun Chio is made with over 10 different ingredients including shrimp, chicken, fish, pork, vegetables…",from,$80.87,per adult,More info,Free cancellation
4,By This Is Asia Private Tours-Day Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d13969110-Hong_Kong_Private_Arrival_Transfer_Driver_Meet_and_Greet_Airport_to_Hotel-Hong_Kon.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d13969110-Hong_Kong_Private_Arrival_Transfer_Driver_Meet_and_Greet_Airport_to_Hotel-Hong_Kon.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/63/16/c7/caption.jpg?w=500&h=400&s=1,Hong Kong Private Arrival Transfer Driver Meet and Greet: Airport to Hotel,99.,https://www.tripadvisor.com/Attraction_Review-g294217-d2664066-Reviews-This_Is_Asia_Private_Tours_Day_Tour-Hong_Kong.html,,30 minutes,,Enjoy a hassle-free arrival in Hong Kong with this private Hong Kong International airport transfer. Meet your driver at…,from,$62.32,per adult,More info,
,By Bake Your Own,,https://www.tripadvisor.com/AttractionProductReview-g294217-d17515696-Hong_Kong_Cultural_Experience_Making_Guangdong_Wife_Cake-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/85/16/2e/caption.jpg?w=500&h=400&s=1,Hong Kong Cultural Experience: Making Guangdong Wife Cake,100.,https://www.tripadvisor.com/Attraction_Review-g294217-d17415624-Reviews-Bake_Your_Own-Hong_Kong.html,Cooking Classes,3 hours,Free cancellation,Bake Your Own is the first baking event to experience the culture of Hong Kong. It is also one of the few cooking activities…,from,$60.65,per adult,More info,
,By Hong Kong a la Carte : Private and Bespoke Tours,,https://www.tripadvisor.com/AttractionProductReview-g294217-d15754659-Hike_on_the_Dragon_s_Back-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/83/95/caption.jpg?w=500&h=400&s=1,Hike on the Dragon's Back,101.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Adventure Tours,4–5 hours,Taking safety measures,"We will travel to Shau Kei Wan using the MTR underground.

After a short stroll through the wet market, we will hop on a…",from,$159.44,per adult,More info,Free cancellation
2,By Mountain Biking Asia-HK One-day Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d11465669-Private_Hong_Kong_Cycling_Day_Tour_with_Dim_Sum-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11465669-Private_Hong_Kong_Cycling_Day_Tour_with_Dim_Sum-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/69/ce/d5/caption.jpg?w=500&h=400&s=1,Private Hong Kong Cycling Day Tour with Dim Sum,102.,https://www.tripadvisor.com/Attraction_Review-g294217-d4178415-Reviews-Mountain_Biking_Asia_HK_One_day_Tour-Hong_Kong.html,Bike Tours,5–6 hours,Taking safety measures,"It would take nerves of steel to cycle within Hong Kong's downtown, but biking in the untouched New Territories is an entirely…",from,$200.00,per adult,More info,Free cancellation
10,By Big Foot Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d12446837-Private_Hong_Kong_Food_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d12446837-Private_Hong_Kong_Food_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/64/84/01/caption.jpg?w=500&h=400&s=1,Private Hong Kong Food Tour,103.,https://www.tripadvisor.com/Attraction_Review-g294217-d2197549-Reviews-Big_Foot_Tour-Hong_Kong.html,Public Transportation Tours,4 hours,Free cancellation,This top-rated 4-hour Private Hong Kong Food Tour is based around Central and Western District of Hong Kong Island. Your…,from,$154.19,per adult,More info,
,By GlobalTix (Hong Kong) Pte Limited,,https://www.tripadvisor.com/AttractionProductReview-g294217-d16861415-Plaza_Premium_Lounge_Hong_Kong_International_Airport_HKG-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/a6/b1/e8/caption.jpg?w=500&h=400&s=1,Plaza Premium Lounge - Hong Kong International Airport (HKG),104.,https://www.tripadvisor.com/Attraction_Review-g294217-d16656193-Reviews-GlobalTix_Hong_Kong_Pte_Limited-Hong_Kong.html,Skip-the-Line Tours,1–3 hours,Taking safety measures,"An Elevated Lounge Experience for Elite Travellers Conveniently located near Halls at Hong Kong International Airport, Plaza…",from,$72.91,per adult,More info,
3,By Hong Kong a la Carte : Private and Bespoke Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d15754610-Private_tour_Kowloon_Walled_City_past_present-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15754610-Private_tour_Kowloon_Walled_City_past_present-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/92/69/83/caption.jpg?w=500&h=400&s=1,Private tour : Kowloon Walled City: past & present,105.,https://www.tripadvisor.com/Attraction_Review-g294217-d13477425-Reviews-Hong_Kong_a_la_Carte_Private_and_Bespoke_Tours-Hong_Kong.html,Rail Tours,3 hours,Taking safety measures,You will travel with your private tour guide to Kowloon Walled City Park by MTR. The park hides a fabulous history as the…,from,$161.19,per adult,More info,Free cancellation
5,By Feliz Yau Cooking Class Experience,https://www.tripadvisor.com/AttractionProductReview-g294217-d19440066-Organic_Xiao_Long_Bao_Soup_Dumpling_Class_Market_walk_min_2ppl-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d19440066-Organic_Xiao_Long_Bao_Soup_Dumpling_Class_Market_walk_min_2ppl-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/13/a7/0c/caption.jpg?w=500&h=400&s=1,Organic Xiao Long Bao (Soup Dumpling) Class+ Market walk(min 2ppl),106.,https://www.tripadvisor.com/Attraction_Review-g294217-d14054985-Reviews-Feliz_Yau_Cooking_Class_Experience-Hong_Kong.html,Cooking Classes,2–3 hours,Taking safety measures,Hi I am a local from HK. My mom taught me a lot of dimsum dish. I would love to share my mom recipe with people coming from…,from,$85.41,per adult,More info,
,By Tour East Hong Kong,,https://www.tripadvisor.com/AttractionProductReview-g294217-d11449436-Old_Town_Central_and_Beyond_Walking_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/4d/7d/caption.jpg?w=500&h=400&s=1,Old Town Central and Beyond Walking Tour,107.,https://www.tripadvisor.com/Attraction_Review-g294217-d16835511-Reviews-Tour_East_Hong_Kong-Hong_Kong.html,Trolley Tours,3 hours,Taking safety measures,Explore an area of Hong Kong that has preserved its heritage over time! This guided walking tour takes you through the district…,from,$68.33,per adult,More info,Free cancellation
1,By Goharvest Travel Ltd,https://www.tripadvisor.com/AttractionProductReview-g294217-d17587870-Choi_Hung_Public_Housing_Estate_Living_as_a_Choi_Hung_resident-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17587870-Choi_Hung_Public_Housing_Estate_Living_as_a_Choi_Hung_resident-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/85/19/dd/caption.jpg?w=500&h=400&s=1,Choi Hung Public Housing Estate: Living as a Choi Hung resident,108.,https://www.tripadvisor.com/Attraction_Review-g294217-d16894632-Reviews-Goharvest_Travel_Ltd-Hong_Kong.html,,3–4 hours,Free cancellation,"See the design features of the old public housing estate

Visit nostalgic and traditional local shops

Shopping for ingredients…",from,$74.13,per adult,More info,
4,By Wild Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d11471143-Plover_Cove_Bicycling_and_Hiking_Waterfall_Adventure-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11471143-Plover_Cove_Bicycling_and_Hiking_Waterfall_Adventure-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/ec/3b/caption.jpg?w=500&h=400&s=1,Plover Cove Bicycling and Hiking Waterfall Adventure,109.,https://www.tripadvisor.com/Attraction_Review-g294217-d7928325-Reviews-Wild_Hong_Kong-Hong_Kong.html,,4 hours,Taking safety measures,Combine hiking and bicycling on this 4-hour tour of Plover Cove and its scenic natural surroundings. You'll explore Hong…,from,$122.79,per adult,More info,
15,By Hong Kong Free Tours,https://www.tripadvisor.com/AttractionProductReview-g294217-d12825140-Dragon_s_Back_Hiking_Tour_in_Hong_Kong-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d12825140-Dragon_s_Back_Hiking_Tour_in_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/e3/ca/caption.jpg?w=500&h=400&s=1,Dragon's Back Hiking Tour in Hong Kong,110.,https://www.tripadvisor.com/Attraction_Review-g294217-d10519576-Reviews-Hong_Kong_Free_Tours-Hong_Kong.html,,5 hours,Free cancellation,Dragon’s Back is highlighted as “The Best Urban Trail in Asia” by many travel books and magazines. During this hiking tour…,from,$105.13,per adult,More info,
,By Art Connect and Communication 文化傳承企劃,,https://www.tripadvisor.com/AttractionProductReview-g294217-d19930636-Brush_calligraphy_class_Chinese_ink_painting_class-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/41/be/ac/caption.jpg?w=500&h=400&s=1,Brush calligraphy class / Chinese ink painting class,111.,https://www.tripadvisor.com/Attraction_Review-g294217-d23286780-Reviews-Art_Connect_and_Communication-Hong_Kong.html,Painting Classes,1–2 hours,Free cancellation,Art Connect and Communication is an institution that integrates art creation and cultural teaching. It hopes to create more…,from,$65.70,per adult,More info,
,By Trippest Hong Kong,,https://www.tripadvisor.com/AttractionProductReview-g294217-d20864326-2_5_Hour_Hong_Kong_Must_Eat_Street_Foods_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4c/c3/76/caption.jpg?w=500&h=400&s=1,2.5-Hour Hong Kong Must-Eat Street Foods Tour,112.,https://www.tripadvisor.com/Attraction_Review-g294217-d19694233-Reviews-Trippest_Hong_Kong-Hong_Kong.html,Walking Tours,2–3 hours,Taking safety measures,"Nothing explains a city better than its food culture. Follow true foodies who was born and raised in Hong Kong, escape from…",from,$105.36,per adult,More info,
7,By Sky100 Hong Kong Observation Deck,https://www.tripadvisor.com/AttractionProductReview-g294217-d15001334-Sky100_Dining_Package_FCA_DP_2_at_Cafe_100_by_The_Ritz_Carlton_Hong_Kong-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d15001334-Sky100_Dining_Package_FCA_DP_2_at_Cafe_100_by_The_Ritz_Carlton_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/37/15/caption.jpg?w=500&h=400&s=1,"sky100 Dining Package [FCA-DP_2] at Café 100 by The Ritz-Carlton, Hong Kong",113.,https://www.tripadvisor.com/Attraction_Review-g294217-d2136178-Reviews-Sky100_Hong_Kong_Observation_Deck-Hong_Kong.html,Skyscrapers & Towers,1–11 hours,Taking safety measures,"Inspired by the relaxing ambience of a Parisian terrace café, Café 100 by The Ritz-Carlton, Hong Kong is set to extend the…",from,$30.32,per adult,More info,Free cancellation
2,By Tour East Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d11449439-Hong_Kong_Private_Arrival_Transfer_Airport_to_Hotel_with_Meet_and_Greet-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11449439-Hong_Kong_Private_Arrival_Transfer_Airport_to_Hotel_with_Meet_and_Greet-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/6f/9f/a7/caption.jpg?w=500&h=400&s=1,Hong Kong Private Arrival Transfer: Airport to Hotel with Meet and Greet,114.,https://www.tripadvisor.com/Attraction_Review-g294217-d16835511-Reviews-Tour_East_Hong_Kong-Hong_Kong.html,,1–2 hours,Taking safety measures,Avoid the stress of public transportation by pre-booking this Hong Kong airport transfer before you arrive! Travel from …,from,$76.25,per adult,More info,Free cancellation
2,By Stone Spa Centre,https://www.tripadvisor.com/AttractionProductReview-g294217-d20883149-Stone_Spa_Experience_Package-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d20883149-Stone_Spa_Experience_Package-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4f/19/a7/caption.jpg?w=500&h=400&s=1,Stone Spa Experience Package,115.,https://www.tripadvisor.com/Attraction_Review-g294217-d20868875-Reviews-Stone_Spa_Centre-Hong_Kong.html,,1–2 hours,Free cancellation,"What is a Stone Spa?

""Stone Spa"" is the latest popular health and beauty method in Japan that lies on warm natural ore, …",from,$39.16,per adult,More info,
,By Travel-Cafe,,https://www.tripadvisor.com/AttractionProductReview-g294217-d15339865-Dynamic_City_Night_Walking_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/ee/85/caption.jpg?w=500&h=400&s=1,Dynamic City Night Walking Tour,116.,https://www.tripadvisor.com/Attraction_Review-g294217-d12222710-Reviews-Travel_Cafe-Hong_Kong.html,Nightlife,3–4 hours,Taking safety measures,Shimmering waters banked by the neon skyscrapers of Victoria Harbour that are made for the cinema.  People always command…,from,$84.10,per adult,More info,Free cancellation
,By Tour East Hong Kong,,https://www.tripadvisor.com/AttractionProductReview-g294217-d19406398-Lantau_Island_Giant_Buddha_Monastery_Tour_With_Crystal_Cabin_Cable_Car_Ride-Hong_K.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/cf/dd/01/caption.jpg?w=500&h=400&s=1,Lantau Island Giant Buddha & Monastery Tour With Crystal Cabin Cable Car Ride,117.,https://www.tripadvisor.com/Attraction_Review-g294217-d16835511-Reviews-Tour_East_Hong_Kong-Hong_Kong.html,Cable Car Tours,6+ hours,Taking safety measures,"With your local guide, board the express ferry that will take you across Hong Kong Harbor Lantau Island. Head to Cheung …",from,$166.49,per adult,More info,Free cancellation
2,By City Unscripted Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d12561916-Hong_Kong_Half_Day_Tour_with_a_Local_100_Personalized_Private-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d12561916-Hong_Kong_Half_Day_Tour_with_a_Local_100_Personalized_Private-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/08/15/caption.jpg?w=500&h=400&s=1,Hong Kong Half Day Tour with a Local: 100% Personalized & Private,118.,https://www.tripadvisor.com/Attraction_Review-g294217-d13812674-Reviews-City_Unscripted_Hong_Kong-Hong_Kong.html,Viator Private Guides,4 hours,Taking safety measures,Found yourself with half a day in Hong Kong? You lucky thing. You’ll join one of our hosts to spend half a day exploring…,from,$110.74,per adult,More info,Free cancellation
2,By Wild Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d12648523-Lantau_Peak_Sunrise_Climb-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d12648523-Lantau_Peak_Sunrise_Climb-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/e9/d7/caption.jpg?w=500&h=400&s=1,Lantau Peak Sunrise Climb,119.,https://www.tripadvisor.com/Attraction_Review-g294217-d7928325-Reviews-Wild_Hong_Kong-Hong_Kong.html,,6 hours,Taking safety measures,"No matter whether you’re arriving in HK for the first time or returning home, the majesty of the territory’s second highest…",from,$151.65,per adult,More info,
2,By Sky100 Hong Kong Observation Deck,https://www.tripadvisor.com/AttractionProductReview-g294217-d17322351-Sky100_Beer_Package_FCA_Beer_2_at_Cafe_100_by_The_Ritz_Carlton_Hong_Kong-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17322351-Sky100_Beer_Package_FCA_Beer_2_at_Cafe_100_by_The_Ritz_Carlton_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/62/35/8a/caption.jpg?w=500&h=400&s=1,"sky100 Beer Package [FCA-Beer_2] at Café 100 by The Ritz-Carlton, Hong Kong",120.,https://www.tripadvisor.com/Attraction_Review-g294217-d2136178-Reviews-Sky100_Hong_Kong_Observation_Deck-Hong_Kong.html,Skyscrapers & Towers,1–11 hours,Taking safety measures,Watch the Hong Kong Skyline in Hong Kong while sipping a Wine Package for your party with admission to the sky100 Hong Kong…,from,$21.06,per adult,More info,Free cancellation
1,,,,,,,,4,3,5,,,,,,
447 places sorted by traveler favorites,Clear all filters,https://www.tripadvisor.com/ClientLink?value=bTgxXy9BdHRyYWN0aW9ucy1nMjk0MjE3LUFjdGl2aXRpZXMtYV9hbGxBdHRyYWN0aW9ucy50cnVlLUhvbmdfS29uZy5odG1sX0o3UA%3D%3D,,,,,,,,,,,,,,
1,By Happy Walk HK,https://www.tripadvisor.com/AttractionProductReview-g294217-d17486372-Morning_Walking_Tour_High_Island_Geopark-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17486372-Morning_Walking_Tour_High_Island_Geopark-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8b/a4/da/caption.jpg?w=500&h=400&s=1,Morning Walking Tour High Island Geopark,121.,https://www.tripadvisor.com/Attraction_Review-g294217-d17471352-Reviews-Happy_Walk_HK-Hong_Kong.html,Bus Tours,4 hours,Free cancellation,"Overview: If you have half day free, and plan to do something special, not just stay hotel or shopping. Morning Walk Tour…",from,$37.85,per adult,More info,
,By Walk Hong Kong,,https://www.tripadvisor.com/AttractionProductReview-g294217-d11486203-5_Hour_Hiking_Tour_in_The_Green_to_Lion_Rock_in_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/e8/4b/caption.jpg?w=500&h=400&s=1,5-Hour Hiking Tour in The Green to Lion Rock in Hong Kong,122.,https://www.tripadvisor.com/Attraction_Review-g294217-d2167883-Reviews-Walk_Hong_Kong-Hong_Kong.html,Half-day Tours,5 hours,Free cancellation,"Enjoy a half day away from the hustle and bustle of the Hong Kong city, and enjoy being around with the nature at Lion Rock…",from,$89.36,per adult,More info,
1,By FLOAX Floatation Therapy Spa,https://www.tripadvisor.com/AttractionProductReview-g294217-d19278109-60_mins_Gravity_Escaper_Float-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d19278109-60_mins_Gravity_Escaper_Float-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/e2/31/caption.jpg?w=500&h=400&s=1,60 mins Gravity Escaper Float,123.,https://www.tripadvisor.com/Attraction_Review-g294217-d11759479-Reviews-FLOAX_Floatation_Therapy_Spa-Hong_Kong.html,,2 hours,,"FLOAX provide you with an absolute calm and tranquil environment to allow deep rest as well as foster creativity. 

There…",from,$88.68,per adult,More info,
2,By Tour East Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d11449437-Hong_Kong_Pink_Dolphin_Watching_Cruise-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11449437-Hong_Kong_Pink_Dolphin_Watching_Cruise-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/dd/fe/c3/caption.jpg?w=500&h=400&s=1,Hong Kong Pink Dolphin Watching Cruise,124.,https://www.tripadvisor.com/Attraction_Review-g294217-d16835511-Reviews-Tour_East_Hong_Kong-Hong_Kong.html,,4 hours,Taking safety measures,The pink dolphins were chosen as the official mascot of the 1997 handover ceremony. Join this Hong Kong cruise to witness…,from,$82.62,per adult,More info,
2,By This Is Asia Private Tours-Day Tour,https://www.tripadvisor.com/AttractionProductReview-g294217-d14077757-Hong_Kong_Private_Departure_Transfer_Kai_Tak_Cruise_Terminal_to_Airport-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d14077757-Hong_Kong_Private_Departure_Transfer_Kai_Tak_Cruise_Terminal_to_Airport-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/9d/48/3d/caption.jpg?w=500&h=400&s=1,Hong Kong Private Departure Transfer: Kai Tak Cruise Terminal to Airport,125.,https://www.tripadvisor.com/Attraction_Review-g294217-d2664066-Reviews-This_Is_Asia_Private_Tours_Day_Tour-Hong_Kong.html,,30–31 minutes,,Arrange for a stress-free ride to Hong Kong International Airport with this private transfer service. Meet your driver at…,from,$64.51,per adult,More info,
2,By Goharvest Travel Ltd,https://www.tripadvisor.com/AttractionProductReview-g294217-d17429707-Sheung_Wan_Central_Walking_Tour_Into_the_Colonial_Hong_Kong-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17429707-Sheung_Wan_Central_Walking_Tour_Into_the_Colonial_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/85/19/ae/caption.jpg?w=500&h=400&s=1,Sheung Wan & Central Walking Tour: Into the Colonial Hong Kong,126.,https://www.tripadvisor.com/Attraction_Review-g294217-d16894632-Reviews-Goharvest_Travel_Ltd-Hong_Kong.html,Rail Tours,2–3 hours,Free cancellation,"Despite the era of British-ruled Hong Kong is far gone, there are still many traces of history and hidden stories to be …",from,$44.15,per adult,More info,
,By Goharvest Travel Ltd,,https://www.tripadvisor.com/AttractionProductReview-g294217-d17587869-Wan_Chai_Walking_Tour_Exploring_the_old_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/85/19/9e/caption.jpg?w=500&h=400&s=1,Wan Chai Walking Tour: Exploring the old Hong Kong,127.,https://www.tripadvisor.com/Attraction_Review-g294217-d16894632-Reviews-Goharvest_Travel_Ltd-Hong_Kong.html,Walking Tours,2–30 minutes,Free cancellation,"Learn about the history and culture of Hong Kong is the some of the oldest buildings and streets in Hong Kong, e.g. the …",from,$44.15,per adult,More info,
3,By Jack Ng,https://www.tripadvisor.com/AttractionProductReview-g294217-d19496807-Taking_you_to_every_corner_of_Hong_Kong-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d19496807-Taking_you_to_every_corner_of_Hong_Kong-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5a/f1/29/caption.jpg?w=500&h=400&s=1,Taking you to every corner of Hong Kong!,128.,https://www.tripadvisor.com/Attraction_Review-g294217-d19442862-Reviews-Jack_Ng-Hong_Kong.html,Rail Tours,3–12 hours,Free cancellation,I am your local friend who is passionate to show you the best of Hong Kong. There is no fixed duration or route under my…,from,$14.02,per adult,More info,
,By Sky100 Hong Kong Observation Deck,,https://www.tripadvisor.com/AttractionProductReview-g294217-d15125955-Sky100_Sweet_Delight_FCA_SD_2_at_Cafe_100_by_The_Ritz_Carlton-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/48/11/06/caption.jpg?w=500&h=400&s=1,sky100 Sweet Delight [FCA-SD_2] at Café 100 by The Ritz-Carlton,129.,https://www.tripadvisor.com/Attraction_Review-g294217-d2136178-Reviews-Sky100_Hong_Kong_Observation_Deck-Hong_Kong.html,Skyscrapers & Towers,1–11 hours,Taking safety measures,"sky100 Hong Kong Observation Deck and The Ritz-Carlton Hotel, Hong Kong jointly launched Café 100 by the Ritz Carlton, Hong…",from,$22.41,per adult,More info,Free cancellation
1,By Tour East Hong Kong,https://www.tripadvisor.com/AttractionProductReview-g294217-d11458928-Hong_Kong_Shore_Excursion_Full_Day_City_Sightseeing_Tour-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d11458928-Hong_Kong_Shore_Excursion_Full_Day_City_Sightseeing_Tour-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/5b/ac/caption.jpg?w=500&h=400&s=1,Hong Kong Shore Excursion: Full-Day City Sightseeing Tour,130.,https://www.tripadvisor.com/Attraction_Review-g294217-d16835511-Reviews-Tour_East_Hong_Kong-Hong_Kong.html,Bus Tours,6+ hours,Taking safety measures,"After your cruise ship docks in the port of Hong Kong, enjoy a full-day shore excursion to the must-see sites of Hong Kong…",from,$159.53,per adult,More info,
1,By Happy Walk HK,https://www.tripadvisor.com/AttractionProductReview-g294217-d17517683-Afternoon_Hiking_Tour_Sharp_Island_Geopark-Hong_Kong.html#REVIEWS,https://www.tripadvisor.com/AttractionProductReview-g294217-d17517683-Afternoon_Hiking_Tour_Sharp_Island_Geopark-Hong_Kong.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/8b/a4/cf/caption.jpg?w=500&h=400&s=1,Afternoon Hiking Tour Sharp Island Geopark,131.,https://www.tripadvisor.com/Attraction_Review-g294217-d17471352-Reviews-Happy_Walk_HK-Hong_Kong.html,Adventure Tours,4 hours,Free cancellation,"If you have half day free and want to do something special, not just stay at hotel or shopping. Afternoon hiking tour to…",from,$37.85,per adult,More info,
,By Sky100 Hong Kong Observation Deck,,https://www.tripadvisor.com/AttractionProductReview-g294217-d21036492-Sky100_Above_The_Clouds_Dining_Package_at_Cafe100_by_The_Ritz_Carlton_Hong_Kong-Ho.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/70/00/21/caption.jpg?w=500&h=400&s=1,"sky100 Above The Clouds Dining Package at Café100 by The Ritz-Carlton, Hong Kong",132.,https://www.tripadvisor.com/Attraction_Review-g294217-d2136178-Reviews-Sky100_Hong_Kong_Observation_Deck-Hong_Kong.html,Skyscrapers & Towers,1–11 hours,Taking safety measures,"Inspired by the relaxing ambience of a Parisian terrace café, Café 100 by The Ritz-Carlton, Hong Kong is set to extend the…",from,$35.88,per adult,More info,Free cancellation
