WlYyy,cctrW,iPqaD,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,iPqaD href 3,WlYyy 2,WlYyy 3,ySnDE,WlYyy 4,WlYyy 5,cctrW 2,ccVGl,WlYyy 6,ccVGl 2,WlYyy 7,dXxty
644 places sorted by traveler favorites,"Tours, activities and experiences bookable on Tripadvisor, ranked using exclusive Tripadvisor data including reviews, ratings, photos, popularity, user preferences, price, and bookings made through Tripadvisor.",Clear all filters,,,,,,,,,,,,,,,,,
12,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Original Berlin Walks,https://www.tripadvisor.com/AttractionProductReview-g187323-d19499406-Berlin_Street_Art_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/17/22/28/caption.jpg?w=500&h=400&s=1,Berlin Street Art Tour,61.,https://www.tripadvisor.com/AttractionProductReview-g187323-d19499406-Berlin_Street_Art_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d735931-Reviews-Original_Berlin_Walks-Berlin.html,Walking Tours,3 hours,"Street Art may have been born elsewhere, but Berlin made it its own. Beginning with paintings in the 1960's on the western…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$22.63,per adult,More info,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Friendly Local Guides Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d21187875-Private_Berlin_Coffee_Tour_with_3_Drinks_and_a_Snack-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/38/80/ce/caption.jpg?w=500&h=400&s=1,Private Berlin Coffee Tour with 3 Drinks and a Snack,62.,,https://www.tripadvisor.com/Attraction_Review-g187323-d21176223-Reviews-Friendly_Local_Guides_Berlin-Berlin.html,City Tours,2 hours,Are you ready to take a caffeinated adventure? Explore the best coffee joints in Berlin on a private 2-hour tour. Let your…,Free cancellation,,,from,$70.00,per adult,More info,Taking safety measures
23,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Grosse Orangerie Schloss Charlottenburg,https://www.tripadvisor.com/AttractionProductReview-g187323-d11447738-An_Evening_at_Charlottenburg_Palace_Dinner_and_Concert_Ticket-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b0/ff/af/caption.jpg?w=500&h=400&s=1,An Evening at Charlottenburg Palace: Dinner and Concert Ticket,63.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11447738-An_Evening_at_Charlottenburg_Palace_Dinner_and_Concert_Ticket-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d2297633-Reviews-Grosse_Orangerie_Schloss_Charlottenburg-Berlin.html,Classical Concerts,4 hours,Likely to Sell-out! 'An Evening at Charlottenburg Palace' Dinner and Concert by the Berlin Residence Orchestra regularly…,Free cancellation,91% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$95.03,per adult,More info,
5,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By 2 Wheel Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d15358981-Classic_Segway_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/5f/5f/caption.jpg?w=500&h=400&s=1,Classic Segway Tour,64.,https://www.tripadvisor.com/AttractionProductReview-g187323-d15358981-Classic_Segway_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d7185851-Reviews-2_Wheel_Tours-Berlin.html,Segway Tours,1 hour,Why walk when you can ride with us? The best way to explore Berlin is on our exclusive Segways. Discover one of the most…,Free cancellation,,,from,$39.60,per adult,More info,Taking safety measures
433,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Original Berlin Walks,https://www.tripadvisor.com/AttractionProductReview-g187323-d11449979-Sachsenhausen_Concentration_Camp_Memorial_Walking_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/58/d6/5d/caption.jpg?w=500&h=400&s=1,Sachsenhausen Concentration Camp Memorial Walking Tour,65.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11449979-Sachsenhausen_Concentration_Camp_Memorial_Walking_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d735931-Reviews-Original_Berlin_Walks-Berlin.html,City Tours,6 hours,"Head north of Berlin for a tour into the past at Sachsenhausen Concentration Camp, one of the main concentration camps in…",Free cancellation,99% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$32.81,per adult,More info,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By REMAZ TOURS GmbH,https://www.tripadvisor.com/AttractionProductReview-g187323-d19253534-Berlin_Christmas_Markets_Walking_Tour_with_Local_Guide-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/65/b0/a6/caption.jpg?w=500&h=400&s=1,Berlin Christmas Markets Walking Tour with Local Guide,66.,,https://www.tripadvisor.com/Attraction_Review-g187323-d15700385-Reviews-REMAZ_TOURS_GmbH-Berlin.html,Walking Tours,4 hours,Enjoy our Berlin’s Christmas markets tour where you can immerse yourself in the nostalgic charm of the peaceful Advent season…,Free cancellation,,,from,$141.27,per adult,More info,
34,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Little BIG City Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d12275487-Little_Big_City_Berlin_Entrance_Ticket-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/3e/da/77/caption.jpg?w=500&h=400&s=1,Little Big City Berlin Entrance Ticket,67.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12275487-Little_Big_City_Berlin_Entrance_Ticket-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d12081161-Reviews-Little_BIG_City_Berlin-Berlin.html,Attractions & Museums,60–90 minutes,"Located at the foot of the iconic Berlin TV Tower (Berliner Fernsehturm), Little BIG City brings to life Berlin’s rich history…",Free cancellation,,,from,$11.31,per adult,More info,Taking safety measures
15,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486875-Private_Beer_Tour_and_Snacks_with_a_Local_in_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5b/57/ec/caption.jpg?w=500&h=400&s=1,Private Beer Tour and Snacks with a Local in Berlin,68.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486875-Private_Beer_Tour_and_Snacks_with_a_Local_in_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d10507977-Reviews-Withlocals-Berlin.html,City Tours,2–3 hours,Experience Berlin's culture and history through its fascinating and varied craft beer at a vibrant neighborhood. Visit the…,Free cancellation,,,from,$84.85,per adult,More info,Taking safety measures
1,,By VOC - Vereinte Ostdeutsche Compagnie GmbH,https://www.tripadvisor.com/AttractionProductReview-g187323-d17988850-Dinner_Cruise_This_is_the_CHEF_talking-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/da/78/6c/caption.jpg?w=500&h=400&s=1,Dinner Cruise – “This is the CHEF talking”,69.,https://www.tripadvisor.com/AttractionProductReview-g187323-d17988850-Dinner_Cruise_This_is_the_CHEF_talking-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d9793790-Reviews-VOC_Vereinte_Ostdeutsche_Compagnie_GmbH-Berlin.html,Dinner Cruises,2–3 hours,You will see the famous sights along the banks of the river Spree and you will be served a classical 3-course menu from …,,,,from,$61.09,per adult,More info,Taking safety measures
54,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Cosmic Comedy Club Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d11479867-English_Comedy_Ticket_including_Pizza_in_Berlin_Mitte-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/79/57/f0/caption.jpg?w=500&h=400&s=1,English Comedy Ticket including Pizza in Berlin Mitte,70.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11479867-English_Comedy_Ticket_including_Pizza_in_Berlin_Mitte-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d8779441-Reviews-Cosmic_Comedy_Club_Berlin-Berlin.html,Comedy Shows,3 hours,Join us for an evening of English Stand up Comedy Open-Mic with a great mix of first-timers and professional acts from around…,Free cancellation,98% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$18.09,per adult,More info,
679,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By SANDEMANs NEW Europe - Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d12578438-Berlin_Third_Reich_Half_Day_Walkingtour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/ce/f7/bc/caption.jpg?w=500&h=400&s=1,Berlin Third Reich Half-Day Walkingtour,71.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12578438-Berlin_Third_Reich_Half_Day_Walkingtour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1025949-Reviews-SANDEMANs_NEW_Europe_Berlin-Berlin.html,Full-day Tours,2–3 hours,Join your guide in an intimate examination of Hitler’s rise to power and the subsequent twelve years of Nazi Terror. During…,Free cancellation,97% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$18.10,per adult,More info,
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Leo Rikscha,https://www.tripadvisor.com/AttractionProductReview-g187323-d21281005-Berlin_Night_Tours_Rickshaw_Tours-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/fa/fc/41/caption.jpg?w=500&h=400&s=1,Berlin Night Tours - Rickshaw Tours,72.,https://www.tripadvisor.com/AttractionProductReview-g187323-d21281005-Berlin_Night_Tours_Rickshaw_Tours-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d17731855-Reviews-Leo_Rikscha-Berlin.html,Bike Tours,1 hour,"Where should it go? To the opera, to the Olympic Stadium or tomcat blue? Do you want the club night ""from dusk till dawn…",Free cancellation,,,from,$62.22,per adult,More info,Taking safety measures
,,By Stadtspiel Schnitzeljagd,https://www.tripadvisor.com/AttractionProductReview-g187323-d16702877-Scavenger_Hunt_Berlin_from_Alexanderplatz_to_Checkpoint_Charlie-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/e0/62/e8/caption.jpg?w=500&h=400&s=1,Scavenger Hunt Berlin - from Alexanderplatz to Checkpoint Charlie,73.,,https://www.tripadvisor.com/Attraction_Review-g187399-d2358607-Reviews-Stadtspiel_Schnitzeljagd-Dresden_Saxony.html,City Tours,5 hours,"Discover a piece of Berlin's center with a scavenger hunt! A special city tour at your own pace: Alexanderplatz, Berlin …",,,,from,$47.52,per group,More info,
44,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Panoramapunkt,https://www.tripadvisor.com/AttractionProductReview-g187323-d12943591-Panoramapunkt_Berlin_Admission_Ticket-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/93/9d/caption.jpg?w=500&h=400&s=1,Panoramapunkt Berlin Admission Ticket,74.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12943591-Panoramapunkt_Berlin_Admission_Ticket-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d313992-Reviews-Panoramapunkt-Berlin.html,Skyscrapers & Towers,1 hour,The PANORAMAPUNKT is located in 100 meters high in the Kollhoff Tower at the legendary address Potsdamer Platz 1. The fastest…,Free cancellation,,,from,$8.49,per adult,More info,
259,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Alternative Berlin Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d11453420-Berlin_Off_the_Beaten_Path_Walking_Tour_Kreuzberg_Mitte_and_Friedrichshain-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/af/7a/b9/caption.jpg?w=500&h=400&s=1,"Berlin Off-the-Beaten-Path Walking Tour: Kreuzberg, Mitte and Friedrichshain",75.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11453420-Berlin_Off_the_Beaten_Path_Walking_Tour_Kreuzberg_Mitte_and_Friedrichshain-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1747921-Reviews-Alternative_Berlin_Tours-Berlin.html,City Tours,4–5 hours,"Learn about extraordinary people with extraordinary stories. Of art and architecture, cinema and squats. War and peace. …",Free cancellation,95% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$22.63,per adult,More info,
20,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Berlin on Bike,https://www.tripadvisor.com/AttractionProductReview-g187323-d11465562-Berlin_Wall_and_Cold_War_Bike_Tour_in_Small_Groups-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f4/f9/38/caption.jpg?w=500&h=400&s=1,Berlin Wall and Cold War Bike Tour in Small Groups,76.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11465562-Berlin_Wall_and_Cold_War_Bike_Tour_in_Small_Groups-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1950237-Reviews-Berlin_on_Bike-Berlin.html,Bike Tours,3–4 hours,Experience the history of the Berlin Wall in a 3.5-hour bike tour. What happened in Berlin after World War II? How come …,Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$35.48,per adult,More info,
4,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Stromma Deutschland,https://www.tripadvisor.com/AttractionProductReview-g187323-d20184989-Berlin_Evening_Tour_by_Bus_Sightseeing-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f7/e6/d0/caption.jpg?w=500&h=400&s=1,Berlin Evening Tour by Bus Sightseeing,77.,https://www.tripadvisor.com/AttractionProductReview-g187323-d20184989-Berlin_Evening_Tour_by_Bus_Sightseeing-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d17326205-Reviews-Stromma_Deutschland-Berlin.html,Bus Tours,45 minutes,See the most important highlights in Berlin within 45 mins in very special and romantic evening time. Passing attractions…,Free cancellation,,,from,$16.97,per adult,More info,Taking safety measures
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By On the Front Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d23472424-Half_Day_Holocaust_and_Nazi_Resistance_Tour_in_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/31/9a/41/caption.jpg?w=500&h=400&s=1,Half-Day Holocaust and Nazi Resistance Tour in Berlin,78.,,https://www.tripadvisor.com/Attraction_Review-g187323-d16188803-Reviews-On_the_Front_Tours-Berlin.html,City Tours,2–3 hours,"Join the resistance! 

The tour begins in the Jewish district following in the footsteps of the brave men and women who …",Free cancellation,,,from,$28.28,per adult,More info,Taking safety measures
,,By Original Berlin Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d23751069-Original_One80_Berlin_Guided_Pub_Crawl_with_Shots-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/62/75/0a/caption.jpg?w=500&h=400&s=1,Original One80 Berlin: Guided Pub Crawl with Shots,79.,,https://www.tripadvisor.com/Attraction_Review-g187323-d3923272-Reviews-Original_Berlin_Tours-Berlin.html,Walking Tours,4 hours,"— Get to know Berlin’s famous nightlife with a local guide

— Skip the line with VIP entrance to the club

— Visit 4 different…",,,,from,$5.66,per adult,More info,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By World City Trail - Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d21137354-Outdoor_city_escape_game_with_guiding_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/91/50/98/caption.jpg?w=500&h=400&s=1,Outdoor city escape game with guiding - Berlin,80.,,https://www.tripadvisor.com/Attraction_Review-g187323-d20401122-Reviews-World_City_Trail_Berlin-Berlin.html,Self-guided Tours & Rentals,2 hours,"This tour combines walking, playing and learning. There are no extra costs, no entry fees , no objects, no guides. Everything…",Free cancellation,,,from,$28.28,per group,More info,Taking safety measures
14,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Espresso Tours Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d19684830-Free_Tour_Hitler_s_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/81/5f/d1/caption.jpg?w=500&h=400&s=1,Free Tour: Hitler's Berlin,81.,https://www.tripadvisor.com/AttractionProductReview-g187323-d19684830-Free_Tour_Hitler_s_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d17559401-Reviews-Espresso_Tours_Berlin-Berlin.html,Walking Tours,2 hours,"Join an experienced and professional guide, specialized in Berlin's Third Reich history, and explore the area which was …",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$3.39,per adult,More info,
2,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By The Wow! Gallery Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d23700568-Ticket_for_The_Wow_Gallery_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/20/14/37/b8/caption.jpg?w=500&h=400&s=1,Ticket for The Wow Gallery Berlin,82.,https://www.tripadvisor.com/AttractionProductReview-g187323-d23700568-Ticket_for_The_Wow_Gallery_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d20954116-Reviews-The_Wow_Gallery_Berlin-Berlin.html,Skip-the-Line Tours,1–2 hours,"Those who enter the museum for the first time cannot avoid uttering an astonished “WOW!”. Huge ball baths, professional …",Free cancellation,SPECIAL OFFER,,from,$26.25,per adult,More info,Taking safety measures
18,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Berlin Dungeon,https://www.tripadvisor.com/AttractionProductReview-g187323-d12472041-Berlin_Dungeon_Admission_Ticket-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/da/2f/6b/caption.jpg?w=500&h=400&s=1,Berlin Dungeon Admission Ticket,83.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12472041-Berlin_Dungeon_Admission_Ticket-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d3966099-Reviews-Berlin_Dungeon-Berlin.html,Theaters,1 hour,Enjoy a visit to the Berlin Dungeon - your extraordinary live entertainment. Scream and laugh your way through Berlin's …,Free cancellation,,,from,$27.15,per adult,More info,Taking safety measures
49,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Withlocals,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486873-Private_City_Kickstart_Tour_Berlin-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/5d/09/d4/caption.jpg?w=500&h=400&s=1,Private City Kickstart Tour: Berlin,84.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11486873-Private_City_Kickstart_Tour_Berlin-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d10507977-Reviews-Withlocals-Berlin.html,City Tours,1–2 hours,Receive a warm welcome to Berlin on a private tour that will kick off your time in the city in the best way possible! In…,Free cancellation,93% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$18.10,per adult,More info,
,,By Vox City: Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d16672393-Berlin_Self_Guided_City_Experience-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/bc/55/c2/caption.jpg?w=500&h=400&s=1,Berlin: Self-Guided City Experience,85.,,https://www.tripadvisor.com/Attraction_Review-g187323-d21180211-Reviews-Vox_City_Berlin-Berlin.html,City Tours,1–24 hours,"Discover Berlin with a self-guided audio tour, from the moment you arrive in your destination.

Immediately take advantage…",,,,from,$11.31,per adult,More info,Taking safety measures
34,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By LEGOLAND Discovery Centre,https://www.tripadvisor.com/AttractionProductReview-g187323-d12472056-LEGOLAND_Discovery_Centre_Berlin_Admission_Ticket-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/51/78/cb/caption.jpg?w=500&h=400&s=1,LEGOLAND Discovery Centre Berlin Admission Ticket,86.,https://www.tripadvisor.com/AttractionProductReview-g187323-d12472056-LEGOLAND_Discovery_Centre_Berlin_Admission_Ticket-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d1890068-Reviews-LEGOLAND_Discovery_Centre-Berlin.html,Attractions & Museums,2–3 hours,"Discover the ultimate LEGO® indoor playground where creativity and fun is our first priority. Over 5 million bricks, exciting…",Free cancellation,,,from,$21.50,per adult,More info,Taking safety measures
3,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Questo Berlin | City Games & Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d18912274-Berlin_Historical_Tour_Third_Reich_Cold_War_Exploration_Game-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/05/ec/39/caption.jpg?w=500&h=400&s=1,Berlin Historical Tour: Third Reich & Cold War Exploration Game,87.,https://www.tripadvisor.com/AttractionProductReview-g187323-d18912274-Berlin_Historical_Tour_Third_Reich_Cold_War_Exploration_Game-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d19512952-Reviews-Questo_Berlin_City_Games_Tours-Berlin.html,Private and Luxury,1 hour,"Embark on a quest around Berlin by solving clues help a young man escape Germany before World War 2 begins, all on your …",Free cancellation,,,from,$5.65,per adult,More info,
6,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Stromma Deutschland,https://www.tripadvisor.com/AttractionProductReview-g187323-d20310249-Berlin_Hop_On_Hop_Off_Sightseeing_Bus_on_2_Routes_and_1_Hour_River_Cruise-Berlin.html,,Berlin Hop On - Hop Off Sightseeing Bus on 2 Routes and 1-Hour River Cruise,88.,https://www.tripadvisor.com/AttractionProductReview-g187323-d20310249-Berlin_Hop_On_Hop_Off_Sightseeing_Bus_on_2_Routes_and_1_Hour_River_Cruise-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d17326205-Reviews-Stromma_Deutschland-Berlin.html,Bus Tours,2 hours,Get access to our family-friendly Hop On - Hop Off Bus Tours with our 24 or 48 hours tickets and discover Berlin on our …,Free cancellation,,,from,$50.91,per adult,More info,Taking safety measures
1,,By VoiceMap Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d15831032-Into_the_Heart_of_Berlin_Self_guided_Audio_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/97/6b/98/caption.jpg?w=500&h=400&s=1,Into the Heart of Berlin Self-guided Audio Tour,89.,https://www.tripadvisor.com/AttractionProductReview-g187323-d15831032-Into_the_Heart_of_Berlin_Self_guided_Audio_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d21082914-Reviews-VoiceMap_Berlin-Berlin.html,City Tours,30–45 minutes,"Discover Berlin at your own pace in the company of best selling author Rory MacLean. Start at the Reichstag, the building…",,,,from,$5.48,per adult,More info,
14,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Original Berlin Tours,https://www.tripadvisor.com/AttractionProductReview-g187323-d13406035-Original_Free_Berlin_Walking_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1e/8b/96/bd/caption.jpg?w=500&h=400&s=1,Original Free Berlin Walking Tour,90.,https://www.tripadvisor.com/AttractionProductReview-g187323-d13406035-Original_Free_Berlin_Walking_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d3923272-Reviews-Original_Berlin_Tours-Berlin.html,Walking Tours,3 hours,"The Original Free Berlin Tour is perfect for tourists, travelers, expats, and locals. This FREE Original Berlin Walking …",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$3.39,per adult,More info,
3,,,,,,,,,1,2,,4,,,,,,,
12,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Original Berlin Walks,https://www.tripadvisor.com/AttractionProductReview-g187323-d19499406-Berlin_Street_Art_Tour-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/17/22/28/caption.jpg?w=500&h=400&s=1,Berlin Street Art Tour,61.,https://www.tripadvisor.com/AttractionProductReview-g187323-d19499406-Berlin_Street_Art_Tour-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d735931-Reviews-Original_Berlin_Walks-Berlin.html,Walking Tours,3 hours,"Street Art may have been born elsewhere, but Berlin made it its own. Beginning with paintings in the 1960's on the western…",Free cancellation,100% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$22.63,per adult,More info,
,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Friendly Local Guides Berlin,https://www.tripadvisor.com/AttractionProductReview-g187323-d21187875-Private_Berlin_Coffee_Tour_with_3_Drinks_and_a_Snack-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/38/80/ce/caption.jpg?w=500&h=400&s=1,Private Berlin Coffee Tour with 3 Drinks and a Snack,62.,,https://www.tripadvisor.com/Attraction_Review-g187323-d21176223-Reviews-Friendly_Local_Guides_Berlin-Berlin.html,City Tours,2 hours,Are you ready to take a caffeinated adventure? Explore the best coffee joints in Berlin on a private 2-hour tour. Let your…,Free cancellation,,,from,$70.00,per adult,More info,Taking safety measures
23,Not sure? You can cancel this reservation up to 24 hours in advance for a full refund.,By Grosse Orangerie Schloss Charlottenburg,https://www.tripadvisor.com/AttractionProductReview-g187323-d11447738-An_Evening_at_Charlottenburg_Palace_Dinner_and_Concert_Ticket-Berlin.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b0/ff/af/caption.jpg?w=500&h=400&s=1,An Evening at Charlottenburg Palace: Dinner and Concert Ticket,63.,https://www.tripadvisor.com/AttractionProductReview-g187323-d11447738-An_Evening_at_Charlottenburg_Palace_Dinner_and_Concert_Ticket-Berlin.html#REVIEWS,https://www.tripadvisor.com/Attraction_Review-g187323-d2297633-Reviews-Grosse_Orangerie_Schloss_Charlottenburg-Berlin.html,Classical Concerts,4 hours,Likely to Sell-out! 'An Evening at Charlottenburg Palace' Dinner and Concert by the Berlin Residence Orchestra regularly…,Free cancellation,91% of travelers recommend this experience,This number is based on the percentage of all Tripadvisor reviews for this product that have a bubble rating of 4 or higher,from,$95.03,per adult,More info,
