WlYyy,FmrIP href,dugSS src,dugSS src 2,bUshh,cIVmB,iPqaD href 2,WlYyy 2,iPqaD href 3,WlYyy 3,iPqaD,iPqaD href 5,WlYyy 4,dkvhj,WlYyy 5,WlYyy 6
12,https://www.tripadvisor.com/Attraction_Review-g294009-d3177518-Reviews-Najma_Used_Furniture_Market-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/0d/5e/ff/items-on-the-floor-near.jpg?w=500&h=-1&s=1,,Najma Used Furniture Market,46.,https://www.tripadvisor.com/Attraction_Review-g294009-d3177518-Reviews-Najma_Used_Furniture_Market-Doha.html#REVIEWS,Flea & Street Markets,,,,,,,,
42,https://www.tripadvisor.com/Attraction_Review-g294009-d9826261-Reviews-Landmark_Mall-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ab/0e/72/photo4jpg.jpg?w=500&h=-1&s=1,,Landmark Mall,47.,https://www.tripadvisor.com/Attraction_Review-g294009-d9826261-Reviews-Landmark_Mall-Doha.html#REVIEWS,Shopping Malls,,,,,,,,
134,https://www.tripadvisor.com/Attraction_Review-g294009-d386697-Reviews-Al_Koot_Fort-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/18/46/d9/esterno.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/9f/default-avatar-2020-16.jpg?w=100&h=-1&s=1,Al Koot Fort,48.,https://www.tripadvisor.com/Attraction_Review-g294009-d386697-Reviews-Al_Koot_Fort-Doha.html#REVIEWS,Architectural Buildings,https://www.tripadvisor.com/Profile/SMoh786,By,SMoh786,https://www.tripadvisor.com/ShowUserReviews-g294009-d386697-r631726042-Al_Koot_Fort-Doha.html,It is full of,history,and gives you some good photographic sites,Open now
11,https://www.tripadvisor.com/Attraction_Review-g294009-d7610620-Reviews-Qatar_Philharmonic_Orchestra-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ae/53/54/photo1jpg.jpg?w=500&h=-1&s=1,,Qatar Philharmonic Orchestra,49.,https://www.tripadvisor.com/Attraction_Review-g294009-d7610620-Reviews-Qatar_Philharmonic_Orchestra-Doha.html#REVIEWS,Symphonies,,,,,,,,
44,https://www.tripadvisor.com/Attraction_Review-g294009-d3631457-Reviews-Barzan_Tower-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/03/42/62/13/barzan-towers.jpg?w=500&h=400&s=1,,Barzan Tower,50.,https://www.tripadvisor.com/Attraction_Review-g294009-d3631457-Reviews-Barzan_Tower-Doha.html#REVIEWS,Points of Interest & Landmarks,,,,,,,,
10,https://www.tripadvisor.com/Attraction_Review-g294009-d10261660-Reviews-Souq_Al_Asiri-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/68/37/e5/photo1jpg.jpg?w=500&h=400&s=1,,Souq Al Asiri,51.,https://www.tripadvisor.com/Attraction_Review-g294009-d10261660-Reviews-Souq_Al_Asiri-Doha.html#REVIEWS,Flea & Street Markets,,,,,,,,
3,https://www.tripadvisor.com/Attraction_Review-g294009-d17642083-Reviews-Yippy_Land-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/08/e8/2f/yippyland-level-1-palms.jpg?w=500&h=400&s=1,,Yippy Land,52.,https://www.tripadvisor.com/Attraction_Review-g294009-d17642083-Reviews-Yippy_Land-Doha.html#REVIEWS,Amusement & Theme Parks,,,,,,,,
41,https://www.tripadvisor.com/Attraction_Review-g294009-d1370680-Reviews-Al_Ahli_Stadium-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/42/e9/ef/al-ahli-stadium.jpg?w=500&h=-1&s=1,,Al Ahli Stadium,53.,https://www.tripadvisor.com/Attraction_Review-g294009-d1370680-Reviews-Al_Ahli_Stadium-Doha.html#REVIEWS,Arenas & Stadiums,,,,,,,,
9,https://www.tripadvisor.com/Attraction_Review-g294009-d16736353-Reviews-EAST_WEST_WEST_EAST_by_Richard_Serra-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/20/72/0c/photo0jpg.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/ce/default-avatar-2020-7.jpg?w=100&h=-1&s=1,EAST-WEST / WEST-EAST by Richard Serra,54.,https://www.tripadvisor.com/Attraction_Review-g294009-d16736353-Reviews-EAST_WEST_WEST_EAST_by_Richard_Serra-Doha.html#REVIEWS,Monuments & Statues • Scenic Drives,https://www.tripadvisor.com/Profile/werner867,By,werner867,https://www.tripadvisor.com/ShowUserReviews-g294009-d16736353-r734702653-EAST_WEST_WEST_EAST_by_Richard_Serra-Doha.html,Unusual,art,in the desert,
6,https://www.tripadvisor.com/Attraction_Review-g294009-d12905841-Reviews-Dragon_Mart_Doha-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/00/1e/59/photo1jpg.jpg?w=500&h=-1&s=1,,Dragon Mart Doha,55.,https://www.tripadvisor.com/Attraction_Review-g294009-d12905841-Reviews-Dragon_Mart_Doha-Doha.html#REVIEWS,Department Stores • Flea & Street Markets,,,,,,,,
18,https://www.tripadvisor.com/Attraction_Review-g294009-d9599314-Reviews-QM_GALLERY_AL_RIWAQ-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/4f/fa/78/modern-art.jpg?w=500&h=-1&s=1,,QM GALLERY AL RIWAQ,56.,https://www.tripadvisor.com/Attraction_Review-g294009-d9599314-Reviews-QM_GALLERY_AL_RIWAQ-Doha.html#REVIEWS,Art Galleries • Speciality Museums,,,,,,,,
3,https://www.tripadvisor.com/Attraction_Review-g294009-d19638055-Reviews-Al_Karaana_Lagoon-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/3e/18/35/20191206-134747-largejpg.jpg?w=500&h=400&s=1,,Al Karaana Lagoon,57.,https://www.tripadvisor.com/Attraction_Review-g294009-d19638055-Reviews-Al_Karaana_Lagoon-Doha.html#REVIEWS,Bodies of Water,,,,,,,,
2,https://www.tripadvisor.com/Attraction_Review-g294009-d19965822-Reviews-Qatar_National_Convention_Centre-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/7f/99/38/conference.jpg?w=500&h=-1&s=1,,Qatar National Convention Centre,58.,https://www.tripadvisor.com/Attraction_Review-g294009-d19965822-Reviews-Qatar_National_Convention_Centre-Doha.html#REVIEWS,Convention Centers,,,,,,,,
11,https://www.tripadvisor.com/Attraction_Review-g294009-d9802807-Reviews-Qatarian_zoo-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/f2/58/2f/tigers-qatar-zoo.jpg?w=500&h=-1&s=1,,Qatarian zoo,59.,https://www.tripadvisor.com/Attraction_Review-g294009-d9802807-Reviews-Qatarian_zoo-Doha.html#REVIEWS,Zoos,,,,,,,,
20,https://www.tripadvisor.com/Attraction_Review-g294009-d8311456-Reviews-Omar_Bin_al_Khattab_Mosque-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e2/b8/2c/omar-bin-al-khattab-mosque.jpg?w=500&h=400&s=1,,Omar Bin al Khattab Mosque,60.,https://www.tripadvisor.com/Attraction_Review-g294009-d8311456-Reviews-Omar_Bin_al_Khattab_Mosque-Doha.html#REVIEWS,Religious Sites,,,,,,,,
3,,,,,,,1,,2,,,4,,,
12,https://www.tripadvisor.com/Attraction_Review-g294009-d7305469-Reviews-VCU_Qatar_Gallery-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/61/3b/e3/vcu-qatar-gallery.jpg?w=400&h=-1&s=1,,VCU Qatar Gallery,61.,https://www.tripadvisor.com/Attraction_Review-g294009-d7305469-Reviews-VCU_Qatar_Gallery-Doha.html#REVIEWS,Points of Interest & Landmarks,,,,,,,,
1,https://www.tripadvisor.com/Attraction_Review-g294009-d14138534-Reviews-Oriental_Carpet_Company-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/38/64/6d/searching-for-the-right.jpg?w=500&h=400&s=1,,Oriental Carpet Company,62.,https://www.tripadvisor.com/Attraction_Review-g294009-d14138534-Reviews-Oriental_Carpet_Company-Doha.html#REVIEWS,Antique Shops,,,,,,,,
1,https://www.tripadvisor.com/Attraction_Review-g294009-d19917189-Reviews-7_Sculpture-Doha.html,,,7 Sculpture,63.,https://www.tripadvisor.com/Attraction_Review-g294009-d19917189-Reviews-7_Sculpture-Doha.html#REVIEWS,Monuments & Statues,,,,,,,,
3,https://www.tripadvisor.com/Attraction_Review-g294009-d14204079-Reviews-Fun_Ville_Barwa_Village-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/68/37/47/slide.jpg?w=500&h=-1&s=1,,Fun Ville - Barwa Village,64.,https://www.tripadvisor.com/Attraction_Review-g294009-d14204079-Reviews-Fun_Ville_Barwa_Village-Doha.html#REVIEWS,Parks • Playgrounds,,,,,,,,
3,https://www.tripadvisor.com/Attraction_Review-g294009-d10524860-Reviews-Albahie_auction_house-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/d4/75/4b/albahie-auction-house.jpg?w=500&h=400&s=1,,Albahie auction house,65.,https://www.tripadvisor.com/Attraction_Review-g294009-d10524860-Reviews-Albahie_auction_house-Doha.html#REVIEWS,Art Galleries,,,,,,,,
2,https://www.tripadvisor.com/Attraction_Review-g294009-d10701493-Reviews-Carre_d_Artistes_Doha-Doha.html,,,Carre d'Artistes Doha,66.,https://www.tripadvisor.com/Attraction_Review-g294009-d10701493-Reviews-Carre_d_Artistes_Doha-Doha.html#REVIEWS,Art Galleries,,,,,,,,
4,https://www.tripadvisor.com/Attraction_Review-g294009-d11823535-Reviews-Garrafa_family_park-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/22/12/40/ee/qatar-doha-garafa-family.jpg?w=500&h=400&s=1,,Garrafa family park,67.,https://www.tripadvisor.com/Attraction_Review-g294009-d11823535-Reviews-Garrafa_family_park-Doha.html#REVIEWS,Parks,,,,,,,,
"4,893",https://www.tripadvisor.com/Attraction_Review-g294009-d10724403-Reviews-Falcon_Tours-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/0f/f4/ac/falcon-tours-qatar.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/2d/default-avatar-2020-48.jpg?w=100&h=-1&s=1,Falcon Tours,68.,https://www.tripadvisor.com/Attraction_Review-g294009-d10724403-Reviews-Falcon_Tours-Doha.html#REVIEWS,City Tours • Cultural Tours,https://www.tripadvisor.com/Profile/AbbeyN_12,By,AbbeyN_12,https://www.tripadvisor.com/ShowUserReviews-g294009-d10724403-r618352633-Falcon_Tours-Doha.html,We has the most amazing half day tour included a,camel ride,Amir full of jokes and knowledge Loved it thrills and spi...,Open now
"1,271",https://www.tripadvisor.com/Attraction_Review-g294009-d12234537-Reviews-365_Adventures-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/bb/d9/cb/try-out-our-400-hp-luxury.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f1/79/default-avatar-2020-21.jpg?w=100&h=-1&s=1,365 Adventures,69.,https://www.tripadvisor.com/Attraction_Review-g294009-d12234537-Reviews-365_Adventures-Doha.html#REVIEWS,City Tours • Cultural Tours,https://www.tripadvisor.com/Profile/551apples,By,551apples,https://www.tripadvisor.com/ShowUserReviews-g294009-d12234537-r589902808-365_Adventures-Doha.html,"... The camel riding was fun, adrenaline pumping dune bashing, beautiful",inland sea,and the barbeque along the seashore.,Open now
144,https://www.tripadvisor.com/Attraction_Review-g294009-d13143326-Reviews-ESPA_at_Mondrian_Doha-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/44/c9/7c/getlstd-property-photo.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/00/default-avatar-2020-4.jpg?w=100&h=-1&s=1,ESPA at Mondrian Doha,70.,https://www.tripadvisor.com/Attraction_Review-g294009-d13143326-Reviews-ESPA_at_Mondrian_Doha-Doha.html#REVIEWS,Health Clubs • Hammams & Turkish Baths,https://www.tripadvisor.com/Profile/MoeC6255RN,By,MoeC6255RN,https://www.tripadvisor.com/ShowUserReviews-g294009-d13143326-r819486597-ESPA_at_Mondrian_Doha-Doha.html,If you want to be pampered and experience an,amazing massage,then I recommend Rafik and Espa that this is the place t...,Open now
253,https://www.tripadvisor.com/Attraction_Review-g294009-d17782661-Reviews-Murex_Activities_Tours-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/6d/37/4b/caption.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d3/71/81/codel.jpg?w=100&h=-1&s=1,Murex Activities & Tours,71.,https://www.tripadvisor.com/Attraction_Review-g294009-d17782661-Reviews-Murex_Activities_Tours-Doha.html#REVIEWS,Parasailing & Paragliding • Cooking Classes,https://www.tripadvisor.com/Profile/CodeL,By,CodeL,https://www.tripadvisor.com/ShowUserReviews-g294009-d17782661-r744806025-Murex_Activities_Tours-Doha.html,"Wonderful day in Qatar with Qandeel Bilal, my guide on two tours put together:",Dune Bashing,and Camel racing.,Open now
"1,411",https://www.tripadvisor.com/Attraction_Review-g294009-d3953996-Reviews-Qatar_Inbound_Tours_Private_Day_Tours-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/41/a6/fd/qatar-desert-safari.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/69/11/a2/pavithra-g.jpg?w=100&h=-1&s=1,Qatar Inbound Tours - Private Day Tours,72.,https://www.tripadvisor.com/Attraction_Review-g294009-d3953996-Reviews-Qatar_Inbound_Tours_Private_Day_Tours-Doha.html#REVIEWS,"4WD, ATV & Off-Road Tours • Night Tours",https://www.tripadvisor.com/Profile/Pavii90,By,Pavii90,https://www.tripadvisor.com/ShowUserReviews-g294009-d3953996-r674714754-Qatar_Inbound_Tours_Private_Day_Tours-Doha.html,It was amazing and fun tour driving up and down the,sand dunes,in Doha! Visited the dunes for a family outing and had...,Open now
72,https://www.tripadvisor.com/Attraction_Review-g294009-d23733783-Reviews-Doha_transit_and_Tours-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/54/fc/44/caption.jpg?w=500&h=400&s=1,,Doha transit and Tours,73.,https://www.tripadvisor.com/Attraction_Review-g294009-d23733783-Reviews-Doha_transit_and_Tours-Doha.html#REVIEWS,Multi-day Tours • Adrenaline & Extreme Tours,,,,,,,,
108,https://www.tripadvisor.com/Attraction_Review-g294009-d10481081-Reviews-Saray_Spa_at_Marriott_Marquis_City_Center_Doha-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/8e/f2/35/marriott-marquis-city.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,Saray Spa at Marriott Marquis City Center Doha,74.,https://www.tripadvisor.com/Attraction_Review-g294009-d10481081-Reviews-Saray_Spa_at_Marriott_Marquis_City_Center_Doha-Doha.html#REVIEWS,Hammams & Turkish Baths • Spas,https://www.tripadvisor.com/Profile/833maferm,By,833maferm,https://www.tripadvisor.com/ShowUserReviews-g294009-d10481081-r824650733-Saray_Spa_at_Marriott_Marquis_City_Center_Doha-Doha.html,I went for the,Balinese massage,with Ida and it was one of the best massages ever.,Open now
202,https://www.tripadvisor.com/Attraction_Review-g294009-d13919212-Reviews-Q_Explorer_Tourism-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/fd/91/f8/welcome-to-our-profile.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,Q-Explorer Tourism,75.,https://www.tripadvisor.com/Attraction_Review-g294009-d13919212-Reviews-Q_Explorer_Tourism-Doha.html#REVIEWS,City Tours • Cultural Tours,https://www.tripadvisor.com/Profile/jt65gv,By,jt65gv,https://www.tripadvisor.com/ShowUserReviews-g294009-d13919212-r577132484-Q_Explorer_Tourism-Doha.html,I highly recommend to make the,Inland Sea,tour with Abdullah for many reasons : very professionnal driver who knows a...,Open now
77,https://www.tripadvisor.com/Attraction_Review-g294009-d21676723-Reviews-Eforea_Spa_Health_Club-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/6e/a0/0a/treatment-room.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/7a/default-avatar-2020-25.jpg?w=100&h=-1&s=1,Eforea Spa & Health Club,76.,https://www.tripadvisor.com/Attraction_Review-g294009-d21676723-Reviews-Eforea_Spa_Health_Club-Doha.html#REVIEWS,Spas,https://www.tripadvisor.com/Profile/211sherifs,By,211sherifs,https://www.tripadvisor.com/ShowUserReviews-g294009-d21676723-r816327870-Eforea_Spa_Health_Club-Doha.html,mrs.jenny and mrs.rebecon are very welcome and help kids talented my son mohamed sherif room 1801 happy fully,Kids club,,Open now
337,https://www.tripadvisor.com/Attraction_Review-g294009-d2549139-Reviews-SISLEY_PARIS_SPA-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/c6/e3/5e/sisley-paris-spa-vip.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,SISLEY PARIS SPA,77.,https://www.tripadvisor.com/Attraction_Review-g294009-d2549139-Reviews-SISLEY_PARIS_SPA-Doha.html#REVIEWS,Spas,https://www.tripadvisor.com/Profile/anniearifq,By,anniearifq,https://www.tripadvisor.com/ShowUserReviews-g294009-d2549139-r622367386-SISLEY_PARIS_SPA-Doha.html,My favourite spa by far and the best hospitality I have experienced in Doha!,Bliss spa,and the team really do go the...,Open now
212,https://www.tripadvisor.com/Attraction_Review-g294009-d11816073-Reviews-Heavenly_Spa-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/c9/d1/a0/skinceuticals-facial.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e5/2b/default-avatar-2020-52.jpg?w=100&h=-1&s=1,Heavenly Spa,78.,https://www.tripadvisor.com/Attraction_Review-g294009-d11816073-Reviews-Heavenly_Spa-Doha.html#REVIEWS,Health Clubs • Spas,https://www.tripadvisor.com/Profile/Amina0214,By,Amina0214,https://www.tripadvisor.com/ShowUserReviews-g294009-d11816073-r611855062-Heavenly_Spa-Doha.html,The Spa desk staff are always welcoming and saying hello as you walk in and out and the,Spa manager,is the sweetest a...,Open now
125,https://www.tripadvisor.com/Attraction_Review-g294009-d18856885-Reviews-Cenfit_Fitness_Centre-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/70/82/c2/fitness-room.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f4/20/default-avatar-2020-31.jpg?w=100&h=-1&s=1,Cenfit Fitness Centre,79.,https://www.tripadvisor.com/Attraction_Review-g294009-d18856885-Reviews-Cenfit_Fitness_Centre-Doha.html#REVIEWS,Health Clubs • Yoga & Pilates,https://www.tripadvisor.com/Profile/y4y486,By,y4y486,https://www.tripadvisor.com/ShowUserReviews-g294009-d18856885-r814535465-Cenfit_Fitness_Centre-Doha.html,centara has a,kids club,"and my children like in there , my children will feel happy because there are many games ther...",Open now
221,https://www.tripadvisor.com/Attraction_Review-g294009-d5541693-Reviews-Poseidon_Dive_Center-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/f3/ec/b5/poseidon-dive-center.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/60/default-avatar-2020-64.jpg?w=100&h=-1&s=1,Poseidon Dive Center,80.,https://www.tripadvisor.com/Attraction_Review-g294009-d5541693-Reviews-Poseidon_Dive_Center-Doha.html#REVIEWS,Scuba & Snorkelling,https://www.tripadvisor.com/Profile/Austinwrighthouse,By,Austinwrighthouse,https://www.tripadvisor.com/ShowUserReviews-g294009-d5541693-r793283893-Poseidon_Dive_Center-Doha.html,Done my,open water course,"here with a phenomenal instructor, Adriana gave clear concise instructions with a comfortin...",
"2,324",https://www.tripadvisor.com/Attraction_Review-g294009-d13384220-Reviews-Golden_Adventures_Qatar-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/b6/87/6b/caption.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/a2/default-avatar-2020-3.jpg?w=100&h=-1&s=1,Golden Adventures Qatar,81.,https://www.tripadvisor.com/Attraction_Review-g294009-d13384220-Reviews-Golden_Adventures_Qatar-Doha.html#REVIEWS,"City Tours • 4WD, ATV & Off-Road Tours",https://www.tripadvisor.com/Profile/shahamit21,By,shahamit21,https://www.tripadvisor.com/ShowUserReviews-g294009-d13384220-r649852110-Golden_Adventures_Qatar-Doha.html,It was one of the Fantastic,Desert Safari,"Experience with AMAAN & Enjoyed a Lot, very much adventures.",Open now
139,https://www.tripadvisor.com/Attraction_Review-g294009-d8555830-Reviews-AquaSports_Qatar-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/53/cd/cc/camp.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e4/ca/default-avatar-2020-51.jpg?w=100&h=-1&s=1,AquaSports Qatar,82.,https://www.tripadvisor.com/Attraction_Review-g294009-d8555830-Reviews-AquaSports_Qatar-Doha.html#REVIEWS,Surfing & Windsurfing • Boat Tours,https://www.tripadvisor.com/Profile/121basema,By,121basema,https://www.tripadvisor.com/ShowUserReviews-g294009-d8555830-r763312269-AquaSports_Qatar-Doha.html,Fantastic trip and service was really 5 star especially Captain Mohammed Thank you,Aqua Sports,......,
102,https://www.tripadvisor.com/Attraction_Review-g294009-d12610597-Reviews-Quan_Spa-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/73/79/e7/chi-the-spa-at-shangri.jpg?w=500&h=-1&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,Quan Spa,83.,https://www.tripadvisor.com/Attraction_Review-g294009-d12610597-Reviews-Quan_Spa-Doha.html#REVIEWS,Health Clubs • Arab Baths,https://www.tripadvisor.com/Profile/HexFour,By,HexFour,https://www.tripadvisor.com/ShowUserReviews-g294009-d12610597-r775504770-Quan_Spa-Doha.html,Their,ginger tea,", is the perfect touch at the beginning and the end of the treatment .",Open now
136,https://www.tripadvisor.com/Attraction_Review-g294009-d7194079-Reviews-Spa_at_Sharq_Village-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/84/2e/f4/unwind-in-luxury-at-the.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f3/7c/default-avatar-2020-29.jpg?w=100&h=-1&s=1,Spa at Sharq Village,84.,https://www.tripadvisor.com/Attraction_Review-g294009-d7194079-Reviews-Spa_at_Sharq_Village-Doha.html#REVIEWS,Spas,https://www.tripadvisor.com/Profile/P3495LV_,By,P3495LV_,https://www.tripadvisor.com/ShowUserReviews-g294009-d7194079-r604597025-Spa_at_Sharq_Village-Doha.html,i normally visite to sharq hotel its a good place to have relax in hot have some drinks in,pool bar,the service was g...,Open now
87,https://www.tripadvisor.com/Attraction_Review-g294009-d23815673-Reviews-Doha_travel_and_tourism-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/21/eb/64/11/caption.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ec/3d/default-avatar-2020-1.jpg?w=100&h=-1&s=1,Doha travel and tourism,85.,https://www.tripadvisor.com/Attraction_Review-g294009-d23815673-Reviews-Doha_travel_and_tourism-Doha.html#REVIEWS,"4WD, ATV & Off-Road Tours",https://www.tripadvisor.com/Profile/531teas,By,531teas,https://www.tripadvisor.com/ShowUserReviews-g294009-d23815673-r825521292-Doha_travel_and_tourism-Doha.html,With alot of information and enjoyment...,professional staff,good Communication.,
300,https://www.tripadvisor.com/Attraction_Review-g294009-d9749080-Reviews-The_Den-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/33/a7/35/the-den.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/ea/default-avatar-2020-63.jpg?w=100&h=-1&s=1,The Den,86.,https://www.tripadvisor.com/Attraction_Review-g294009-d9749080-Reviews-The_Den-Doha.html#REVIEWS,Bars & Clubs,https://www.tripadvisor.com/Profile/Lock_jennifer,By,Lock_jennifer,https://www.tripadvisor.com/ShowUserReviews-g294009-d9749080-r569729725-The_Den-Doha.html,"Had a lovely vibe, service great, lots of westerners, best of all",happy hour,all night!,
95,https://www.tripadvisor.com/Attraction_Review-g294009-d14111947-Reviews-Desert_Safari_Doha_Inland_Sea_Tours-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/8f/a4/4e/desert-safari-doha-cmael.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e9/ef/default-avatar-2020-66.jpg?w=100&h=-1&s=1,Desert Safari Doha | Inland Sea Tours,87.,https://www.tripadvisor.com/Attraction_Review-g294009-d14111947-Reviews-Desert_Safari_Doha_Inland_Sea_Tours-Doha.html#REVIEWS,"City Tours • 4WD, ATV & Off-Road Tours",https://www.tripadvisor.com/Profile/Shivanisharma20,By,Shivanisharma20,https://www.tripadvisor.com/ShowUserReviews-g294009-d14111947-r822300636-Desert_Safari_Doha_Inland_Sea_Tours-Doha.html,We had a great time on the,sand dunes,"with our driver Fahad Maroof, really skilled and friendly guy.",Open now
937,https://www.tripadvisor.com/Attraction_Review-g294009-d3915946-Reviews-Qatar_International_Tour_QIT-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/39/3b/e1/qatar-desert-safari-with.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f0/48/default-avatar-2020-15.jpg?w=100&h=-1&s=1,Qatar International Tour (QIT),88.,https://www.tripadvisor.com/Attraction_Review-g294009-d3915946-Reviews-Qatar_International_Tour_QIT-Doha.html#REVIEWS,Sightseeing Tours,https://www.tripadvisor.com/Profile/rastayankee,By,rastayankee,https://www.tripadvisor.com/ShowUserReviews-g294009-d3915946-r592899757-Qatar_International_Tour_QIT-Doha.html,I did the,dhow cruise,with jet ski and speed boat twice with great food and provided a cake for birthday celeb.,Open now
181,https://www.tripadvisor.com/Attraction_Review-g294009-d8558274-Reviews-Kozma_And_Kozma-Doha.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f3/fa/5c/logo.jpg?w=500&h=400&s=1,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,Kozma And Kozma,89.,https://www.tripadvisor.com/Attraction_Review-g294009-d8558274-Reviews-Kozma_And_Kozma-Doha.html#REVIEWS,Spas,https://www.tripadvisor.com/Profile/745orlam,By,745orlam,https://www.tripadvisor.com/ShowUserReviews-g294009-d8558274-r729035593-Kozma_And_Kozma-Doha.html,I'm just back from getting my highlights done with Louise in the,Salwa Road,branch.,Open now
