WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href 2,WlYyy 2,WlYyy 3,iPqaD href 3,dugSS src 2,WlYyy 5,iPqaD,iPqaD href 5,WlYyy 6,dkvhj,WlYyy 7,TCGml,WlYyy 8
183,https://www.tripadvisor.com/Attraction_Review-g189400-d242834-Reviews-The_Jewish_Museum_of_Greece-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/dd/5b/28/provided-by-the-jewish.jpg?w=400&h=300&s=1,The Jewish Museum of Greece,34.,https://www.tripadvisor.com/Attraction_Review-g189400-d242834-Reviews-The_Jewish_Museum_of_Greece-Athens_Attica.html#REVIEWS,Speciality Museums • History Museums,Plaka,https://www.tripadvisor.com/Profile/jbwhitehouse,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6c/bc/20/jbwhitehouse.jpg?w=100&h=-1&s=1,By,jbwhitehouse,https://www.tripadvisor.com/ShowUserReviews-g189400-d242834-r728684408-The_Jewish_Museum_of_Greece-Athens_Attica.html,"... Though relatively small compared to major museums, the four floors house superb displays of",Jewish life,in Greece.,,
253,https://www.tripadvisor.com/Attraction_Review-g189400-d198780-Reviews-Gazi-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/59/a5/6e/gazi.jpg?w=500&h=-1&s=1,Gazi,35.,https://www.tripadvisor.com/Attraction_Review-g189400-d198780-Reviews-Gazi-Athens_Attica.html#REVIEWS,Neighborhoods,Psirri / Gazi,,,,,,,,,,
337,https://www.tripadvisor.com/Attraction_Review-g189400-d2432271-Reviews-The_Academy_of_Athens-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/65/80/0e/frontaria.jpg?w=500&h=400&s=1,The Academy of Athens,36.,https://www.tripadvisor.com/Attraction_Review-g189400-d2432271-Reviews-The_Academy_of_Athens-Athens_Attica.html#REVIEWS,Architectural Buildings,Akadimia (Academy),https://www.tripadvisor.com/Profile/frankbut8,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/de/e7/default-avatar-2020-37.jpg?w=100&h=-1&s=1,By,frankbut8,https://www.tripadvisor.com/ShowUserReviews-g189400-d2432271-r659422971-The_Academy_of_Athens-Athens_Attica.html,Very close to the,Syntagma square,in Panepistimiou st probably the most beautiful street in Athens.,,
384,https://www.tripadvisor.com/Attraction_Review-g189400-d524626-Reviews-Metropolitan_Cathedral_of_Athens-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/8e/e5/a1/mitropoli-athens-cathedral.jpg?w=500&h=400&s=1,Metropolitan Cathedral of Athens,37.,https://www.tripadvisor.com/Attraction_Review-g189400-d524626-Reviews-Metropolitan_Cathedral_of_Athens-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks • Churches & Cathedrals,Syntagma,https://www.tripadvisor.com/Profile/chtof2018,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/a4/33/c7/avatar.jpg?w=100&h=-1&s=1,By,chtof2018,https://www.tripadvisor.com/ShowUserReviews-g189400-d524626-r678156980-Metropolitan_Cathedral_of_Athens-Athens_Attica.html,... was Archbishop of Athens during World War II and was Regentfor King George II and,Prime Minister,of Greece in 1946.,,
110,https://www.tripadvisor.com/Attraction_Review-g189400-d2662538-Reviews-Museum_Herakleidon-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/8d/ae/4b/museum-s-exhibit.jpg?w=500&h=-1&s=1,Museum Herakleidon,38.,https://www.tripadvisor.com/Attraction_Review-g189400-d2662538-Reviews-Museum_Herakleidon-Athens_Attica.html#REVIEWS,Speciality Museums • Science Museums,Thissio / Makriyanni,https://www.tripadvisor.com/Profile/DiogoSara,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/1c/93/a5/sara-d.jpg?w=100&h=-1&s=1,By,DiogoSara,https://www.tripadvisor.com/ShowUserReviews-g189400-d2662538-r808555468-Museum_Herakleidon-Athens_Attica.html,Small and very interesting museum that shows you the use of,technology,"in Ancient Greece, sometimes in everyday items.",•,Open now
447,https://www.tripadvisor.com/Attraction_Review-g189400-d198762-Reviews-Adrianou_Street-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/a3/4d/89/caption.jpg?w=500&h=400&s=1,Adrianou Street,39.,https://www.tripadvisor.com/Attraction_Review-g189400-d198762-Reviews-Adrianou_Street-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,Monastiraki,https://www.tripadvisor.com/Profile/darylosw,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/73/default-avatar-2020-13.jpg?w=100&h=-1&s=1,By,darylosw,https://www.tripadvisor.com/ShowUserReviews-g189400-d198762-r733746902-Adrianou_Street-Athens_Attica.html,"At the end of Pandrossou, you will reach",Monastiraki Square,"and the flea market It is a nice, safe walk but as always...",,
88,https://www.tripadvisor.com/Attraction_Review-g189400-d319301-Reviews-The_Monastery_of_Daphni-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/ac/4c/c5/the-monastery-of-daphni.jpg?w=500&h=400&s=1,The Monastery of Daphni,40.,https://www.tripadvisor.com/Attraction_Review-g189400-d319301-Reviews-The_Monastery_of_Daphni-Athens_Attica.html#REVIEWS,Historic Sites • Religious Sites,,,,,,,,,,,
845,https://www.tripadvisor.com/Attraction_Review-g189400-d242841-Reviews-Roman_Agora-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/80/8e/6c/tower-of-wind-roman-agora.jpg?w=500&h=400&s=1,Roman Agora,41.,https://www.tripadvisor.com/Attraction_Review-g189400-d242841-Reviews-Roman_Agora-Athens_Attica.html#REVIEWS,Historic Sites • Ancient Ruins,Plaka,https://www.tripadvisor.com/Profile/Beach-Dew,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/b1/ea/61/crazyvalleygirl.jpg?w=100&h=-1&s=1,By,Beach-Dew,https://www.tripadvisor.com/ShowUserReviews-g189400-d242841-r578843333-Roman_Agora-Athens_Attica.html,"The Tower of the Winds, a",water clock,", is what I liked most and the Fethiye mosque is wonderful.",,
733,https://www.tripadvisor.com/Attraction_Review-g189400-d3569017-Reviews-Church_of_Kapnikarea-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/a9/d8/9a/church-of-kapnikarea.jpg?w=500&h=400&s=1,Church of Kapnikaréa,42.,https://www.tripadvisor.com/Attraction_Review-g189400-d3569017-Reviews-Church_of_Kapnikarea-Athens_Attica.html#REVIEWS,Churches & Cathedrals,,https://www.tripadvisor.com/Profile/863SueM,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/6a/default-avatar-2020-47.jpg?w=100&h=-1&s=1,By,863SueM,https://www.tripadvisor.com/ShowUserReviews-g189400-d3569017-r635115262-Church_of_Kapnikarea-Athens_Attica.html,So interesting to see this very old 11th century church in the midst of the main shopping area of,Ermou Street,.,,
98,https://www.tripadvisor.com/Attraction_Review-g189400-d1067330-Reviews-Dora_Stratou_Greek_Dances_Theatre-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/71/fc/2f/musiciens-et-chanteuses.jpg?w=500&h=400&s=1,Dora Stratou Greek Dances Theatre,43.,https://www.tripadvisor.com/Attraction_Review-g189400-d1067330-Reviews-Dora_Stratou_Greek_Dances_Theatre-Athens_Attica.html#REVIEWS,Theaters,Thissio / Makriyanni,,,,,,,,,,
136,https://www.tripadvisor.com/Attraction_Review-g189400-d644890-Reviews-Pnyx-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/d5/f6/af/pnyx.jpg?w=500&h=400&s=1,Pnyx,44.,https://www.tripadvisor.com/Attraction_Review-g189400-d644890-Reviews-Pnyx-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,Thissio / Makriyanni,https://www.tripadvisor.com/Profile/Vitor-Perei,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/a7/default-avatar-2020-44.jpg?w=100&h=-1&s=1,By,Vitor-Perei,https://www.tripadvisor.com/ShowUserReviews-g189400-d644890-r776110012-Pnyx-Athens_Attica.html,We had the Hellas Revival,democracy,workshop on Pnyx and the whole experience was absolutely inspiring!,,
96,https://www.tripadvisor.com/Attraction_Review-g189400-d8278689-Reviews-National_Observatory_of_Athens-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/b0/f2/c0/national-observatory.jpg?w=500&h=-1&s=1,National Observatory of Athens,45.,https://www.tripadvisor.com/Attraction_Review-g189400-d8278689-Reviews-National_Observatory_of_Athens-Athens_Attica.html#REVIEWS,Science Museums • Observatories & Planetariums,Thissio / Makriyanni,https://www.tripadvisor.com/Profile/deboral99,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e2/4a/default-avatar-2020-42.jpg?w=100&h=-1&s=1,By,deboral99,https://www.tripadvisor.com/ShowUserReviews-g189400-d8278689-r641560009-National_Observatory_of_Athens-Athens_Attica.html,We had an,English tour,"in December; don't go there much in advance as you will wait in the cold, but peering through...",,
"1,124",https://www.tripadvisor.com/Attraction_Review-g189400-d198707-Reviews-Hellenic_Parliament-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/ba/a3/ba/photo.jpg?w=500&h=-1&s=1,Hellenic Parliament,46.,https://www.tripadvisor.com/Attraction_Review-g189400-d198707-Reviews-Hellenic_Parliament-Athens_Attica.html#REVIEWS,Historic Sites • Government Buildings,Syntagma,https://www.tripadvisor.com/Profile/PerryB137,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e7/7b/default-avatar-2020-56.jpg?w=100&h=-1&s=1,By,PerryB137,https://www.tripadvisor.com/ShowUserReviews-g189400-d198707-r669761340-Hellenic_Parliament-Athens_Attica.html,The proximity to,Syntagma Square,was excellent and the Changing of the Guard as intoxicating a sight as ever.,,
92,https://www.tripadvisor.com/Attraction_Review-g189400-d8426708-Reviews-First_Cemetery_of_Athens-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/61/8b/c7/first-cemetery-of-athens.jpg?w=500&h=-1&s=1,First Cemetery of Athens,47.,https://www.tripadvisor.com/Attraction_Review-g189400-d8426708-Reviews-First_Cemetery_of_Athens-Athens_Attica.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,Pangrati,,,,,,,,,,
129,https://www.tripadvisor.com/Attraction_Review-g189400-d3223474-Reviews-National_Library_of_Greece-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/84/c0/e7/national-library-of-greece.jpg?w=500&h=400&s=1,National Library of Greece,48.,https://www.tripadvisor.com/Attraction_Review-g189400-d3223474-Reviews-National_Library_of_Greece-Athens_Attica.html#REVIEWS,Libraries,Akadimia (Academy),https://www.tripadvisor.com/Profile/mr-mark-rossiter,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/73/24/d8/mark-r.jpg?w=100&h=-1&s=1,By,mr-mark-rossiter,https://www.tripadvisor.com/ShowUserReviews-g189400-d3223474-r581875682-National_Library_of_Greece-Athens_Attica.html,,Beautiful Building,,,
262,https://www.tripadvisor.com/Attraction_Review-g189400-d1420241-Reviews-Zappeion_Conference_Exhibition_Center-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/6a/b7/11/front-of-zappeion.jpg?w=500&h=-1&s=1,Zappeion Conference & Exhibition Center,49.,https://www.tripadvisor.com/Attraction_Review-g189400-d1420241-Reviews-Zappeion_Conference_Exhibition_Center-Athens_Attica.html#REVIEWS,Convention Centers,Zappeion,,,,,,,,,,
166,https://www.tripadvisor.com/Attraction_Review-g189400-d6988081-Reviews-Propylaea-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0c/7b/2b/propylaea.jpg?w=500&h=-1&s=1,Propylaea,50.,https://www.tripadvisor.com/Attraction_Review-g189400-d6988081-Reviews-Propylaea-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,,https://www.tripadvisor.com/Profile/jordanellie41,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/b6/c1/ca/jordanellie41.jpg?w=100&h=-1&s=1,By,jordanellie41,https://www.tripadvisor.com/ShowUserReviews-g189400-d6988081-r736836537-Propylaea-Athens_Attica.html,This is the beautiful gateway which is the main entrance and exit to the main attractions at the top of the,Acropolis,.,,
173,https://www.tripadvisor.com/Attraction_Review-g189400-d198763-Reviews-Chapel_of_St_George-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/d7/42/37/chapel-of-st-george.jpg?w=500&h=-1&s=1,Chapel of St. George,51.,https://www.tripadvisor.com/Attraction_Review-g189400-d198763-Reviews-Chapel_of_St_George-Athens_Attica.html#REVIEWS,Religious Sites,Lykavittos (Mount Lycabettus),https://www.tripadvisor.com/Profile/578deirdred,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/5f/55/49/deirdre-d.jpg?w=100&h=-1&s=1,By,578deirdred,https://www.tripadvisor.com/ShowUserReviews-g189400-d198763-r813688434-Chapel_of_St_George-Athens_Attica.html,Just come to see the,highest point in Athens,.,,
310,https://www.tripadvisor.com/Attraction_Review-g189400-d2693885-Reviews-Allou_Fun_Park-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/44/d3/3b/loop-it.jpg?w=500&h=400&s=1,Allou! Fun Park,52.,https://www.tripadvisor.com/Attraction_Review-g189400-d2693885-Reviews-Allou_Fun_Park-Athens_Attica.html#REVIEWS,Amusement & Theme Parks,,https://www.tripadvisor.com/Profile/879sofiev,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ef/32/default-avatar-2020-12.jpg?w=100&h=-1&s=1,By,879sofiev,https://www.tripadvisor.com/ShowUserReviews-g189400-d2693885-r812565890-Allou_Fun_Park-Athens_Attica.html,We got the bracelets for 19,euro,which was good.,,
528,https://www.tripadvisor.com/Attraction_Review-g189400-d267751-Reviews-Ermou_Street-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/6b/af/9a/20160807-124752-largejpg.jpg?w=500&h=400&s=1,Ermou Street,53.,https://www.tripadvisor.com/Attraction_Review-g189400-d267751-Reviews-Ermou_Street-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,Monastiraki,https://www.tripadvisor.com/Profile/homecheff1251,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ed/7b/default-avatar-2020-6.jpg?w=100&h=-1&s=1,By,homecheff1251,https://www.tripadvisor.com/ShowUserReviews-g189400-d267751-r690718840-Ermou_Street-Athens_Attica.html,We picked up coffee and then just strolled to a little beyond the ancient,church,and then turned around and headed back.,,
292,https://www.tripadvisor.com/Attraction_Review-g189400-d198776-Reviews-Kolonaki_Square-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/0b/b8/60/kolonaki.jpg?w=500&h=-1&s=1,Kolonaki Square,54.,https://www.tripadvisor.com/Attraction_Review-g189400-d198776-Reviews-Kolonaki_Square-Athens_Attica.html#REVIEWS,Neighborhoods • Points of Interest & Landmarks,Omonia,,,,,,,,,,
570,https://www.tripadvisor.com/Attraction_Review-g189400-d7759649-Reviews-Attiko_Metro_S_A-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/1c/92/91/piraeus-greece-metro.jpg?w=500&h=400&s=1,Attiko Metro S.A.,55.,https://www.tripadvisor.com/Attraction_Review-g189400-d7759649-Reviews-Attiko_Metro_S_A-Athens_Attica.html#REVIEWS,Public Transportation Systems,Ellinoroson,https://www.tripadvisor.com/Profile/658marshallb,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/4b/3d/5d/marshall-b.jpg?w=100&h=-1&s=1,By,658marshallb,https://www.tripadvisor.com/ShowUserReviews-g189400-d7759649-r579639966-Attiko_Metro_S_A-Athens_Attica.html,A very useful map/guide is available (free) at the,airport,"called ""Airport Access"" published by the airport, and it c...",,
53,https://www.tripadvisor.com/Attraction_Review-g189400-d566805-Reviews-Agios_Dionysios_Areopagitis_Catholic_Cathedral-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/f9/4f/01/agios-dionysios-areopagitis.jpg?w=500&h=-1&s=1,Agios Dionysios Areopagitis Catholic Cathedral,56.,https://www.tripadvisor.com/Attraction_Review-g189400-d566805-Reviews-Agios_Dionysios_Areopagitis_Catholic_Cathedral-Athens_Attica.html#REVIEWS,Religious Sites,Akadimia (Academy),,,,,,,,,,
177,https://www.tripadvisor.com/Attraction_Review-g189400-d566828-Reviews-National_History_Museum_Old_Parliament-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/ea/e7/esterno-del-museo-storico.jpg?w=500&h=400&s=1,National History Museum (Old Parliament),57.,https://www.tripadvisor.com/Attraction_Review-g189400-d566828-Reviews-National_History_Museum_Old_Parliament-Athens_Attica.html#REVIEWS,History Museums,,https://www.tripadvisor.com/Profile/mikex2017,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1d/12/dd/02/mikex2017.jpg?w=100&h=-1&s=1,By,mikex2017,https://www.tripadvisor.com/ShowUserReviews-g189400-d566828-r790074397-National_History_Museum_Old_Parliament-Athens_Attica.html,"Goes from Byzantine, to",Ottoman,and through WWII.,,
638,https://www.tripadvisor.com/Attraction_Review-g189400-d198947-Reviews-Omonia_Square-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/f0/01/28/centro-de-la-plaza.jpg?w=500&h=-1&s=1,Omonia Square,58.,https://www.tripadvisor.com/Attraction_Review-g189400-d198947-Reviews-Omonia_Square-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,Omonia,,,,,,,,,,
549,https://www.tripadvisor.com/Attraction_Review-g189400-d6739897-Reviews-Hadrian_s_Library-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/84/cc/52/photo0jpg.jpg?w=500&h=-1&s=1,Hadrian's Library,59.,https://www.tripadvisor.com/Attraction_Review-g189400-d6739897-Reviews-Hadrian_s_Library-Athens_Attica.html#REVIEWS,Historic Sites,Monastiraki,https://www.tripadvisor.com/Profile/TV2451,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e3/1f/default-avatar-2020-46.jpg?w=100&h=-1&s=1,By,TV2451,https://www.tripadvisor.com/ShowUserReviews-g189400-d6739897-r801535089-Hadrian_s_Library-Athens_Attica.html,"You will find it near Monastriaki Square, a place you will surely go for the",flea market,", access to the Plaka ant the...",,
349,https://www.tripadvisor.com/Attraction_Review-g189400-d198710-Reviews-Tower_of_the_Winds-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/7e/6c/43/tower-of-the-winds.jpg?w=500&h=400&s=1,Tower of the Winds,60.,https://www.tripadvisor.com/Attraction_Review-g189400-d198710-Reviews-Tower_of_the_Winds-Athens_Attica.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,Plaka,https://www.tripadvisor.com/Profile/GeorgesVer,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/b8/default-avatar-2020-26.jpg?w=100&h=-1&s=1,By,GeorgesVer,https://www.tripadvisor.com/ShowUserReviews-g189400-d198710-r663067496-Tower_of_the_Winds-Athens_Attica.html,The monument is part of the Roman Agora archeological,site,.,,
2,,,,,,1,3,,,,,,,,,,
727,https://www.tripadvisor.com/Attraction_Review-g189400-d3672094-Reviews-Museum_of_the_Ancient_Agora-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/d4/a9/57/museum-of-the-stoa-of.jpg?w=500&h=-1&s=1,Museum of the Ancient Agora,31.,https://www.tripadvisor.com/Attraction_Review-g189400-d3672094-Reviews-Museum_of_the_Ancient_Agora-Athens_Attica.html#REVIEWS,History Museums,Monastiraki,https://www.tripadvisor.com/Profile/ruthek85,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/f2/11/default-avatar-2020-23.jpg?w=100&h=-1&s=1,By,ruthek85,https://www.tripadvisor.com/ShowUserReviews-g189400-d3672094-r566297158-Museum_of_the_Ancient_Agora-Athens_Attica.html,The Stoa of Attalos is a fascinating building with several rows of colonnades and several rooms of,artifacts,.,•,Temporarily closed
429,https://www.tripadvisor.com/Attraction_Review-g189400-d198754-Reviews-Stoa_of_Attalos-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/a8/f3/92/da-theseion.jpg?w=500&h=-1&s=1,Stoa of Attalos,32.,https://www.tripadvisor.com/Attraction_Review-g189400-d198754-Reviews-Stoa_of_Attalos-Athens_Attica.html#REVIEWS,Historic Sites,Monastiraki,https://www.tripadvisor.com/Profile/sofin895,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/ee/db/default-avatar-2020-10.jpg?w=100&h=-1&s=1,By,sofin895,https://www.tripadvisor.com/ShowUserReviews-g189400-d198754-r573500814-Stoa_of_Attalos-Athens_Attica.html,It was housing shops in the antiquity and nowadays houses the museum of the,ancient agora,", where you can see artifact...",,
"1,263",https://www.tripadvisor.com/Attraction_Review-g189400-d245993-Reviews-Tomb_of_the_Unknown_Soldier-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/51/23/a5/tomb-of-the-unknown-soldier.jpg?w=500&h=-1&s=1,Tomb of the Unknown Soldier,33.,https://www.tripadvisor.com/Attraction_Review-g189400-d245993-Reviews-Tomb_of_the_Unknown_Soldier-Athens_Attica.html#REVIEWS,Points of Interest & Landmarks,Syntagma,https://www.tripadvisor.com/Profile/Escape-overseas,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/f6/e8/5b/default-avatar-2020-61.jpg?w=100&h=-1&s=1,By,Escape-overseas,https://www.tripadvisor.com/ShowUserReviews-g189400-d245993-r669892499-Tomb_of_the_Unknown_Soldier-Athens_Attica.html,Located in front of the,Parliament building,", guarded day and night by two soldiers in traditional uniform.",,
183,https://www.tripadvisor.com/Attraction_Review-g189400-d242834-Reviews-The_Jewish_Museum_of_Greece-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/dd/5b/28/provided-by-the-jewish.jpg?w=400&h=300&s=1,The Jewish Museum of Greece,34.,https://www.tripadvisor.com/Attraction_Review-g189400-d242834-Reviews-The_Jewish_Museum_of_Greece-Athens_Attica.html#REVIEWS,Speciality Museums • History Museums,Plaka,https://www.tripadvisor.com/Profile/jbwhitehouse,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6c/bc/20/jbwhitehouse.jpg?w=100&h=-1&s=1,By,jbwhitehouse,https://www.tripadvisor.com/ShowUserReviews-g189400-d242834-r728684408-The_Jewish_Museum_of_Greece-Athens_Attica.html,"... Though relatively small compared to major museums, the four floors house superb displays of",Jewish life,in Greece.,,
253,https://www.tripadvisor.com/Attraction_Review-g189400-d198780-Reviews-Gazi-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/59/a5/6e/gazi.jpg?w=500&h=-1&s=1,Gazi,35.,https://www.tripadvisor.com/Attraction_Review-g189400-d198780-Reviews-Gazi-Athens_Attica.html#REVIEWS,Neighborhoods,Psirri / Gazi,,,,,,,,,,
3,,,,,,1,2,,,,,,,,,,
16,https://www.tripadvisor.com/Attraction_Review-g189400-d11800627-Reviews-Digital_Museum_Plato-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ac/27/ea/photo2jpg.jpg?w=500&h=400&s=1,Digital Museum Plato,91.,https://www.tripadvisor.com/Attraction_Review-g189400-d11800627-Reviews-Digital_Museum_Plato-Athens_Attica.html#REVIEWS,Speciality Museums,Akadimia Platonos,,,,,,,,,,
84,https://www.tripadvisor.com/Attraction_Review-g189400-d242828-Reviews-Athens_City_Museum-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-s/01/f0/82/e2/provided-by-athens-city.jpg?w=500&h=-1&s=1,Athens City Museum,92.,https://www.tripadvisor.com/Attraction_Review-g189400-d242828-Reviews-Athens_City_Museum-Athens_Attica.html#REVIEWS,History Museums,Open now,,,,,,,,,,
29,https://www.tripadvisor.com/Attraction_Review-g189400-d8028594-Reviews-Ieros_Naos_Agiou_Dimitriou_Loumpardiari-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/e2/be/ce/agios-dimitrios-loumpardiaris.jpg?w=500&h=400&s=1,Ierós Naós Agíou Dimitríou Loumpardiári,93.,https://www.tripadvisor.com/Attraction_Review-g189400-d8028594-Reviews-Ieros_Naos_Agiou_Dimitriou_Loumpardiari-Athens_Attica.html#REVIEWS,Churches & Cathedrals,,,,,,,,,,,
77,https://www.tripadvisor.com/Attraction_Review-g189400-d3672384-Reviews-Benaki_Museum-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/ad/cd/46/benaki-museum-benaki.jpg?w=500&h=400&s=1,Benaki Museum,94.,https://www.tripadvisor.com/Attraction_Review-g189400-d3672384-Reviews-Benaki_Museum-Athens_Attica.html#REVIEWS,Speciality Museums,Rouf,,,,,,,,,,
85,https://www.tripadvisor.com/Attraction_Review-g189400-d566835-Reviews-Tzisdarakis_Mosque_o_Moschea_della_Fontana_di_sotto-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/02/cf/6a/75/tzisdarakis-mosque.jpg?w=500&h=-1&s=1,Tzisdarakis Mosque (o Moschea della Fontana di sotto),95.,https://www.tripadvisor.com/Attraction_Review-g189400-d566835-Reviews-Tzisdarakis_Mosque_o_Moschea_della_Fontana_di_sotto-Athens_Attica.html#REVIEWS,Religious Sites,Monastiraki,,,,,,,,,,
161,https://www.tripadvisor.com/Attraction_Review-g189400-d519616-Reviews-Monument_of_Lysikrates-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/39/d5/6d/monument-of-lysikrates.jpg?w=500&h=-1&s=1,Monument of Lysikrates,96.,https://www.tripadvisor.com/Attraction_Review-g189400-d519616-Reviews-Monument_of_Lysikrates-Athens_Attica.html#REVIEWS,Ancient Ruins,Plaka,,,,,,,,,,
45,https://www.tripadvisor.com/Attraction_Review-g189400-d10796140-Reviews-Church_of_St_Mary_Pantanassa-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ca/18/e6/iglesia-antigua-con-la.jpg?w=500&h=-1&s=1,Church of St. Mary Pantanassa,97.,https://www.tripadvisor.com/Attraction_Review-g189400-d10796140-Reviews-Church_of_St_Mary_Pantanassa-Athens_Attica.html#REVIEWS,Churches & Cathedrals,Monastiraki,,,,,,,,,,
23,https://www.tripadvisor.com/Attraction_Review-g189400-d10333720-Reviews-Mansion_Benizelou-Athens_Attica.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/80/14/c3/innergarden.jpg?w=500&h=-1&s=1,Mansion Benizelou,98.,https://www.tripadvisor.com/Attraction_Review-g189400-d10333720-Reviews-Mansion_Benizelou-Athens_Attica.html#REVIEWS,Historic Sites,Plaka,,,,,,,,,,
