WlYyy,FmrIP href,dugSS src,bUshh,cIVmB,iPqaD href,WlYyy 2,WlYyy 3
38,https://www.tripadvisor.com/Attraction_Review-g187497-d9859074-Reviews-Monumento_a_Mosen_Jacint_Verdaguer-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/b5/5d/f4/caption.jpg?w=500&h=400&s=1,Monumento a Mosen Jacint Verdaguer,255.,https://www.tripadvisor.com/Attraction_Review-g187497-d9859074-Reviews-Monumento_a_Mosen_Jacint_Verdaguer-Barcelona_Catalonia.html#REVIEWS,Monuments & Statues,Eixample
28,https://www.tripadvisor.com/Attraction_Review-g187497-d10491414-Reviews-Parc_de_l_Estacio_del_Nord-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/8e/e6/65/caption.jpg?w=500&h=400&s=1,Parc de l'Estacio del Nord,256.,https://www.tripadvisor.com/Attraction_Review-g187497-d10491414-Reviews-Parc_de_l_Estacio_del_Nord-Barcelona_Catalonia.html#REVIEWS,Parks,Eixample
30,https://www.tripadvisor.com/Attraction_Review-g187497-d10171290-Reviews-Teatre_Goya-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/97/21/7d/teatre-goya.jpg?w=500&h=400&s=1,Teatre Goya,257.,https://www.tripadvisor.com/Attraction_Review-g187497-d10171290-Reviews-Teatre_Goya-Barcelona_Catalonia.html#REVIEWS,Theaters,El Raval
18,https://www.tripadvisor.com/Attraction_Review-g187497-d11964151-Reviews-Tren_de_l_Oreneta-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/05/3d/01/getlstd-property-photo.jpg?w=500&h=400&s=1,Tren de l'Oreneta,258.,https://www.tripadvisor.com/Attraction_Review-g187497-d11964151-Reviews-Tren_de_l_Oreneta-Barcelona_Catalonia.html#REVIEWS,Scenic Railroads,Sarrià
56,https://www.tripadvisor.com/Attraction_Review-g187497-d15208082-Reviews-RENFE-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/00/5e/9c/renfe-staition.jpg?w=500&h=-1&s=1,RENFE,259.,https://www.tripadvisor.com/Attraction_Review-g187497-d15208082-Reviews-RENFE-Barcelona_Catalonia.html#REVIEWS,Public Transportation Systems,
26,https://www.tripadvisor.com/Attraction_Review-g187497-d3480069-Reviews-Villa_del_Arte_Galleries-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/60/13/7c/villa-del-arte-galleries.jpg?w=500&h=400&s=1,Villa del Arte Galleries,260.,https://www.tripadvisor.com/Attraction_Review-g187497-d3480069-Reviews-Villa_del_Arte_Galleries-Barcelona_Catalonia.html#REVIEWS,Art Galleries,Barrio Gòtico (Barri Gòtic)
30,https://www.tripadvisor.com/Attraction_Review-g187497-d8857417-Reviews-Santuari_de_la_Mare_de_Deu_Del_Carme_Barcelona-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/e2/51/d6/caption.jpg?w=500&h=-1&s=1,Santuari de la Mare de Deu Del Carme Barcelona,261.,https://www.tripadvisor.com/Attraction_Review-g187497-d8857417-Reviews-Santuari_de_la_Mare_de_Deu_Del_Carme_Barcelona-Barcelona_Catalonia.html#REVIEWS,Religious Sites • Churches & Cathedrals,Eixample
135,https://www.tripadvisor.com/Attraction_Review-g187497-d12352280-Reviews-Balearia-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/18/03/d0/buque-marie-curie-propulsado.jpg?w=500&h=400&s=1,Baleària,262.,https://www.tripadvisor.com/Attraction_Review-g187497-d12352280-Reviews-Balearia-Barcelona_Catalonia.html#REVIEWS,Ferries,
18,https://www.tripadvisor.com/Attraction_Review-g187497-d10175605-Reviews-Teatre_Condal-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/cc/99/18/img-20170325-231320-hdr.jpg?w=500&h=-1&s=1,Teatre Condal,263.,https://www.tripadvisor.com/Attraction_Review-g187497-d10175605-Reviews-Teatre_Condal-Barcelona_Catalonia.html#REVIEWS,Theaters,Sants-Montjuíc
109,https://www.tripadvisor.com/Attraction_Review-g187497-d1418568-Reviews-Barcelona_Fira_Montjuic_Hall_of_Conferences-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/e0/9c/f9/fira-barcelona-montjuic.jpg?w=500&h=400&s=1,Barcelona Fira Montjuic Hall of Conferences,264.,https://www.tripadvisor.com/Attraction_Review-g187497-d1418568-Reviews-Barcelona_Fira_Montjuic_Hall_of_Conferences-Barcelona_Catalonia.html#REVIEWS,Convention Centers,Sants-Montjuíc
34,https://www.tripadvisor.com/Attraction_Review-g187497-d8862038-Reviews-Palacio_Real_de_Pedralbes-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/ad/7f/95/img-20160321-121853-largejpg.jpg?w=500&h=400&s=1,Palacio Real de Pedralbes,265.,https://www.tripadvisor.com/Attraction_Review-g187497-d8862038-Reviews-Palacio_Real_de_Pedralbes-Barcelona_Catalonia.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,Pedralbes
16,https://www.tripadvisor.com/Attraction_Review-g187497-d10600103-Reviews-Casa_Golferichs-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/70/bb/37/caption.jpg?w=500&h=400&s=1,Casa Golferichs,266.,https://www.tripadvisor.com/Attraction_Review-g187497-d10600103-Reviews-Casa_Golferichs-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Eixample
41,https://www.tripadvisor.com/Attraction_Review-g187497-d8820333-Reviews-Primavera_Sound_Barcelona-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/9f/fa/7d/primavera-sound-barcelona.jpg?w=500&h=-1&s=1,Primavera Sound Barcelona,267.,https://www.tripadvisor.com/Attraction_Review-g187497-d8820333-Reviews-Primavera_Sound_Barcelona-Barcelona_Catalonia.html#REVIEWS,Music Festivals,Diagonal Mar
51,https://www.tripadvisor.com/Attraction_Review-g187497-d10043419-Reviews-Monumento_Francesc_Masia-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/c1/58/61/monument.jpg?w=500&h=-1&s=1,Monumento Francesc Masia,268.,https://www.tripadvisor.com/Attraction_Review-g187497-d10043419-Reviews-Monumento_Francesc_Masia-Barcelona_Catalonia.html#REVIEWS,Monuments & Statues,Eixample
44,https://www.tripadvisor.com/Attraction_Review-g187497-d6499629-Reviews-Church_of_San_Felipe_Neri-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/4b/72/6b/sculptural-group-in-the.jpg?w=500&h=-1&s=1,Church of San Felipe Neri,269.,https://www.tripadvisor.com/Attraction_Review-g187497-d6499629-Reviews-Church_of_San_Felipe_Neri-Barcelona_Catalonia.html#REVIEWS,Churches & Cathedrals,Barrio Gòtico (Barri Gòtic)
23,https://www.tripadvisor.com/Attraction_Review-g187497-d8610971-Reviews-Casa_Thomas-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/51/05/75/casa-thomas.jpg?w=500&h=400&s=1,Casa Thomas,270.,https://www.tripadvisor.com/Attraction_Review-g187497-d8610971-Reviews-Casa_Thomas-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Eixample
1,,,,,,8,9
33,https://www.tripadvisor.com/Attraction_Review-g187497-d8598951-Reviews-Mirador_del_Poble_Sec-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/91/60/92/mirador-del-poble-sec.jpg?w=500&h=400&s=1,Mirador del Poble Sec,271.,https://www.tripadvisor.com/Attraction_Review-g187497-d8598951-Reviews-Mirador_del_Poble_Sec-Barcelona_Catalonia.html#REVIEWS,Lookouts,Sants-Montjuíc
24,https://www.tripadvisor.com/Attraction_Review-g187497-d2235346-Reviews-Fran_Daurel_Foundation_Fundacio_Fran_Daurel-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/ee/f3/c9/museo-fundacion-fran.jpg?w=500&h=400&s=1,Fran Daurel Foundation (Fundacio Fran Daurel),272.,https://www.tripadvisor.com/Attraction_Review-g187497-d2235346-Reviews-Fran_Daurel_Foundation_Fundacio_Fran_Daurel-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Sants-Montjuíc
8,https://www.tripadvisor.com/Attraction_Review-g187497-d17561580-Reviews-Massimo_Dutti-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/d5/5d/bc/massimo-dutti.jpg?w=500&h=400&s=1,Massimo Dutti,273.,https://www.tripadvisor.com/Attraction_Review-g187497-d17561580-Reviews-Massimo_Dutti-Barcelona_Catalonia.html#REVIEWS,Department Stores,Eixample
25,https://www.tripadvisor.com/Attraction_Review-g187497-d7735950-Reviews-Jardines_del_Turo_del_Putxet-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/5b/12/93/jardines-del-turo-del.jpg?w=500&h=-1&s=1,Jardines del Turo del Putxet,274.,https://www.tripadvisor.com/Attraction_Review-g187497-d7735950-Reviews-Jardines_del_Turo_del_Putxet-Barcelona_Catalonia.html#REVIEWS,Parks • Gardens,El Putxet i el Farró
65,https://www.tripadvisor.com/Attraction_Review-g187497-d9571023-Reviews-Mosaic_del_Pla_de_l_Os-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/76/74/cd/mosaic.jpg?w=500&h=400&s=1,Mosaic del Pla de l'Os,275.,https://www.tripadvisor.com/Attraction_Review-g187497-d9571023-Reviews-Mosaic_del_Pla_de_l_Os-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,El Congrés i els Indians
37,https://www.tripadvisor.com/Attraction_Review-g187497-d9821686-Reviews-Jardins_de_Rubio_i_Lluch-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/7b/8a/1d/jardines-de-rubio-i-lluch.jpg?w=500&h=-1&s=1,Jardins de Rubió i Lluch,276.,https://www.tripadvisor.com/Attraction_Review-g187497-d9821686-Reviews-Jardins_de_Rubio_i_Lluch-Barcelona_Catalonia.html#REVIEWS,Gardens,El Raval
32,https://www.tripadvisor.com/Attraction_Review-g187497-d10538407-Reviews-Fanals-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/6c/bb/85/caption.jpg?w=500&h=400&s=1,Fanals,277.,https://www.tripadvisor.com/Attraction_Review-g187497-d10538407-Reviews-Fanals-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,El Congrés i els Indians
28,https://www.tripadvisor.com/Attraction_Review-g187497-d8610896-Reviews-Casa_Serra-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/ab/37/19/desde-fuera.jpg?w=500&h=-1&s=1,Casa Serra,278.,https://www.tripadvisor.com/Attraction_Review-g187497-d8610896-Reviews-Casa_Serra-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,La Dreta de l'Eixample
58,https://www.tripadvisor.com/Attraction_Review-g187497-d8526772-Reviews-El_Fossar_de_les_Moreres-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/7b/ea/05/el-fossar-de-les-moreres.jpg?w=500&h=400&s=1,El Fossar de les Moreres,279.,https://www.tripadvisor.com/Attraction_Review-g187497-d8526772-Reviews-El_Fossar_de_les_Moreres-Barcelona_Catalonia.html#REVIEWS,Historic Sites • Points of Interest & Landmarks,El Born / La Ribera
33,https://www.tripadvisor.com/Attraction_Review-g187497-d10713220-Reviews-Playa_de_Sant_Miquel-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/78/d3/f7/caption.jpg?w=500&h=-1&s=1,Playa de Sant Miquel,280.,https://www.tripadvisor.com/Attraction_Review-g187497-d10713220-Reviews-Playa_de_Sant_Miquel-Barcelona_Catalonia.html#REVIEWS,Beaches,Sarrià
16,https://www.tripadvisor.com/Attraction_Review-g187497-d9706593-Reviews-Salo_del_Tinell-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/0b/5f/d0/salo-del-tinell.jpg?w=500&h=400&s=1,Salo del Tinell,281.,https://www.tripadvisor.com/Attraction_Review-g187497-d9706593-Reviews-Salo_del_Tinell-Barcelona_Catalonia.html#REVIEWS,Historic Sites • Architectural Buildings,Barrio Gòtico (Barri Gòtic)
20,https://www.tripadvisor.com/Attraction_Review-g187497-d2223579-Reviews-Museu_de_Carrosses_Funebres-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/6e/1c/37/caption.jpg?w=500&h=-1&s=1,Museu de Carrosses Funebres,282.,https://www.tripadvisor.com/Attraction_Review-g187497-d2223579-Reviews-Museu_de_Carrosses_Funebres-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Sants-Montjuíc
24,https://www.tripadvisor.com/Attraction_Review-g187497-d10086735-Reviews-Placa_Tetuan-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/26/f8/8d/great-monument-in-placa.jpg?w=500&h=400&s=1,Placa Tetuan,283.,https://www.tripadvisor.com/Attraction_Review-g187497-d10086735-Reviews-Placa_Tetuan-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Eixample
29,https://www.tripadvisor.com/Attraction_Review-g187497-d11807755-Reviews-SOM_Multiespai-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b0/97/6b/som-multiespai.jpg?w=500&h=400&s=1,SOM Multiespai,284.,https://www.tripadvisor.com/Attraction_Review-g187497-d11807755-Reviews-SOM_Multiespai-Barcelona_Catalonia.html#REVIEWS,Shopping Malls,Porta
35,https://www.tripadvisor.com/Attraction_Review-g187497-d8614075-Reviews-El_Toro_Pensador-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/1b/81/26/el-toro-pensador-barcelona.jpg?w=500&h=400&s=1,El Toro Pensador,285.,https://www.tripadvisor.com/Attraction_Review-g187497-d8614075-Reviews-El_Toro_Pensador-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Monuments & Statues,La Dreta de l'Eixample
43,https://www.tripadvisor.com/Attraction_Review-g187497-d2218960-Reviews-Museo_del_Perfume_Museum_of_Perfume-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/52/27/15/caption.jpg?w=500&h=400&s=1,Museo del Perfume (Museum of Perfume),286.,https://www.tripadvisor.com/Attraction_Review-g187497-d2218960-Reviews-Museo_del_Perfume_Museum_of_Perfume-Barcelona_Catalonia.html#REVIEWS,Speciality Museums • History Museums,Eixample
20,https://www.tripadvisor.com/Attraction_Review-g187497-d11930450-Reviews-La_Deessa-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/39/cb/63/caption.jpg?w=500&h=-1&s=1,La Deessa,287.,https://www.tripadvisor.com/Attraction_Review-g187497-d11930450-Reviews-La_Deessa-Barcelona_Catalonia.html#REVIEWS,Monuments & Statues,Les Corts
34,https://www.tripadvisor.com/Attraction_Review-g187497-d8807625-Reviews-Palau_de_Lloctinent-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b8/6a/5c/caption.jpg?w=500&h=400&s=1,Palau de Lloctinent,288.,https://www.tripadvisor.com/Attraction_Review-g187497-d8807625-Reviews-Palau_de_Lloctinent-Barcelona_Catalonia.html#REVIEWS,Historic Sites • Ancient Ruins,Barrio Gòtico (Barri Gòtic)
25,https://www.tripadvisor.com/Attraction_Review-g187497-d8677305-Reviews-Aventura_Park_Barcelona-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/ef/0e/66/caption.jpg?w=500&h=400&s=1,Aventura Park Barcelona,289.,https://www.tripadvisor.com/Attraction_Review-g187497-d8677305-Reviews-Aventura_Park_Barcelona-Barcelona_Catalonia.html#REVIEWS,Amusement & Theme Parks,Eixample
32,https://www.tripadvisor.com/Attraction_Review-g187497-d7390331-Reviews-Torre_de_les_Aigues_del_Besos-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/49/96/a1/torre-de-les-aigues-del.jpg?w=500&h=400&s=1,Torre de les Aigues del Besos,290.,https://www.tripadvisor.com/Attraction_Review-g187497-d7390331-Reviews-Torre_de_les_Aigues_del_Besos-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Observation Decks & Towers,Barceloneta
23,https://www.tripadvisor.com/Attraction_Review-g187497-d14765486-Reviews-Quatre_Columnes-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/75/5c/11/magic-fountain-quatre.jpg?w=500&h=-1&s=1,Quatre Columnes,291.,https://www.tripadvisor.com/Attraction_Review-g187497-d14765486-Reviews-Quatre_Columnes-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Monuments & Statues,Sants-Montjuíc
30,https://www.tripadvisor.com/Attraction_Review-g187497-d8422039-Reviews-Real_Santuario_San_Jose_de_la_Montana-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/42/88/d5/beautiful-convent.jpg?w=500&h=400&s=1,Real Santuario San Jose de la Montana,292.,https://www.tripadvisor.com/Attraction_Review-g187497-d8422039-Reviews-Real_Santuario_San_Jose_de_la_Montana-Barcelona_Catalonia.html#REVIEWS,Architectural Buildings • Religious Sites,Gracia
21,https://www.tripadvisor.com/Attraction_Review-g187497-d7788447-Reviews-Teatre_Romea-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/46/65/f6/su-fachada-2016.jpg?w=500&h=-1&s=1,Teatre Romea,293.,https://www.tripadvisor.com/Attraction_Review-g187497-d7788447-Reviews-Teatre_Romea-Barcelona_Catalonia.html#REVIEWS,Theaters,El Raval
53,https://www.tripadvisor.com/Attraction_Review-g187497-d244897-Reviews-L_Auditori-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/51/51/d3/l-auditori.jpg?w=500&h=-1&s=1,L'Auditori,294.,https://www.tripadvisor.com/Attraction_Review-g187497-d244897-Reviews-L_Auditori-Barcelona_Catalonia.html#REVIEWS,Theaters,Eixample
39,https://www.tripadvisor.com/Attraction_Review-g187497-d9764670-Reviews-Miraestels-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/1d/cd/ca/mira-estela-en-el-puerto.jpg?w=500&h=-1&s=1,Miraestels,295.,https://www.tripadvisor.com/Attraction_Review-g187497-d9764670-Reviews-Miraestels-Barcelona_Catalonia.html#REVIEWS,Monuments & Statues,Port Vell (Old Port)
37,https://www.tripadvisor.com/Attraction_Review-g187497-d531596-Reviews-Casa_Macaia_Palau_Macaya-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/32/07/cb/bonita-ornamentacion.jpg?w=500&h=-1&s=1,Casa Macaia (Palau Macaya),296.,https://www.tripadvisor.com/Attraction_Review-g187497-d531596-Reviews-Casa_Macaia_Palau_Macaya-Barcelona_Catalonia.html#REVIEWS,Art Galleries • Architectural Buildings,Eixample
145,https://www.tripadvisor.com/Attraction_Review-g187497-d6673955-Reviews-Tramvia_Blau-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/69/37/44/tram-arriving-placa-de.jpg?w=500&h=400&s=1,Tramvia Blau,297.,https://www.tripadvisor.com/Attraction_Review-g187497-d6673955-Reviews-Tramvia_Blau-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Sant Gervasi-La Bonanova
12,https://www.tripadvisor.com/Attraction_Review-g187497-d10538617-Reviews-Casa_Perez_Samanillo-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/91/3b/b2/caption.jpg?w=500&h=400&s=1,Casa Perez Samanillo,298.,https://www.tripadvisor.com/Attraction_Review-g187497-d10538617-Reviews-Casa_Perez_Samanillo-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks • Architectural Buildings,Sant Gervasi-Galvany
33,https://www.tripadvisor.com/Attraction_Review-g187497-d3678721-Reviews-Jardines_de_la_Torre_de_Les_Aigues-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d1/bc/c6/jardines-de-la-torre.jpg?w=500&h=400&s=1,Jardines de la Torre de Les Aigues,299.,https://www.tripadvisor.com/Attraction_Review-g187497-d3678721-Reviews-Jardines_de_la_Torre_de_Les_Aigues-Barcelona_Catalonia.html#REVIEWS,Gardens,Eixample
65,https://www.tripadvisor.com/Attraction_Review-g187497-d244902-Reviews-Teatro_Nacional_de_Cataluna-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/d2/ba/a7/caption.jpg?w=500&h=400&s=1,Teatro Nacional de Cataluña,300.,https://www.tripadvisor.com/Attraction_Review-g187497-d244902-Reviews-Teatro_Nacional_de_Cataluna-Barcelona_Catalonia.html#REVIEWS,Theaters,Eixample
1,,,,,,9,10
31,https://www.tripadvisor.com/Attraction_Review-g187497-d7055716-Reviews-Refugio_Antiaereo_de_la_Placa_Del_Diamant-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/09/20/f1/22/refugi-antiaeri.jpg?w=500&h=400&s=1,Refugio Antiaereo de la Placa Del Diamant,301.,https://www.tripadvisor.com/Attraction_Review-g187497-d7055716-Reviews-Refugio_Antiaereo_de_la_Placa_Del_Diamant-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Gracia
6,https://www.tripadvisor.com/Attraction_Review-g187497-d15087184-Reviews-Iris_Foto_Barcelona-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/5f/a9/6e/iris-foto-barcelona.jpg?w=500&h=400&s=1,Iris Foto Barcelona,302.,https://www.tripadvisor.com/Attraction_Review-g187497-d15087184-Reviews-Iris_Foto_Barcelona-Barcelona_Catalonia.html#REVIEWS,Art Galleries,Barrio Gòtico (Barri Gòtic)
23,https://www.tripadvisor.com/Attraction_Review-g187497-d10065909-Reviews-Monumento_a_Rius_i_Taulet-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/37/a5/d6/dsc-0366-largejpg.jpg?w=500&h=400&s=1,Monumento a Rius i Taulet,303.,https://www.tripadvisor.com/Attraction_Review-g187497-d10065909-Reviews-Monumento_a_Rius_i_Taulet-Barcelona_Catalonia.html#REVIEWS,Monuments & Statues,Eixample
13,https://www.tripadvisor.com/Attraction_Review-g187497-d12643730-Reviews-Placa_Garriga_i_Bachs-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/b6/e5/cf/placa-garriga-i-bachs.jpg?w=500&h=400&s=1,Placa Garriga i Bachs,304.,https://www.tripadvisor.com/Attraction_Review-g187497-d12643730-Reviews-Placa_Garriga_i_Bachs-Barcelona_Catalonia.html#REVIEWS,Points of Interest & Landmarks,Barrio Gòtico (Barri Gòtic)
33,https://www.tripadvisor.com/Attraction_Review-g187497-d17639374-Reviews-Montjuic_Funicular-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/04/93/5f/montjuic-funicularstation.jpg?w=500&h=400&s=1,Montjuïc Funicular,305.,https://www.tripadvisor.com/Attraction_Review-g187497-d17639374-Reviews-Montjuic_Funicular-Barcelona_Catalonia.html#REVIEWS,Trams,Sant Antoni
44,https://www.tripadvisor.com/Attraction_Review-g187497-d244904-Reviews-Teatre_Principal-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/a1/44/22/teatre-principal.jpg?w=500&h=400&s=1,Teatre Principal,306.,https://www.tripadvisor.com/Attraction_Review-g187497-d244904-Reviews-Teatre_Principal-Barcelona_Catalonia.html#REVIEWS,Theaters,El Congrés i els Indians
26,https://www.tripadvisor.com/Attraction_Review-g187497-d10231433-Reviews-Edificio_Telefonica_Diagonal-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/0c/d4/43/edifcio-telefonica.jpg?w=500&h=-1&s=1,Edificio Telefonica Diagonal,307.,https://www.tripadvisor.com/Attraction_Review-g187497-d10231433-Reviews-Edificio_Telefonica_Diagonal-Barcelona_Catalonia.html#REVIEWS,Architectural Buildings,Sant Martí
21,https://www.tripadvisor.com/Attraction_Review-g187497-d10230877-Reviews-Playa_de_Llevant-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/08/47/98/playa-de-llevant.jpg?w=500&h=400&s=1,Playa de Llevant,308.,https://www.tripadvisor.com/Attraction_Review-g187497-d10230877-Reviews-Playa_de_Llevant-Barcelona_Catalonia.html#REVIEWS,Beaches,Sant Martí
14,https://www.tripadvisor.com/Attraction_Review-g187497-d1976641-Reviews-University_of_Pompeu_Fabra-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/f9/96/6f/campus-poblenou-upf.jpg?w=500&h=-1&s=1,University of Pompeu Fabra,309.,https://www.tripadvisor.com/Attraction_Review-g187497-d1976641-Reviews-University_of_Pompeu_Fabra-Barcelona_Catalonia.html#REVIEWS,Speciality Museums,Barrio Gòtico (Barri Gòtic)
27,https://www.tripadvisor.com/Attraction_Review-g187497-d9570223-Reviews-Parc_de_les_Cascades-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/17/96/83/4d/parc-de-les-cascades.jpg?w=500&h=-1&s=1,Parc de les Cascades,310.,https://www.tripadvisor.com/Attraction_Review-g187497-d9570223-Reviews-Parc_de_les_Cascades-Barcelona_Catalonia.html#REVIEWS,Parks,Barceloneta
7,https://www.tripadvisor.com/Attraction_Review-g187497-d10682799-Reviews-Parroquia_Santa_Teresa_de_l_Infant_Jesus-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/f6/f6/38/altar.jpg?w=500&h=400&s=1,Parroquia Santa Teresa de l'Infant Jesus,311.,https://www.tripadvisor.com/Attraction_Review-g187497-d10682799-Reviews-Parroquia_Santa_Teresa_de_l_Infant_Jesus-Barcelona_Catalonia.html#REVIEWS,Churches & Cathedrals,Gracia
17,https://www.tripadvisor.com/Attraction_Review-g187497-d10256497-Reviews-Parque_Turo-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/3a/d8/f0/caption.jpg?w=500&h=400&s=1,Parque Turo,312.,https://www.tripadvisor.com/Attraction_Review-g187497-d10256497-Reviews-Parque_Turo-Barcelona_Catalonia.html#REVIEWS,Parks,Sant Gervasi-Galvany
56,https://www.tripadvisor.com/Attraction_Review-g187497-d1606662-Reviews-Barcelona_Bosc_Urba-Barcelona_Catalonia.html,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/6c/f1/64/barcelona-bosc-urba.jpg?w=500&h=400&s=1,Barcelona Bosc Urba,313.,https://www.tripadvisor.com/Attraction_Review-g187497-d1606662-Reviews-Barcelona_Bosc_Urba-Barcelona_Catalonia.html#REVIEWS,Amusement & Theme Parks,Sant Martí
